coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Inhibitory
0x0,0.0,0.0,24.042835032000003,7.490069682,0.0,43.764002485999995,0.0,7.061948137,0.0,0.0,0.0,2.017657872,3.454715776,1.008861521,3.454715776,0.0,6.053099328,0.0,0.0,0.0,1.008861521,7.918197059,0.0,0.0,1.008861521,3.745002381,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,6.053099328,7.918197059,1.727344509,0.0,0.0,6.053099328,1.008861521,0.0,0.0,1.727344509,2.017657872,1.008861521,0.0,1.727344509,4.035353906,7.061948137,1.727344509,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,2.017657872,3.745002381,3.454715776,1.008861521,2.017657872,0.0,1.008861521,0.0,1.727344509,0.0,1.008861521,2.73620603,0.0,0.0,23.325684717999998,0.0,0.0,0.0,1.008861521,9.798027725999999,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,1.008861521,0.0,0.0,0.0,9.078595144,0.0,3.745002381,3.026521292,1.727344509,1.008861521,1.008861521,0.0,3.454715776,0.0,1.008861521,0.0,1.727344509,0.0,0.0,0.0,2.017657872,0.0,3.745002381,0.0,1.008861521,0.0,0.0,16.13957308,0.0,0.0,0.0,0.0,6.481237068,6.771560841,3.454715776,0.0,0.0,0.0,4.753865801,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,1.008861521,0.0,12.09181923,0.0,0.033924671,0.019479828,0.002733675,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.0,0.0,0.016809277,0.566420864,0.0,0.009826919,0.018258397,1.0,1.0
1x1,0.0,0.0,18.9986187,18.594584576,0.630872464,40.359521044,0.0,3.15441617,1.261778128,0.0,4.416266187,0.0,4.08558824,0.0,3.454715776,2.523546441,4.416266187,0.630872464,0.630872464,0.0,3.15441617,7.540208002,0.630872464,0.0,3.15441617,15.607244078999999,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,12.61758203,7.540208002,1.727344509,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,2.3582169729999998,1.261778128,0.0,0.0,1.727344509,1.892677383,3.15441617,2.989122637,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,3.15441617,5.5126536569999995,5.347393159,11.98673564,3.785309148,0.0,0.0,0.630872464,2.3582169729999998,0.0,0.0,3.620021892,0.630872464,0.630872464,18.534363518,0.0,0.0,5.047139676,0.630872464,5.5126536569999995,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,2.3582169729999998,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,10.559754966,2.523546441,2.989122637,2.523546441,0.630872464,2.523546441,4.08558824,1.261778128,2.523546441,0.630872464,1.727344509,0.630872464,0.0,0.0,0.0,3.15441617,8.6671525,1.892677383,1.892677383,0.0,0.0,3.785309148,0.0,0.0,0.0,0.0,7.240024924,5.5126536569999995,4.08558824,0.630872464,0.0,0.0,11.191399179,0.0,0.0,1.727344509,1.727344509,4.2508909500000005,1.727344509,0.0,0.0,12.09181923,0.0,0.011376651000000002,0.017095657,0.025427594,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.0,0.0727907,0.0,0.5628825390000001,0.0,0.003225125,0.018325221,1.0,1.0
2x2,0.0,0.0,20.779868519,12.360754013000001,0.0,41.509898399,0.0,3.562469771,0.0,0.0,8.906038237,0.0,3.454715776,0.0,3.454715776,0.890601508,3.562469771,0.0,0.0,1.781249819,1.781249819,6.909335538,0.0,0.0,0.0,2.617946017,0.0,7.124936959,1.781249819,0.0,0.0,0.0,5.343661488,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.890601508,1.727344509,3.562469771,0.0,0.0,1.727344509,0.890601508,1.781249819,7.071005997,0.0,0.0,0.890601508,0.0,0.890601508,0.0,0.0,0.0,23.15460834,0.0,0.0,9.796922897,2.617946017,7.017185547,2.671808307,2.671808307,2.671808307,0.0,0.0,1.727344509,0.0,0.0,4.399152816,0.0,0.890601508,19.053835209,0.0,0.0,0.0,0.0,4.399152816,0.890601508,0.0,1.781249819,2.671808307,0.0,0.0,1.727344509,1.781249819,0.0,6.234358059,0.0,13.35820005,0.0,11.524267406,0.890601508,1.727344509,3.562469771,0.0,1.781249819,3.454715776,0.0,0.0,0.890601508,1.727344509,1.781249819,0.890601508,0.0,0.0,0.0,8.852281468000001,0.0,0.0,1.781249819,0.0,8.015503784,0.0,0.0,0.0,0.0,3.454715776,3.508594328,4.345317284,0.890601508,0.890601508,0.890601508,12.414262589,0.0,0.0,1.727344509,3.508594328,5.28981428,1.727344509,0.0,0.0,12.982420738,0.0,0.023461725000000003,0.028566807,0.025727502,0.0,0.0,0.0,0.0,0.0,0.0,0.098912213,0.0,0.0,0.0,0.048409627,0.0,0.521170304,0.0,0.003225125,0.00828011,1.0,1.0
3x3,0.0,0.0,18.9986187,3.454715776,0.0,39.72864858,0.0,0.0,0.0,0.0,3.973933791,1.98696408,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,7.947876886,1.98696408,0.0,0.0,0.0,5.960973814,6.909335538,1.727344509,0.0,0.0,3.973933791,1.98696408,0.0,0.0,1.727344509,0.0,0.0,0.0,1.727344509,0.0,0.0,7.688318323,0.0,0.0,0.0,0.0,1.98696408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.714308589,7.428649567,3.973933791,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,17.27258539,0.0,0.0,1.98696408,11.92111524,1.727344509,0.0,0.0,1.98696408,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,1.98696408,0.0,9.675221395000001,0.0,1.727344509,3.973933791,0.0,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,11.92111524,0.0,1.727344509,0.0,0.0,0.0,0.0,7.947876886,0.0,0.0,0.0,0.0,5.441679856,1.727344509,3.454715776,0.0,0.0,0.0,3.714308589,0.0,0.0,1.727344509,1.727344509,5.7012783,1.727344509,0.0,0.0,12.09181923,0.036401422,0.010649115,0.051215806,0.003279873,0.0,0.0,0.0,0.0,0.0,0.0,0.007378088,0.0,0.0,0.0,0.0,0.0,0.541504524,0.01458795,0.019870057,0.0,1.0,1.0
4x4,0.0,0.0,26.470892841,3.454715776,0.0,57.87561607,0.0,1.06747373,0.53373384,0.0,1.601177567,0.0,5.055893343,0.0,3.988449616,0.53373384,2.134945535,0.0,0.0,0.0,2.668681418,6.909335538,0.0,0.0,1.06747373,2.261078349,0.0,2.668681418,0.0,0.0,0.53373384,0.53373384,8.539596378,14.381609679,1.727344509,0.0,1.06747373,4.26987119,0.0,0.0,0.53373384,1.727344509,2.668681418,0.0,0.53373384,2.261078349,0.0,11.20955962,4.396025927,12.27700137,0.0,0.0,0.0,0.0,0.53373384,0.53373384,0.0,3.736090581,0.0,1.601177567,0.53373384,5.997215699,6.123397194,0.53373384,0.0,0.0,0.0,0.0,1.727344509,0.53373384,0.0,2.261078349,0.53373384,0.0,48.75886665,0.0,0.0,0.53373384,0.53373384,3.862290044,0.0,0.0,2.134945535,0.0,0.53373384,0.0,2.7948182389999996,5.871000814,0.53373384,0.0,0.53373384,2.134945535,0.53373384,7.064582251,3.202328513,2.261078349,0.0,1.06747373,0.53373384,6.657044289,0.0,0.0,0.0,1.727344509,1.601177567,0.0,0.0,0.0,0.53373384,3.862290044,0.0,0.0,1.06747373,0.0,0.0,0.0,0.0,0.0,0.0,6.123397194,3.862290044,6.123397194,0.0,2.134945535,0.53373384,4.396025927,1.06747373,0.0,2.7948182389999996,3.3285220759999996,4.396025927,1.727344509,0.0,8.005959716,22.76528999,0.0,0.031018219,0.044425727,0.01686547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510875002,0.004664369,0.024305431,0.0,1.0,1.0
5x5,0.0,0.0,23.244162012,4.035353906,0.0,17.034450176,0.0,7.061948137,0.0,0.0,0.86668054,2.017657872,0.0,1.008861521,0.0,0.0,7.786416312,0.0,0.0,0.86668054,1.008861521,4.475491742,0.0,0.0,1.875542061,2.884338412,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,13.853045182999999,4.475491742,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,1.733316984,4.6176371419999995,1.008861521,0.0,0.0,4.035353906,7.061948137,4.333348955,14.99184132,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.964302250000001,0.0,0.0,2.017657872,6.351006827,0.86668054,1.008861521,2.017657872,0.0,2.742178505,0.0,0.0,0.0,1.008861521,2.742178505,0.86668054,0.86668054,32.055352198,0.0,1.733316984,0.86668054,2.742178505,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.86668054,0.0,0.0,9.078595144,0.0,2.884338412,3.893201832,0.0,1.008861521,1.008861521,0.0,4.333348955,0.0,1.008861521,0.0,0.86668054,3.466630221,0.0,0.0,2.017657872,0.0,2.017657872,0.0,1.875542061,0.86668054,0.86668054,17.872890064000003,0.0,0.0,0.0,0.0,5.626500562,8.510846553,12.13409037,0.86668054,0.86668054,0.0,3.893201832,0.0,0.86668054,0.0,0.0,0.0,1.733316984,1.008861521,0.0,8.666739158,0.014057076,0.023275556,0.024635303,0.012139485,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.0,0.0,0.016809277,0.569973463,0.01306404,0.008181578,0.018258397,1.0,1.0
6x6,0.0,0.0,18.19994568,15.1398688,0.630872464,13.629968734,0.0,3.15441617,1.261778128,0.0,5.282946727,0.0,0.630872464,0.0,0.0,2.523546441,6.149583171,0.630872464,0.630872464,0.86668054,3.15441617,4.097502685,0.630872464,0.0,4.02109671,14.74658011,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,20.417527885,4.097502685,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,2.364189448,3.861757398,0.0,0.0,0.0,1.892677383,3.15441617,5.5951270829999995,40.61408968,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,16.00654934,0.0,0.630872464,3.15441617,8.118658103,2.759357923,11.98673564,3.785309148,0.0,1.733316984,0.630872464,0.630872464,0.0,0.0,3.625994367,1.497553004,1.497553004,27.264030998,0.0,1.733316984,5.9138202159999995,2.364189448,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,0.86668054,0.630872464,2.523546441,6.308866006,0.0,9.699090997,3.390226981,1.261778128,2.523546441,0.630872464,2.523546441,4.964221419,1.261778128,2.523546441,0.630872464,0.86668054,4.097502685,0.0,0.0,0.0,3.15441617,6.939807991,1.892677383,2.759357923,0.86668054,0.86668054,5.518626132,0.0,0.0,0.0,0.0,6.385288418,7.2519393690000005,12.764962833999999,1.497553004,0.86668054,0.0,10.33073521,0.0,0.86668054,0.0,0.0,2.523546441,1.733316984,0.0,0.0,8.666739158,0.014057076,0.000727536,0.022251132,0.034833404,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.0,0.0727907,0.0,0.566435138,0.01306404,0.001579784,0.018325221,1.0,1.0
7x7,0.0,0.0,19.981195499,8.906038237,0.0,14.780346089,0.0,3.562469771,0.0,0.0,9.772718777000001,0.0,0.0,0.0,0.0,0.890601508,5.295786755,0.0,0.0,2.647930359,1.781249819,3.466630221,0.0,0.0,0.86668054,1.757282048,0.0,7.124936959,1.781249819,0.0,0.0,0.0,13.143607343,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.890601508,1.733316984,6.162449041,0.0,0.0,0.0,0.890601508,1.781249819,9.677010443,0.86668054,0.0,0.890601508,0.0,0.890601508,0.0,0.0,0.0,24.02128888,0.0,0.0,9.796922897,5.2239504629999995,4.429150311,2.671808307,2.671808307,2.671808307,1.733316984,0.0,0.0,0.0,0.0,4.405125291,0.86668054,1.757282048,27.783502689,0.0,1.733316984,0.86668054,1.733316984,2.671808307,0.890601508,0.0,1.781249819,2.671808307,0.0,0.0,0.0,1.781249819,0.86668054,6.234358059,0.0,13.35820005,0.0,10.663603437,1.757282048,0.0,3.562469771,0.0,1.781249819,4.333348955,0.0,0.0,0.890601508,0.86668054,5.24788004,0.890601508,0.0,0.0,0.0,7.124936959,0.0,0.86668054,2.647930359,0.86668054,9.748820768,0.0,0.0,0.0,0.0,2.59997927,5.24788004,13.024691877999999,1.757282048,1.757282048,0.890601508,11.55359862,0.0,0.86668054,0.0,1.781249819,3.562469771,1.733316984,0.0,0.0,9.557340666,0.014057076,0.01281261,0.033722282,0.035133312,0.0,0.0,0.0,0.0,0.0,0.0,0.098912213,0.0,0.0,0.0,0.048409627,0.0,0.524722903,0.01306404,0.001579784,0.00828011,1.0,1.0
8x8,0.0,0.0,18.19994568,0.0,0.0,12.99909627,0.0,0.0,0.0,0.0,4.840614331,1.98696408,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,7.947876886,1.98696408,0.0,0.0,0.0,13.760919669,3.466630221,0.0,0.0,0.0,3.973933791,1.98696408,0.0,0.0,1.733316984,2.59997927,0.0,0.0,0.0,0.0,0.0,10.294322769,0.86668054,0.0,0.0,0.0,1.98696408,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,6.320313035,4.840614331,3.973933791,0.0,0.0,1.733316984,0.0,0.0,0.0,0.0,1.733316984,0.86668054,0.86668054,26.00225287,0.0,1.733316984,2.85364462,13.654432224,0.0,0.0,0.0,1.98696408,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,1.98696408,0.0,8.814557426,0.86668054,0.0,3.973933791,0.0,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,11.92111524,0.0,0.0,0.0,0.86668054,0.86668054,0.86668054,9.681193870000001,0.0,0.0,0.0,0.0,4.58694335,3.466630221,12.13409037,0.86668054,0.86668054,0.0,2.85364462,0.0,0.86668054,0.0,0.0,3.973933791,1.733316984,0.0,0.0,8.666739158,0.050458498000000004,0.0,0.056371281,0.012685683,0.0,0.0,0.0,0.0,0.0,0.0,0.007378088,0.0,0.0,0.0,0.0,0.0,0.5450571230000001,0.02765199,0.018224716000000002,0.0,1.0,1.0
9x9,0.0,0.0,25.672219821,0.0,0.0,31.146063760000004,0.0,1.06747373,0.53373384,0.0,2.467858107,0.0,1.601177567,0.0,0.53373384,0.53373384,3.868262519,0.0,0.0,0.86668054,2.668681418,3.466630221,0.0,0.0,1.93415427,1.40041438,0.0,2.668681418,0.0,0.0,0.53373384,0.53373384,16.339542233,10.938904361999999,0.0,0.0,1.06747373,4.26987119,0.0,0.0,0.53373384,1.733316984,5.268660688,0.0,0.53373384,0.53373384,0.0,11.20955962,7.002030373,13.143681910000002,0.0,0.0,0.0,0.0,0.53373384,0.53373384,0.0,4.602771121,0.0,1.601177567,0.53373384,8.603220145,3.5353619579999997,0.53373384,0.0,0.0,1.733316984,0.0,0.0,0.53373384,0.0,2.267050824,1.40041438,0.86668054,57.48853413,0.0,1.733316984,1.40041438,2.267050824,2.134945535,0.0,0.0,2.134945535,0.0,0.53373384,0.0,1.06747373,5.871000814,1.40041438,0.0,0.53373384,2.134945535,0.53373384,6.203918282,4.069009053,0.53373384,0.0,1.06747373,0.53373384,7.535677467999999,0.0,0.0,0.0,0.86668054,5.067807788,0.0,0.0,0.0,0.53373384,2.134945535,0.0,0.86668054,1.93415427,0.86668054,1.733316984,0.0,0.0,0.0,0.0,5.268660688,5.601575756,14.802771788,0.86668054,3.001626075,0.53373384,3.5353619579999997,1.06747373,0.86668054,1.06747373,1.601177567,2.668681418,1.733316984,0.0,8.005959716,19.340209918,0.014057076,0.020369104,0.049581202000000005,0.02627128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514427601,0.017728409,0.02266009,0.0,1.0,1.0
10x10,0.0,0.0,19.127642442,6.595681826,0.0,21.958790096,0.0,7.061948137,0.0,0.0,0.0,2.017657872,2.56032792,1.008861521,0.0,0.0,6.053099328,0.0,0.0,0.0,1.008861521,2.289046078,0.0,0.0,1.008861521,2.017657872,1.008861521,5.044216332,2.017657872,0.0,0.0,0.0,20.136525438,11.249733451,0.0,0.0,5.120684589,6.053099328,1.008861521,0.0,0.0,2.56032792,5.85815537,1.008861521,0.0,0.0,5.315538463,8.342132694,1.280184557,14.12516078,0.0,0.0,1.008861521,8.070683217,1.008861521,0.0,2.017657872,11.09762171,0.0,0.0,3.297842429,3.297842429,2.56032792,1.008861521,2.017657872,0.0,1.008861521,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,32.933563508,0.0,0.0,0.0,2.289046078,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,1.280184557,0.0,0.0,9.078595144,1.280184557,4.577985792,4.306705849,0.0,1.008861521,1.008861521,0.0,3.840497498,0.0,1.008861521,0.0,0.0,0.0,0.0,0.0,2.017657872,0.0,2.017657872,0.0,1.008861521,0.0,0.0,16.13957308,0.0,0.0,1.280184557,0.0,3.026521292,11.445039031,6.400822699,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,0.0,0.0,0.0,1.008861521,0.0,6.400822699,0.0,0.023275556,0.002384171,0.002733675,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.0,0.0,0.0,0.016809277,0.5808390910000001,0.0,0.006601794,0.018258397,1.0,1.0
11x11,0.0,0.0,14.08342611,17.70019672,0.630872464,18.554308654,0.0,3.15441617,1.261778128,0.0,4.416266187,0.0,3.191200384,0.0,0.0,2.523546441,4.416266187,0.630872464,0.630872464,0.0,3.15441617,1.911057021,0.630872464,0.0,3.15441617,13.87989957,0.630872464,4.416266187,0.0,0.630872464,0.0,0.0,26.70100814,10.871744394,0.0,0.0,5.751557053,1.261778128,0.0,0.630872464,0.0,3.191200384,5.102275626,0.0,0.0,0.0,3.1728619399999998,4.434600727,2.5419626849999997,39.74740914,0.0,0.0,0.0,13.87989957,0.630872464,0.0,9.46405467,15.1398688,0.0,0.630872464,4.434600727,5.065493705,4.453005303,11.98673564,3.785309148,0.0,0.0,0.630872464,0.630872464,0.0,0.0,1.892677383,0.630872464,0.630872464,28.142242308,0.0,0.0,5.047139676,1.911057021,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,1.261778128,1.280184557,0.630872464,2.523546441,6.308866006,1.280184557,11.392738377,3.803730998,1.261778128,2.523546441,0.630872464,2.523546441,4.471369962,1.261778128,2.523546441,0.630872464,0.0,0.630872464,0.0,0.0,0.0,3.15441617,6.939807991,1.892677383,1.892677383,0.0,0.0,3.785309148,0.0,0.0,1.280184557,0.0,3.785309148,10.186131847,7.031695163,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,0.0,2.523546441,0.0,0.0,0.0,6.400822699,0.0,0.000727536,0.0,0.025427594,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.06345961,0.0,0.0727907,0.0,0.577300766,0.0,0.0,0.018325221,1.0,1.0
12x12,0.0,0.0,15.864675928999999,11.466366157000001,0.0,19.704686009,0.0,3.562469771,0.0,0.0,8.906038237,0.0,2.56032792,0.0,0.0,0.890601508,3.562469771,0.0,0.0,1.781249819,1.781249819,1.280184557,0.0,0.0,0.0,0.890601508,0.0,7.124936959,1.781249819,0.0,0.0,0.0,19.427087598,10.24087193,0.0,0.0,5.120684589,0.0,0.0,0.0,0.890601508,2.56032792,7.4029672689999995,0.0,0.0,0.0,2.1707860649999997,3.061434376,6.6238460450000005,0.0,0.0,0.890601508,0.0,0.890601508,0.0,0.0,0.0,23.15460834,0.0,0.0,11.077107454,2.1707860649999997,6.122797691000001,2.671808307,2.671808307,2.671808307,0.0,0.0,0.0,0.0,0.0,2.671808307,0.0,0.890601508,28.661713999,0.0,0.0,0.0,1.280184557,2.671808307,0.890601508,0.0,1.781249819,2.671808307,0.0,0.0,0.0,1.781249819,1.280184557,6.234358059,0.0,13.35820005,1.280184557,12.357250817,2.1707860649999997,0.0,3.562469771,0.0,1.781249819,3.840497498,0.0,0.0,0.890601508,0.0,1.781249819,0.890601508,0.0,0.0,0.0,7.124936959,0.0,0.0,1.781249819,0.0,8.015503784,0.0,0.0,1.280184557,0.0,0.0,8.182072518,7.291424207,0.890601508,0.890601508,0.890601508,10.68691808,0.0,0.0,0.0,1.781249819,3.562469771,0.0,0.0,0.0,7.291424207,0.0,0.01281261,0.01147115,0.025727502,0.0,0.0,0.0,0.0,0.0,0.0,0.098912213,0.0,0.0,0.0,0.048409627,0.0,0.535588531,0.0,0.0,0.00828011,1.0,1.0
13x13,0.0,0.0,14.08342611,2.56032792,0.0,17.92343619,0.0,0.0,0.0,0.0,3.973933791,1.98696408,2.56032792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,0.0,0.0,7.947876886,1.98696408,0.0,0.0,0.0,20.044399924,10.24087193,0.0,0.0,5.120684589,3.973933791,1.98696408,0.0,0.0,2.56032792,3.840497498,0.0,0.0,0.0,1.280184557,1.280184557,7.241158371,0.0,0.0,0.0,0.0,1.98696408,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,3.267148637,6.534261711,3.973933791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88046418,0.0,0.0,1.98696408,13.201299797,0.0,0.0,0.0,1.98696408,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,1.98696408,1.280184557,10.508204806,1.280184557,0.0,3.973933791,0.0,0.0,3.840497498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92111524,0.0,0.0,0.0,0.0,0.0,0.0,7.947876886,0.0,0.0,1.280184557,0.0,1.98696408,6.400822699,6.400822699,0.0,0.0,0.0,1.98696408,0.0,0.0,0.0,0.0,3.973933791,0.0,0.0,0.0,6.400822699,0.036401422,0.0,0.034120149,0.003279873,0.0,0.0,0.0,0.0,0.0,0.0,0.007378088,0.0,0.0,0.0,0.0,0.0,0.555922751,0.01458795,0.016644932,0.0,1.0,1.0
14x14,0.0,0.0,21.555700250999998,2.56032792,0.0,36.07040368,0.0,1.06747373,0.53373384,0.0,1.601177567,0.0,4.161505487,0.0,0.53373384,0.53373384,2.134945535,0.0,0.0,0.0,2.668681418,1.280184557,0.0,0.0,1.06747373,0.53373384,0.0,2.668681418,0.0,0.0,0.53373384,0.53373384,22.623022488,17.713146071,0.0,0.0,6.188158318999999,4.26987119,0.0,0.0,0.53373384,2.56032792,6.509178916,0.0,0.53373384,0.53373384,1.280184557,12.489744177,3.9488659749999995,12.27700137,0.0,0.0,0.0,0.0,0.53373384,0.53373384,0.0,3.736090581,0.0,1.601177567,1.813918397,5.550055747,5.229009338,0.53373384,0.0,0.0,0.0,0.0,0.0,0.53373384,0.0,0.53373384,0.53373384,0.0,58.36674544,0.0,0.0,0.53373384,1.813918397,2.134945535,0.0,0.0,2.134945535,0.0,0.53373384,0.0,1.06747373,5.871000814,1.813918397,0.0,0.53373384,2.134945535,1.813918397,7.897565662,4.4825130699999995,0.53373384,0.0,1.06747373,0.53373384,7.042826011,0.0,0.0,0.0,0.0,1.601177567,0.0,0.0,0.0,0.53373384,2.134945535,0.0,0.0,1.06747373,0.0,0.0,0.0,0.0,1.280184557,0.0,2.668681418,8.535768233999999,9.069504117,0.0,2.134945535,0.53373384,2.668681418,1.06747373,0.0,1.06747373,1.601177567,2.668681418,0.0,0.0,8.005959716,17.074293459,0.0,0.020369104,0.02733007,0.01686547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5252932290000001,0.004664369,0.021080306,0.0,1.0,1.0
15x15,0.0,0.0,31.071350652,4.035353906,0.0,41.220987406,1.859170143,10.780296474,0.0,0.0,0.0,2.017657872,2.788785337,1.008861521,0.0,1.859170143,9.771447665,0.0,0.0,0.0,1.008861521,1.008861521,0.0,0.0,1.93847356,2.017657872,1.008861521,6.9033864750000005,2.9472699110000002,0.0,0.0,0.929612039,19.068321928,10.305607528,0.0,0.0,0.0,8.841884665,1.008861521,0.0,0.0,0.0,2.017657872,1.93847356,0.929612039,0.929612039,4.035353906,7.061948137,3.718348337,15.984330923,0.929612039,0.0,1.008861521,8.070683217,1.93847356,0.0,2.017657872,12.956791853,0.0,0.0,3.876828015,4.806443209,1.859170143,4.727209858,2.017657872,0.929612039,1.008861521,0.0,0.0,0.0,1.008861521,2.868031664,0.0,0.0,44.164196568,0.0,0.0,0.0,1.008861521,9.000295256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93847356,0.0,0.0,0.0,10.008207183,0.0,5.736006209,3.026521292,0.0,1.008861521,1.008861521,1.859170143,14.87449798,0.929612039,1.008861521,0.0,0.929612039,1.859170143,0.0,0.0,2.017657872,1.859170143,3.876828015,0.0,1.008861521,1.859170143,0.929612039,16.13957308,0.0,0.0,0.0,0.929612039,5.815306629,6.9033864750000005,13.94514042,0.0,0.0,0.0,3.956133331,0.0,0.0,0.929612039,2.788785337,0.929612039,0.0,1.008861521,0.0,10.22535282,0.0,0.035292072,0.004957391,0.009158406000000001,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097771203,0.0,0.0,0.0,0.0,0.016809277,0.547808452,0.00021435,0.006601794,0.018258397,1.0,1.0
