coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,Endothelial3,Astrocytecells,Endothelial3cells
0x0,1.448612149,2.897265563,20.447230849,3.454715776,0.0,39.72864858,0.0,0.0,0.0,0.0,2.897265563,0.0,3.454715776,0.0,3.454715776,1.448612149,0.0,0.0,0.0,1.448612149,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,1.448612149,0.0,0.0,0.0,0.0,1.727344509,4.345889776,0.0,0.0,11.867724379,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,7.5218835749999995,4.903327925,1.448612149,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,23.067124456,15.93557709,0.0,14.48460032,0.0,1.727344509,0.0,0.0,0.0,1.448612149,0.0,0.0,1.727344509,0.0,1.448612149,0.0,0.0,4.345889776,0.0,4.624610071999999,0.0,1.727344509,0.0,0.0,1.448612149,3.454715776,0.0,0.0,0.0,124.863988409,0.0,0.0,0.0,1.448612149,4.345889776,1.727344509,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,3.1759566579999996,0.0,0.0,16.437709006,0.008201873,0.010649115,0.042353263,0.038211894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187189372,0.0,0.0,0.0,0.492325171,0.0,0.003225125,0.0,1.0,1.0,[0],[0]
1x1,2.032145239,0.677374359,20.353396864,5.486861015000001,0.0,41.760793819,2.032145239,0.677374359,0.0,0.0,0.677374359,1.354778164,3.454715776,0.677374359,3.454715776,6.096431255,5.419038788,0.677374359,1.354778164,0.677374359,3.386922882,9.618875038999999,0.0,0.0,0.0,1.727344509,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,9.618875038999999,1.727344509,0.0,2.032145239,0.677374359,0.0,0.677374359,0.677374359,1.727344509,0.677374359,0.677374359,0.0,21.371636829000003,0.0,0.677374359,2.404718868,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,5.419038788,0.0,0.677374359,0.677374359,11.888264629,3.454715776,2.709539501,0.677374359,0.0,4.06430671,0.0,1.727344509,1.354778164,1.354778164,6.469037936,0.0,0.0,22.691624177999998,0.0,0.0,8.80595735,1.354778164,2.404718868,0.0,0.0,0.0,0.677374359,0.0,0.0,1.727344509,1.354778164,0.0,0.677374359,1.354778164,2.032145239,0.0,2.404718868,3.386922882,1.727344509,0.0,0.677374359,0.0,4.132090135,1.354778164,1.354778164,0.0,44.399034659,0.0,0.0,0.0,0.0,4.06430671,3.0821226729999998,0.0,1.354778164,4.06430671,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,3.454715776,1.727344509,3.454715776,0.0,1.354778164,0.0,1.727344509,0.0,0.677374359,1.727344509,1.727344509,2.404718868,1.727344509,0.0,0.677374359,12.09181923,0.08281185,0.010649115,0.017095657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326166239,0.246967114,0.003225125,0.0,1.0,1.0,[0],[1]
2x2,12.91874249,12.91874249,18.9986187,3.454715776,0.0,41.020624233,0.0,0.0,0.0,0.0,1.291975653,1.291975653,3.454715776,0.0,3.454715776,0.0,1.291975653,0.0,0.0,0.0,1.291975653,6.909335538,0.0,0.0,0.0,1.727344509,2.583933973,0.0,0.0,0.0,0.0,0.0,5.167938006,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,3.0193201619999996,1.291975653,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,9.479197218,7.330674269,0.0,0.0,0.0,0.0,0.0,1.727344509,1.291975653,0.0,1.727344509,0.0,0.0,22.440523396,0.0,0.0,0.0,0.0,3.0193201619999996,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,0.0,1.291975653,3.454715776,0.0,0.0,0.0,27.568425349,0.0,0.0,0.0,0.0,1.291975653,1.727344509,0.0,0.0,2.583933973,0.0,1.291975653,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,3.0193201619999996,2.583933973,0.0,3.0193201619999996,1.727344509,1.727344509,5.6033030020000005,0.0,0.0,13.383794883,0.021712484,0.010649115,0.030568463,0.014077858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111754766,0.0,0.0,0.0,0.32296383500000003,0.052916666,0.003225125,0.0,1.0,1.0,[0],[2]
3x3,5.100283239,7.650475889,20.273716131,4.729813207,1.275097431,39.72864858,0.0,0.0,0.0,0.0,7.650475889,0.0,4.729813207,0.0,3.454715776,0.0,2.55017695,1.275097431,0.0,2.55017695,2.55017695,9.459512488,1.275097431,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,10.734587545,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,6.375305256,0.0,0.0,8.102649764999999,0.0,0.0,1.727344509,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.827627748,3.454715776,0.0,0.0,0.0,1.275097431,0.0,1.727344509,1.275097431,0.0,1.727344509,0.0,0.0,31.297084419999997,14.02449903,0.0,8.925445294,0.0,1.727344509,0.0,2.55017695,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,2.55017695,0.0,1.727344509,0.0,6.827627748,0.0,0.0,1.275097431,3.454715776,0.0,0.0,0.0,115.199536709,3.825252007,0.0,0.0,0.0,2.55017695,1.727344509,0.0,0.0,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.0,1.275097431,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,1.275097431,0.0,13.366916661000001,0.0,0.019022327,0.040178261,0.035435379,0.0,0.005364625,0.0,0.0,0.0,0.0,0.021680725,0.0,0.281297563,0.0,0.0,0.031295209,0.339022328,0.006533653,0.003225125,0.0,1.0,1.0,[0],[3]
4x4,4.746454866,0.0,18.9986187,3.454715776,0.0,39.72864858,2.373261425,0.0,0.0,2.373261425,7.119700307,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,11.655790404,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,2.373261425,1.727344509,2.373261425,0.0,0.0,34.948920029,0.0,0.0,1.727344509,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,2.373261425,18.338992638999997,3.454715776,9.493007904,0.0,0.0,7.119700307,0.0,1.727344509,0.0,2.373261425,1.727344509,0.0,0.0,22.019040256,0.0,2.373261425,11.86470998,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,0.0,7.119700307,3.454715776,0.0,0.0,0.0,25.461665918999998,0.0,0.0,0.0,0.0,4.746454866,1.727344509,0.0,0.0,7.119700307,0.0,0.0,0.0,0.0,0.0,33.22157552,5.8279772009999995,1.727344509,3.454715776,0.0,0.0,0.0,6.473799375,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,14.465080655000001,0.0,0.030681593,0.032683983,0.01945392,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.0,0.0,0.0,0.006760343,0.0,0.027940554,0.376112532,0.017149055,0.003225125,0.0,1.0,1.0,[0],[4]
5x5,1.448612149,2.897265563,19.648557828999998,0.0,0.0,12.99909627,0.0,0.0,0.0,0.0,3.763946103,0.0,0.0,0.0,0.0,1.448612149,1.733316984,0.0,0.0,2.315292689,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,1.733316984,6.945869046,0.0,0.0,10.14037987,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315292689,0.0,0.0,0.0,10.127888021,2.315292689,1.448612149,0.0,0.0,1.733316984,0.0,0.0,0.0,0.0,1.733316984,0.86668054,0.86668054,31.796791935999998,15.93557709,1.733316984,15.351280860000001,1.733316984,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,2.315292689,0.0,0.0,4.345889776,0.0,3.763946103,0.86668054,0.0,0.0,0.0,1.448612149,4.333348955,0.0,0.0,0.0,124.00332444,3.466630221,0.0,0.0,1.448612149,4.345889776,0.0,0.0,0.86668054,0.86668054,2.315292689,1.733316984,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,3.1819291329999997,0.0,0.0,13.012628934,0.022258949,0.0,0.047508737999999995,0.047617704000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187189372,0.0,0.0,0.0,0.49587777,0.01306404,0.001579784,0.0,1.0,1.0,[1],[0]
6x6,2.032145239,0.677374359,19.554723843999998,2.032145239,0.0,15.031241509000001,2.032145239,0.677374359,0.0,0.0,1.544054899,1.354778164,0.0,0.677374359,0.0,6.096431255,7.152355772,0.677374359,1.354778164,1.544054899,3.386922882,6.176169722,0.0,0.0,0.86668054,0.86668054,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,8.477320214,6.176169722,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,0.677374359,1.733316984,3.277353629,0.677374359,0.0,19.64429232,0.0,0.677374359,5.010723314,2.2214587040000002,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,6.285719328,0.0,0.677374359,0.677374359,14.494269075,0.86668054,2.709539501,0.677374359,0.0,5.797623694,0.0,0.0,1.354778164,1.354778164,6.475010411,0.86668054,0.86668054,31.421291658,0.0,1.733316984,9.67263789,3.088095148,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,0.86668054,0.677374359,1.354778164,2.032145239,0.0,1.544054899,4.253603422,0.0,0.0,0.677374359,0.0,5.010723314,1.354778164,1.354778164,0.0,43.53837069,3.466630221,0.0,0.0,0.0,4.06430671,1.354778164,0.0,2.2214587040000002,4.93098725,2.2214587040000002,3.088095148,0.0,0.0,0.0,21.67775192,2.59997927,3.466630221,12.13409037,0.86668054,2.2214587040000002,0.0,0.86668054,0.0,1.544054899,0.0,0.0,0.677374359,1.733316984,0.0,0.677374359,8.666739158,0.09686892600000001,0.0,0.022251132,0.00940581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329718838,0.260031154,0.001579784,0.0,1.0,1.0,[1],[1]
7x7,12.91874249,12.91874249,18.19994568,0.0,0.0,14.291071923,0.0,0.0,0.0,0.0,2.158656193,1.291975653,0.0,0.0,0.0,0.0,3.0252926369999997,0.0,0.0,0.86668054,1.291975653,3.466630221,0.0,0.0,0.86668054,0.86668054,2.583933973,0.0,0.0,0.0,0.0,0.0,12.967883861,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0252926369999997,3.891954923,0.0,0.0,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.86668054,0.0,0.0,0.0,12.085201664,4.742639033000001,0.0,0.0,0.0,1.733316984,0.0,0.0,1.291975653,0.0,1.733316984,0.86668054,0.86668054,31.170190876,0.0,1.733316984,0.86668054,1.733316984,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,1.291975653,4.333348955,0.0,0.0,0.0,26.70776138,3.466630221,0.0,0.0,0.0,1.291975653,0.0,0.0,0.86668054,3.450614513,0.86668054,3.0252926369999997,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,2.158656193,2.583933973,0.86668054,1.291975653,0.0,0.0,5.609275477000001,0.0,0.0,9.958714811,0.03576956,0.0,0.035723938,0.023483668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111754766,0.0,0.0,0.0,0.326516434,0.065980706,0.001579784,0.0,1.0,1.0,[1],[2]
8x8,5.100283239,7.650475889,19.475043110999998,1.275097431,1.275097431,12.99909627,0.0,0.0,0.0,0.0,8.517156429,0.0,1.275097431,0.0,0.0,0.0,4.283493934,1.275097431,0.0,3.41685749,2.55017695,6.016807171,1.275097431,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,10.350122805,7.291882228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,8.975284526,0.0,0.0,6.375305256,0.0,0.0,4.333348955,2.1417779710000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,9.433632194000001,0.86668054,0.0,0.0,0.0,3.008414415,0.0,0.0,1.275097431,0.0,1.733316984,0.86668054,0.86668054,40.0267519,14.02449903,1.733316984,9.792125834,1.733316984,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,2.55017695,0.0,0.86668054,0.86668054,5.100283239,0.0,0.0,1.275097431,4.333348955,0.0,0.0,0.0,114.33887274,7.291882228,0.0,0.0,0.0,2.55017695,0.0,0.0,0.86668054,0.86668054,0.86668054,3.008414415,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,0.86668054,2.1417779710000002,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,1.275097431,0.0,9.941836589000001,0.014057076,0.008373212,0.045333736,0.044841189000000004,0.0,0.005364625,0.0,0.0,0.0,0.0,0.021680725,0.0,0.281297563,0.0,0.0,0.031295209,0.34257492700000003,0.019597693,0.001579784,0.0,1.0,1.0,[1],[3]
9x9,4.746454866,0.0,18.19994568,0.0,0.0,12.99909627,2.373261425,0.0,0.0,2.373261425,7.9863808469999995,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,8.213085087,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,10.17320728,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,1.733316984,4.973240694999999,0.0,0.0,33.22157552,0.0,0.0,4.333348955,0.86668054,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,0.86668054,0.0,0.0,2.373261425,20.944997084999997,0.86668054,9.493007904,0.0,0.0,8.853017291,0.0,0.0,0.0,2.373261425,1.733316984,0.86668054,0.86668054,30.748707736,0.0,4.106578409,12.731390520000001,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,7.119700307,4.333348955,0.0,0.0,0.0,24.60100195,3.466630221,0.0,0.0,0.0,4.746454866,0.0,0.0,0.86668054,7.9863808469999995,0.86668054,1.733316984,0.0,0.0,0.0,33.22157552,4.973240694999999,3.466630221,12.13409037,0.86668054,0.86668054,0.0,5.613135406,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,11.040000583000001,0.014057076,0.020032478,0.037839458,0.02885973,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.0,0.0,0.0,0.006760343,0.0,0.027940554,0.379665131,0.030213095000000002,0.001579784,0.0,1.0,1.0,[1],[4]
10x10,1.448612149,2.897265563,15.532038259,2.56032792,0.0,17.92343619,0.0,0.0,0.0,0.0,2.897265563,0.0,2.56032792,0.0,0.0,1.448612149,0.0,0.0,0.0,1.448612149,0.0,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08342611,10.24087193,0.0,0.0,6.569296737999999,0.0,0.0,0.0,0.0,2.56032792,8.186387274,0.0,0.0,10.14037987,1.280184557,1.280184557,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,1.280184557,7.074723623,4.008940069,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.675003246,15.93557709,0.0,14.48460032,1.280184557,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,2.728796706,0.0,0.0,4.345889776,1.280184557,5.457593483,1.280184557,0.0,0.0,0.0,1.448612149,3.840497498,0.0,0.0,0.0,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.280184557,0.0,0.0,6.400822699,6.400822699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,10.746712474999999,0.008201873,0.0,0.025257606,0.038211894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187189372,0.0,0.0,0.0,0.506743398,0.0,0.0,0.0,1.0,1.0,[2],[0]
11x11,2.032145239,0.677374359,15.438204274,4.592473159000001,0.0,19.955581429,2.032145239,0.677374359,0.0,0.0,0.677374359,1.354778164,2.56032792,0.677374359,0.0,6.096431255,5.419038788,0.677374359,1.354778164,0.677374359,3.386922882,3.989724058,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,14.760800469,12.950411431000001,0.0,0.0,7.152829828,0.677374359,0.0,0.677374359,0.677374359,2.56032792,4.517871857,0.677374359,0.0,19.64429232,1.280184557,1.957558916,1.957558916,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,5.419038788,0.0,0.677374359,1.957558916,11.441104677,2.56032792,2.709539501,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,1.354778164,4.741693427,0.0,0.0,32.299502968,0.0,0.0,8.80595735,2.634962721,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,1.280184557,0.677374359,1.354778164,2.032145239,1.280184557,3.237702279,4.667107439,0.0,0.0,0.677374359,0.0,4.517871857,1.354778164,1.354778164,0.0,42.67169015,0.0,0.0,0.0,0.0,4.06430671,1.354778164,0.0,1.354778164,4.06430671,1.354778164,1.354778164,0.0,0.0,1.280184557,21.67775192,0.0,6.400822699,6.400822699,0.0,1.354778164,0.0,0.0,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.0,0.677374359,6.400822699,0.08281185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34058446600000003,0.246967114,0.0,0.0,1.0,1.0,[2],[1]
12x12,12.91874249,12.91874249,14.08342611,2.56032792,0.0,19.215411843000002,0.0,0.0,0.0,0.0,1.291975653,1.291975653,2.56032792,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,1.291975653,1.280184557,0.0,0.0,0.0,0.0,2.583933973,0.0,0.0,0.0,0.0,0.0,19.251364115999998,10.24087193,0.0,0.0,5.120684589,0.0,0.0,0.0,0.0,3.8523035730000004,5.132473151,0.0,0.0,0.0,1.280184557,1.280184557,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,1.280184557,9.032037266,6.436286413,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,32.048402186000004,0.0,0.0,0.0,1.280184557,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,1.280184557,2.56032792,1.280184557,0.0,0.0,0.0,1.291975653,3.840497498,0.0,0.0,0.0,25.84108084,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,2.583933973,0.0,1.291975653,0.0,0.0,1.280184557,0.0,0.0,6.400822699,6.400822699,0.0,0.0,0.0,1.291975653,2.583933973,0.0,1.291975653,0.0,0.0,3.875958493,0.0,0.0,7.692798352,0.021712484,0.0,0.013472806,0.014077858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111754766,0.0,0.0,0.0,0.33738206200000004,0.052916666,0.0,0.0,1.0,1.0,[2],[2]
13x13,5.100283239,7.650475889,15.358523541,3.8354253510000005,1.275097431,17.92343619,0.0,0.0,0.0,0.0,7.650475889,0.0,3.8354253510000005,0.0,0.0,0.0,2.55017695,1.275097431,0.0,2.55017695,2.55017695,3.830361507,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.63360306,14.066123937,0.0,0.0,5.120684589,0.0,0.0,0.0,0.0,2.56032792,10.215802754,0.0,0.0,6.375305256,1.280184557,1.280184557,1.280184557,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,6.3804677960000005,2.56032792,0.0,0.0,0.0,1.275097431,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,40.90496321,14.02449903,0.0,8.925445294,1.280184557,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,2.55017695,1.280184557,2.56032792,1.280184557,5.100283239,0.0,0.0,1.275097431,3.840497498,0.0,0.0,0.0,113.4721922,3.825252007,0.0,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,1.275097431,0.0,0.0,1.280184557,0.0,0.0,6.400822699,6.400822699,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275097431,0.0,7.67592013,0.0,0.008373212,0.023082604,0.035435379,0.0,0.005364625,0.0,0.0,0.0,0.0,0.021680725,0.0,0.281297563,0.0,0.0,0.031295209,0.35344055500000005,0.006533653,0.0,0.0,1.0,1.0,[2],[3]
14x14,4.746454866,0.0,14.08342611,2.56032792,0.0,17.92343619,2.373261425,0.0,0.0,2.373261425,7.119700307,0.0,2.56032792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.026639423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.456687535,10.24087193,0.0,0.0,5.120684589,0.0,0.0,0.0,2.373261425,2.56032792,6.213758923,0.0,0.0,33.22157552,1.280184557,1.280184557,1.280184557,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,3.653445982,17.891832686999997,2.56032792,9.493007904,0.0,0.0,7.119700307,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,31.626919046,0.0,2.373261425,11.86470998,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,1.280184557,2.56032792,1.280184557,0.0,0.0,0.0,7.119700307,3.840497498,0.0,0.0,0.0,23.73432141,0.0,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,7.119700307,0.0,0.0,0.0,0.0,1.280184557,33.22157552,2.373261425,6.400822699,6.400822699,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.774084124,0.0,0.020032478,0.015588326,0.01945392,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.0,0.0,0.0,0.006760343,0.0,0.027940554,0.390530759,0.017149055,0.0,0.0,1.0,1.0,[2],[4]
15x15,1.448612149,2.897265563,27.475746468999997,0.0,0.0,37.1856335,1.859170143,3.718348337,0.0,0.0,2.897265563,0.0,2.788785337,0.0,0.0,3.3077822919999997,3.718348337,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.929612039,0.0,0.0,1.859170143,0.929612039,0.0,0.0,0.929612039,13.0152226,9.296746007,0.0,0.0,1.448612149,2.788785337,0.0,0.0,0.0,0.0,4.345889776,0.929612039,0.929612039,11.069991909,0.0,0.0,3.718348337,1.859170143,0.929612039,0.0,0.0,0.0,0.929612039,0.0,0.0,3.3077822919999997,0.0,0.0,1.859170143,8.583324402999999,3.3077822919999997,5.166960486,0.0,0.929612039,0.0,0.0,0.0,0.0,0.0,1.859170143,0.0,0.0,43.905636306,15.93557709,0.0,14.48460032,0.0,0.929612039,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.929612039,1.448612149,0.0,0.0,5.275501815,0.0,6.6156139,0.0,0.0,0.0,0.0,3.3077822919999997,14.87449798,0.929612039,0.0,0.0,124.066255939,1.859170143,0.0,0.0,1.448612149,6.205059919,1.859170143,0.0,0.0,1.859170143,2.378224188,0.0,0.0,0.0,0.0,0.929612039,2.788785337,1.859170143,13.94514042,0.0,0.0,0.0,0.929612039,0.0,0.0,0.929612039,2.788785337,0.929612039,1.448612149,0.0,0.0,14.571242596,0.008201873,0.012016516,0.027830826,0.044636625000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.000229578,0.0,0.187189372,0.0,0.0,0.0,0.473712759,0.00021435,0.0,0.0,1.0,1.0,[3],[0]
