coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Microglia,ODMature3,permutationTracker
0x0,0.891907941,0.0,15.16218226,0.0,1.781762191,18.72876956,0.0,1.783812624,0.0,0.0,3.565574815,2.6736701320000003,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,3.565574815,0.0,0.0,0.0,0.0,1.781762191,0.0,0.891907941,0.0,0.0,0.0,13.375265067,8.919048185,0.0,0.0,0.0,0.891907941,0.0,0.0,33.84977672,0.891907941,0.0,0.891907941,0.0,0.0,0.0,2.6736701320000003,1.783812624,0.0,0.0,1.781762191,0.891907941,0.0,0.891907941,52.566356771,0.0,7.135420397,0.891907941,0.891907941,0.0,5.3493825500000005,0.891907941,0.0,0.0,1.781762191,0.891907941,0.0,0.0,0.0,7.126995139,3.565574815,0.0,0.0,21.402300570999998,0.0,0.0,33.84977672,0.0,16.943944451,0.0,0.0,2.6736701320000003,0.0,0.0,0.0,1.781762191,5.347227985,7.126995139,0.0,0.0,5.3493825500000005,0.0,6.239199505,5.347227985,7.126995139,1.783812624,3.567620359,1.781762191,2.675784144,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,46.38053933,0.0,11.590759523000001,0.891907941,1.781762191,108.704999625,0.0,3.567620359,0.0,0.891907941,1.781762191,0.0,8.919048185,4.459589628,12.480542735,0.0,0.0,0.0,3.565574815,0.0,0.0,0.891907941,1.781762191,0.891907941,0.0,0.0,0.891907941,71.28636005,0.02634885,0.09561062099999999,0.045859813,0.073287869,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.055667849,0.0,0.803476021,0.0,0.109059893,0.004935723,0.22881512799999998,0.0,0.007626545,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.891907941,0.0,15.16218226,1.307597182,0.0,20.690189525,0.653826704,2.437639328,0.653826704,0.0,2.437639328,1.545734645,0.653826704,0.0,0.0,2.1995051230000002,6.360419116,1.545734645,0.653826704,1.307597182,0.653826704,3.745232589,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,0.891907941,0.0,0.0,0.0,17.003850769,8.919048185,0.0,0.0,0.0,1.545734645,0.0,0.0,22.8836116,0.891907941,0.653826704,1.545734645,0.0,0.0,0.0,1.545734645,4.399076486,0.0,0.0,0.0,0.891907941,0.0,0.891907941,27.695441881,0.0,11.712026889,0.891907941,0.891907941,0.653826704,7.490508866000001,2.853327906,0.0,0.0,0.653826704,0.891907941,0.653826704,0.0,0.0,3.269037797,4.399076486,0.653826704,0.0,20.928135561999998,0.653826704,0.0,23.53578741,0.653826704,15.816008964,0.0,4.576606492,0.891907941,0.0,0.653826704,0.0,1.307597182,1.783812624,9.806871811,1.307597182,0.0,6.182884221,0.0,5.2910480060000005,3.091409806,0.0,2.437639328,15.334947899,0.0,2.675784144,0.0,0.0,1.307597182,0.653826704,0.0,0.0,0.0,47.034366033999994,7.192001063,15.219345225000001,2.1995051230000002,0.653826704,42.913564885,0.0,5.529040324,0.0,0.891907941,0.0,0.0,9.572874889,4.459589628,14.32742146,0.0,0.0,0.0,3.745232589,0.653826704,2.615263862,2.1995051230000002,0.0,2.1995051230000002,0.0,2.615263862,0.891907941,51.059616469999995,0.040976983,0.04253207,0.024863438,0.056512396,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.029511199000000002,0.0,0.7458149980000001,0.0,0.083639931,0.000762815,0.215746422,0.0,0.0,0.014299006,1.0,1.0,"[[0], [1]]"
2x2,0.891907941,0.0,23.367525782,5.470234187,0.0,21.463850349,0.0,4.518893413,0.0,8.205343522,1.783812624,3.62698873,0.0,0.0,0.0,0.891907941,1.783812624,6.362142128,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,14.389282372,0.0,0.0,0.0,0.891907941,0.0,0.0,21.88231712,3.62698873,2.735080789,0.891907941,0.0,0.0,0.0,0.891907941,7.254046811,10.93988104,0.0,2.735080789,0.891907941,2.735080789,0.891907941,36.451387101,0.0,9.870501186,0.891907941,0.891907941,0.0,11.772963880999999,0.891907941,8.205343522,0.0,2.735080789,0.891907941,2.735080789,0.0,2.735080789,8.205343522,1.783812624,0.0,0.0,33.29627807,0.0,0.0,38.29162586,0.0,15.16218226,0.0,0.0,3.62698873,0.0,0.0,2.735080789,0.0,4.518893413,2.735080789,0.0,0.0,3.567620359,0.0,16.351523834,1.783812624,0.0,1.783812624,3.567620359,0.0,2.675784144,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,46.38053933,0.0,10.762424951,0.891907941,0.0,85.50802057499999,0.0,3.567620359,0.0,0.891907941,0.0,0.0,8.919048185,7.194670416999999,15.340763919,0.0,0.0,0.0,12.723693663999999,0.0,0.0,0.891907941,0.0,0.891907941,2.735080789,0.0,0.891907941,39.8395872,0.02634885,0.015777233,0.024863438,0.073696833,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.032061144,0.0,1.4419239689999999,0.0,0.0,0.000762815,0.215746422,0.0,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.891907941,2.084324048,15.16218226,0.0,0.0,18.72876956,0.0,5.952377834,0.0,0.0,3.8681366720000003,0.891907941,0.0,0.0,2.084324048,0.891907941,3.8681366720000003,0.891907941,0.0,2.084324048,2.084324048,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,11.003372233,0.0,0.0,0.0,0.891907941,0.0,0.0,10.42089135,0.891907941,0.0,2.976231989,0.0,0.0,2.084324048,2.976231989,1.783812624,12.50516828,0.0,0.0,0.891907941,4.16856521,0.891907941,23.819555331,0.0,9.219744445,0.891907941,0.891907941,0.0,5.651944407,2.976231989,0.0,2.084324048,0.0,0.891907941,0.0,0.0,0.0,12.50516828,1.783812624,0.0,0.0,19.62053838,0.0,0.0,22.92764739,2.084324048,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,6.252871783,1.783812624,4.16856521,0.0,0.0,3.567620359,0.0,6.844349354,1.783812624,0.0,3.8681366720000003,3.567620359,0.0,2.675784144,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,10.111668210000001,0.891907941,0.0,92.291369905,0.0,3.567620359,0.0,0.891907941,0.0,2.084324048,8.919048185,4.459589628,9.219744445,0.0,0.0,0.0,1.783812624,2.084324048,0.0,0.891907941,4.16856521,0.891907941,2.084324048,0.0,0.891907941,37.50009565,0.02634885,0.005579243,0.024863438,0.062148569,0.0,0.0,0.867583378,0.0,0.0,0.0,0.014238051,0.0,0.84936137,0.093054962,0.019073715,0.00482798,0.215746422,0.0,0.0,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.891907941,0.0,16.40317268,1.24099042,0.0,18.72876956,1.24099042,5.506726216,2.481929712,0.0,3.024803044,0.891907941,0.0,0.0,1.24099042,3.373837653,6.747707779000001,0.891907941,0.0,0.0,3.722913592,1.783812624,0.0,0.0,0.0,2.481929712,0.0,2.481929712,0.891907941,0.0,0.0,1.24099042,14.775744861,10.160038604999999,0.0,0.0,0.0,7.096675929000001,1.24099042,0.0,31.02580095,2.132898361,2.481929712,2.132898361,0.0,0.0,0.0,0.891907941,4.265742336,4.963895155,0.0,0.0,0.891907941,1.24099042,0.891907941,14.544012191,0.0,13.340188385000001,0.891907941,0.891907941,0.0,6.0495500710000005,3.373837653,13.65210425,0.0,1.24099042,0.891907941,0.0,0.0,0.0,3.722913592,3.024803044,0.0,0.0,25.825306368,0.0,0.0,40.95657223,1.24099042,22.60796684,0.0,0.0,0.891907941,0.0,0.0,1.24099042,2.481929712,3.024803044,7.44578458,1.24099042,0.0,4.808610779,0.0,13.843246184,1.783812624,0.0,1.783812624,7.2905339510000005,1.24099042,5.157713856,1.24099042,0.0,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,15.473128742,0.891907941,0.0,74.69191153499999,0.0,4.808610779,1.24099042,0.891907941,0.0,0.0,8.919048185,4.459589628,24.509263347,0.0,0.0,0.0,5.506726216,1.24099042,0.0,0.891907941,0.0,2.132898361,1.24099042,0.0,0.891907941,43.51232403,0.02634885,0.033098571,0.047011713,0.06558127899999999,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.026467341,0.0,0.243245055,0.0,0.011446929,0.018976196,0.215746422,0.041091738,0.0206022,0.013707828,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,0.0,1.781762191,6.022148348,0.0,0.0,0.0,0.0,1.781762191,7.803910539,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,6.022148348,1.781762191,0.0,0.0,0.0,0.0,0.0,3.563415361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.84977672,0.0,12.04367592,0.0,0.0,0.0,6.022148348,1.781762191,0.0,0.0,0.0,1.781762191,0.0,6.022148348,0.0,51.67444883,0.0,0.0,0.0,6.022148348,0.0,1.781762191,0.0,0.0,0.0,7.803910539,0.0,0.0,0.0,0.0,7.126995139,25.871723981,0.0,0.0,1.781762191,0.0,0.0,33.84977672,0.0,1.781762191,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,3.563415361,13.149143487,0.0,0.0,1.781762191,0.0,3.563415361,3.563415361,7.126995139,0.0,0.0,1.781762191,0.0,0.0,6.022148348,13.825438111,0.0,0.0,0.0,0.0,102.3713052,0.0,3.563415361,0.0,1.781762191,99.78595144,0.0,6.022148348,0.0,0.0,1.781762191,0.0,6.022148348,0.0,5.345122338,0.0,0.0,0.0,13.825438111,6.022148348,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,58.79983697,0.002387402,0.090031378,0.040674964,0.049383508,0.002447184,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,0.774066928,0.0,0.109059893,0.004172908,0.167568873,0.005567434,0.008017646,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,0.0,1.307597182,0.0,7.983568313,0.653826704,0.653826704,0.653826704,0.0,0.653826704,6.675975052,0.653826704,0.0,0.0,1.307597182,16.620282412,0.653826704,0.653826704,1.307597182,0.653826704,1.961419965,0.0,1.961419965,0.653826704,6.022148348,0.0,3.269037797,0.0,0.0,0.0,0.0,7.192001063,0.0,0.0,0.0,0.0,0.653826704,0.0,0.0,22.8836116,0.0,12.697502624,0.653826704,0.0,0.0,6.022148348,0.653826704,2.615263862,0.0,0.0,0.0,0.0,6.022148348,0.0,26.80353394,0.0,4.576606492,0.0,6.022148348,0.653826704,3.922888507,1.961419965,0.0,0.0,6.675975052,0.0,0.653826704,0.0,0.0,3.269037797,26.705225652,0.653826704,0.0,1.307597182,0.653826704,0.0,23.53578741,0.653826704,0.653826704,0.0,4.576606492,0.0,0.0,0.653826704,0.0,1.307597182,0.0,15.829020159,1.307597182,0.0,2.615263862,0.0,2.615263862,1.307597182,0.0,0.653826704,11.76732754,0.0,0.0,0.0,6.022148348,13.351273102,0.653826704,0.0,0.0,0.0,103.02513190399999,7.192001063,7.192001063,1.307597182,0.653826704,33.9945167,0.0,7.983568313,0.0,0.0,0.0,0.0,6.675975052,0.0,7.192001063,0.0,0.0,0.0,14.005095885,6.675975052,2.615263862,1.307597182,0.0,1.307597182,0.0,2.615263862,0.0,38.57309339,0.017015535,0.036952827,0.019678589,0.032608035,0.002447184,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,0.716405905,0.0,0.083639931,0.0,0.154500167,0.005567434,0.000391101,0.014299006,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,8.205343522,5.470234187,0.0,8.757229137,0.0,2.735080789,0.0,8.205343522,0.0,8.757229137,0.0,0.0,0.0,0.0,12.04367592,5.470234187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470234187,0.0,0.0,0.0,0.0,0.0,0.0,21.88231712,2.735080789,14.778756709,0.0,0.0,0.0,6.022148348,0.0,5.470234187,10.93988104,0.0,2.735080789,0.0,8.757229137,0.0,35.55947916,0.0,2.735080789,0.0,6.022148348,0.0,8.205343522,0.0,8.205343522,0.0,8.757229137,0.0,2.735080789,0.0,2.735080789,8.205343522,24.08996179,0.0,0.0,13.67573969,0.0,0.0,38.29162586,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,2.735080789,0.0,2.735080789,8.757229137,0.0,0.0,0.0,0.0,13.67573969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,12.04367592,0.0,2.735080789,0.0,0.0,102.3713052,0.0,2.735080789,0.0,0.0,76.58897239,0.0,6.022148348,0.0,0.0,0.0,0.0,6.022148348,2.735080789,8.205343522,0.0,0.0,0.0,22.98355696,6.022148348,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,27.35306412,0.002387402,0.01019799,0.019678589,0.049792472000000004,0.002447184,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.412514876,0.0,0.0,0.0,0.154500167,0.005567434,0.000391101,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,2.084324048,0.0,0.0,0.0,6.022148348,0.0,4.16856521,0.0,0.0,2.084324048,6.022148348,0.0,0.0,2.084324048,0.0,14.127999968000001,0.0,0.0,2.084324048,2.084324048,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,10.42089135,0.0,12.04367592,2.084324048,0.0,0.0,8.106472396000001,2.084324048,0.0,12.50516828,0.0,0.0,0.0,10.190713557999999,0.0,22.92764739,0.0,2.084324048,0.0,6.022148348,0.0,2.084324048,2.084324048,0.0,2.084324048,6.022148348,0.0,0.0,0.0,0.0,12.50516828,24.08996179,0.0,0.0,0.0,0.0,0.0,22.92764739,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.252871783,0.0,10.190713557999999,0.0,0.0,0.0,0.0,4.16856521,0.0,0.0,2.084324048,0.0,0.0,0.0,2.084324048,6.022148348,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,2.084324048,0.0,0.0,83.37232172,0.0,6.022148348,0.0,0.0,0.0,2.084324048,6.022148348,0.0,2.084324048,0.0,0.0,0.0,12.04367592,8.106472396000001,0.0,0.0,4.16856521,0.0,2.084324048,0.0,0.0,25.01357257,0.002387402,0.0,0.019678589,0.038244208,0.002447184,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,0.819952277,0.093054962,0.019073715,0.004065165,0.154500167,0.005567434,0.000391101,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,1.24099042,1.24099042,0.0,6.022148348,1.24099042,3.722913592,2.481929712,0.0,1.24099042,6.022148348,0.0,0.0,1.24099042,2.481929712,17.007571075,0.0,0.0,0.0,3.722913592,0.0,0.0,0.0,0.0,8.50407806,0.0,2.481929712,0.0,0.0,0.0,1.24099042,4.963895155,1.24099042,0.0,0.0,0.0,6.204767988,1.24099042,0.0,31.02580095,1.24099042,14.525605632,1.24099042,0.0,0.0,6.022148348,0.0,2.481929712,4.963895155,0.0,0.0,0.0,7.263138768,0.0,13.65210425,0.0,6.204767988,0.0,6.022148348,0.0,2.481929712,2.481929712,13.65210425,0.0,7.263138768,0.0,0.0,0.0,0.0,3.722913592,25.33095221,0.0,0.0,6.204767988,0.0,0.0,40.95657223,1.24099042,7.44578458,0.0,0.0,0.0,0.0,0.0,1.24099042,2.481929712,1.24099042,13.467932928,1.24099042,0.0,1.24099042,0.0,11.16746204,0.0,0.0,0.0,3.722913592,1.24099042,2.481929712,1.24099042,6.022148348,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,7.44578458,0.0,0.0,65.77286335,0.0,7.263138768,1.24099042,0.0,0.0,0.0,6.022148348,0.0,17.37384295,0.0,0.0,0.0,15.766589512,7.263138768,0.0,0.0,0.0,1.24099042,1.24099042,0.0,0.0,31.02580095,0.002387402,0.027519328,0.041826864,0.041676918,0.002447184,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.213835962,0.0,0.011446929,0.018213381,0.154500167,0.046659172,0.020993301000000002,0.013707828,1.0,1.0,"[[1], [4]]"
10x10,0.0,2.889914001,0.0,2.889914001,1.781762191,0.0,1.444950101,0.0,0.0,0.0,3.226712292,1.781762191,0.0,0.0,1.444950101,7.224888137,10.11475771,1.444950101,0.0,0.0,0.0,1.781762191,0.0,0.0,1.444950101,0.0,3.226712292,1.444950101,1.444950101,0.0,0.0,0.0,6.453329362,2.889914001,0.0,0.0,0.0,0.0,0.0,0.0,33.84977672,0.0,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,1.444950101,0.0,1.781762191,0.0,4.334945658,1.444950101,51.67444883,0.0,4.334945658,0.0,8.669855849,0.0,1.781762191,0.0,2.889914001,0.0,1.781762191,0.0,1.444950101,0.0,0.0,7.126995139,1.781762191,0.0,1.444950101,3.226712292,0.0,0.0,33.84977672,4.334945658,1.781762191,0.0,0.0,4.6716761920000005,0.0,0.0,0.0,1.781762191,5.008365462,7.126995139,0.0,0.0,7.561610857000001,0.0,5.008365462,3.563415361,8.57194524,0.0,1.444950101,1.781762191,0.0,0.0,0.0,11.896519901,0.0,0.0,0.0,0.0,65.02372147,0.0,19.460041700999998,0.0,1.781762191,108.455807289,0.0,2.889914001,0.0,0.0,3.226712292,0.0,2.889914001,0.0,6.790072439,0.0,0.0,0.0,6.116707849,0.0,0.0,1.444950101,3.226712292,1.444950101,1.444950101,0.0,0.0,58.79983697,0.0,0.090031378,0.033205621000000005,0.046036251,0.0,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,1.061575117,0.0,0.109059893,0.107433232,0.042473058,0.31084095,0.007626545,0.0,1.0,1.0,"[[2], [0]]"
11x11,0.0,2.889914001,0.0,4.1975111830000005,0.0,1.961419965,2.098776805,0.653826704,0.653826704,0.0,2.098776805,0.653826704,0.653826704,0.0,1.444950101,8.532485319,14.691364201999999,2.098776805,0.653826704,1.307597182,0.653826704,1.961419965,0.0,1.961419965,2.098776805,0.0,1.444950101,4.713987898,1.444950101,0.0,0.0,0.0,10.081915064,2.889914001,0.0,0.0,0.0,0.653826704,0.0,0.0,22.8836116,0.0,0.653826704,0.653826704,0.0,0.0,0.0,0.653826704,2.615263862,1.444950101,0.0,0.0,0.0,4.334945658,1.444950101,26.80353394,0.0,8.911552149999999,0.0,8.669855849,0.653826704,3.922888507,1.961419965,2.889914001,0.0,0.653826704,0.0,2.098776805,0.0,0.0,3.269037797,2.615263862,0.653826704,1.444950101,2.752547283,0.653826704,0.0,23.53578741,4.988772362,0.653826704,0.0,4.576606492,2.889914001,0.0,0.653826704,0.0,1.307597182,1.444950101,9.806871811,1.307597182,0.0,8.395112528,0.0,4.060213963,1.307597182,1.444950101,0.653826704,13.212277641,0.0,0.0,0.0,0.0,11.422354892,0.653826704,0.0,0.0,0.0,65.677548174,7.192001063,23.088627403,1.307597182,0.653826704,42.664372549,0.0,4.851333966,0.0,0.0,1.444950101,0.0,3.5437407050000003,0.0,8.636951164000001,0.0,0.0,0.0,6.296365623,0.653826704,2.615263862,2.752547283,1.444950101,2.752547283,1.444950101,2.615263862,0.0,38.57309339,0.014628133,0.036952827,0.012209246,0.029260778,0.0,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,1.003914094,0.0,0.083639931,0.103260324,0.029404352,0.31084095,0.0,0.014299006,1.0,1.0,"[[2], [1]]"
12x12,0.0,2.889914001,8.205343522,8.360148188,0.0,2.735080789,1.444950101,2.735080789,0.0,8.205343522,1.444950101,2.735080789,0.0,0.0,1.444950101,7.224888137,10.11475771,6.915184288,0.0,0.0,0.0,0.0,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,2.889914001,8.360148188,0.0,0.0,0.0,0.0,0.0,0.0,21.88231712,2.735080789,2.735080789,0.0,0.0,0.0,0.0,0.0,5.470234187,12.384831141,0.0,2.735080789,0.0,7.070026447,1.444950101,35.55947916,0.0,7.070026447,0.0,8.669855849,0.0,8.205343522,0.0,11.095257523,0.0,2.735080789,0.0,4.18003089,0.0,2.735080789,8.205343522,0.0,0.0,1.444950101,15.120689791,0.0,0.0,38.29162586,4.334945658,0.0,0.0,0.0,5.624994790000001,0.0,0.0,2.735080789,0.0,4.18003089,2.735080789,0.0,0.0,5.779848666,0.0,15.120689791,0.0,1.444950101,0.0,1.444950101,0.0,0.0,0.0,0.0,10.11475771,0.0,2.735080789,0.0,0.0,65.02372147,0.0,18.631707129,0.0,0.0,85.258828239,0.0,2.889914001,0.0,0.0,1.444950101,0.0,2.889914001,2.735080789,9.650293623,0.0,0.0,0.0,15.274826697999998,0.0,0.0,1.444950101,1.444950101,1.444950101,4.18003089,0.0,0.0,27.35306412,0.0,0.01019799,0.012209246,0.046445215000000005,0.0,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.7000230649999999,0.0,0.0,0.103260324,0.029404352,0.31084095,0.0,0.0,1.0,1.0,"[[2], [2]]"
13x13,0.0,4.974238049,0.0,2.889914001,0.0,0.0,1.444950101,4.16856521,0.0,0.0,3.529274149,0.0,0.0,0.0,3.529274149,7.224888137,12.199081757999998,1.444950101,0.0,2.084324048,2.084324048,0.0,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,2.889914001,4.974238049,0.0,0.0,0.0,0.0,0.0,0.0,10.42089135,0.0,0.0,2.084324048,0.0,0.0,2.084324048,2.084324048,0.0,13.950118381,0.0,0.0,0.0,8.503510868,1.444950101,22.92764739,0.0,6.419269706,0.0,8.669855849,0.0,2.084324048,2.084324048,2.889914001,2.084324048,0.0,0.0,1.444950101,0.0,0.0,12.50516828,0.0,0.0,1.444950101,1.444950101,0.0,0.0,22.92764739,6.419269706,0.0,0.0,0.0,2.889914001,0.0,0.0,0.0,6.252871783,1.444950101,4.16856521,0.0,0.0,5.779848666,0.0,5.613515311,0.0,1.444950101,2.084324048,1.444950101,0.0,0.0,2.084324048,0.0,10.11475771,0.0,0.0,0.0,0.0,65.02372147,0.0,17.980950388,0.0,0.0,92.042177569,0.0,2.889914001,0.0,0.0,1.444950101,2.084324048,2.889914001,0.0,3.529274149,0.0,0.0,0.0,4.334945658,2.084324048,0.0,1.444950101,5.613515311,1.444950101,3.529274149,0.0,0.0,25.01357257,0.0,0.0,0.012209246,0.034896951,0.0,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,1.107460466,0.093054962,0.019073715,0.107325489,0.029404352,0.31084095,0.0,0.0,1.0,1.0,"[[2], [3]]"
14x14,0.0,2.889914001,1.24099042,4.130904421,0.0,0.0,2.685940521,3.722913592,2.481929712,0.0,2.685940521,0.0,0.0,0.0,2.685940521,9.706817849,15.078652864999999,1.444950101,0.0,0.0,3.722913592,0.0,0.0,0.0,1.444950101,2.481929712,1.444950101,3.926879813,1.444950101,0.0,0.0,1.24099042,7.8538091560000005,4.130904421,0.0,0.0,0.0,6.204767988,1.24099042,0.0,31.02580095,1.24099042,2.481929712,1.24099042,0.0,0.0,0.0,0.0,2.481929712,6.408845256,0.0,0.0,0.0,5.575936078,1.444950101,13.65210425,0.0,10.539713646,0.0,8.669855849,0.0,2.481929712,2.481929712,16.542018251000002,0.0,1.24099042,0.0,1.444950101,0.0,0.0,3.722913592,1.24099042,0.0,1.444950101,7.649718089,0.0,0.0,40.95657223,5.575936078,7.44578458,0.0,0.0,2.889914001,0.0,0.0,1.24099042,2.481929712,2.685940521,7.44578458,1.24099042,0.0,7.0208390860000005,0.0,12.612412141,0.0,1.444950101,0.0,5.167863693,1.24099042,2.481929712,1.24099042,0.0,10.11475771,0.0,0.0,0.0,0.0,65.02372147,0.0,23.34241092,0.0,0.0,74.442719199,0.0,4.130904421,1.24099042,0.0,1.444950101,0.0,2.889914001,0.0,18.818793051,0.0,0.0,0.0,8.05785925,1.24099042,0.0,1.444950101,1.444950101,2.685940521,2.685940521,0.0,0.0,31.02580095,0.0,0.027519328,0.034357521,0.038329661,0.0,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.5013441510000001,0.0,0.011446929,0.121473705,0.029404352,0.351932688,0.0206022,0.013707828,1.0,1.0,"[[2], [4]]"
15x15,0.0,0.96942751,24.23480772,0.96942751,2.2664666060000003,19.87372704,0.0,1.454143763,0.484704415,0.0,2.7511897010000004,2.2664666060000003,3.392987829,0.96942751,0.0,0.0,1.938799789,0.484704415,0.0,0.484704415,0.0,3.235905954,0.0,0.484704415,0.0,0.0,1.781762191,0.0,2.423576211,0.0,0.0,0.96942751,9.864543994,11.1478662,0.0,0.0,1.454143763,0.484704415,0.0,0.0,34.334481135000004,0.0,0.0,0.0,0.0,0.0,0.0,1.781762191,1.938799789,0.0,0.0,1.781762191,0.0,0.0,0.484704415,51.67444883,0.484704415,2.423576211,0.0,0.0,0.0,10.021720252,0.0,0.484704415,0.484704415,1.781762191,0.96942751,0.484704415,0.0,0.0,7.611699554,2.7511897010000004,0.0,0.96942751,35.711875950999996,0.0,0.0,33.84977672,0.96942751,1.781762191,0.0,0.96942751,1.781762191,0.0,0.484704415,0.0,3.235905954,4.048119776,7.611699554,0.484704415,0.0,1.781762191,0.0,5.50221515,5.50221515,7.611699554,0.0,2.908228973,1.781762191,5.33184099,0.484704415,0.0,2.2664666060000003,0.0,0.0,0.96942751,0.0,37.80610014,0.0,9.379892774,0.0,1.781762191,101.724751229,0.96942751,0.484704415,0.0,0.484704415,2.2664666060000003,0.96942751,2.908228973,3.87764288,8.253351311,0.0,0.0,0.0,2.2664666060000003,0.0,0.0,0.484704415,4.205338402,1.938799789,0.0,0.484704415,0.0,68.492847635,0.0,0.131674619,0.037088300000000005,0.07401192200000001,0.0,0.085412742,2.199779119,0.231173944,0.0,0.0,0.041429798,0.0,1.415639171,0.0,0.109059893,0.004172908,0.02281926,0.0,0.007626545,0.0,1.0,1.0,"[[3], [0]]"
