coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Astrocyte,ODImmature2,permutationTracker
0x0,0.0,0.0,20.647972752,5.104069828,0.0,40.553342395,0.0,0.824693815,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,1.649354052,0.0,0.824693815,0.0,0.0,38.246355888,4.948123813,0.0,1.649354052,1.727344509,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,7.7340293529999995,1.727344509,0.0,0.0,0.824693815,0.824693815,0.0,0.0,1.727344509,0.824693815,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298728334,0.0,0.824693815,0.0,3.376698561,4.279409591,0.0,0.0,0.0,0.824693815,0.824693815,1.727344509,0.824693815,0.0,7.500171783,0.0,26.39050251,30.466428479999998,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,4.2014259890000005,0.0,3.376698561,0.0,1.649354052,0.0,5.104069828,0.824693815,0.0,2.47408148,1.727344509,0.0,0.0,0.0,50.30976198,0.0,6.6754683219999995,0.0,0.824693815,12.36903314,1.649354052,2.47408148,0.0,0.824693815,0.0,0.0,7.5781362560000005,4.2014259890000005,3.454715776,0.0,0.0,4.948123813,1.727344509,0.0,0.0,1.727344509,1.727344509,3.376698561,1.727344509,0.0,0.0,12.916513045,0.025115972,0.010649115,0.04865686,0.027509865,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979608,0.560064776,0.028037602,0.006618201000000001,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,30.270185050000002,3.454715776,0.0,62.27371934,0.0,0.0,0.0,0.0,5.636055354,0.0,9.09077113,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,29.454406298000002,1.727344509,0.0,5.636055354,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,3.454715776,0.0,0.0,0.0,0.0,5.636055354,1.727344509,0.0,0.0,1.727344509,0.0,11.27156635,34.18276743,0.0,0.0,0.0,0.0,1.727344509,5.636055354,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,5.636055354,0.0,1.727344509,0.0,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,1.727344509,5.636055354,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,7.363399863,14.726282126000001,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,12.998910859,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.010649115,0.019945013,0.003473944,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.455559624,0.0,0.0,0.022361296,0.28121474700000004,0.490390247,0.003225125,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,19.85355927,6.874489136999999,0.0,40.583589149999995,9.403991771,30.77605657,0.0,0.0,2.56475757,1.709879628,4.309656346,0.0,17.989313086,0.0,5.984575239,0.0,1.709879628,1.709879628,8.549266197,6.909335538,2.56475757,0.85494057,0.0,2.582285079,0.85494057,0.85494057,0.0,0.0,0.0,0.85494057,15.38702061,7.764276108,1.727344509,0.0,0.85494057,2.56475757,0.0,0.0,0.0,1.727344509,1.709879628,0.0,0.0,1.727344509,0.85494057,7.694407673,1.727344509,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,7.694407673,0.0,0.85494057,0.0,6.001950212,10.2942453,7.694407673,0.0,0.85494057,0.0,0.0,2.582285079,0.0,0.85494057,2.582285079,0.85494057,6.839529524,18.982465018,0.0,0.85494057,6.839529524,0.0,2.582285079,0.0,0.85494057,24.79288964,0.0,0.0,0.0,3.437224137,0.0,0.0,0.0,1.709879628,5.129569872,0.0,11.13133628,7.694407673,29.086937909,2.56475757,0.0,0.85494057,3.454715776,5.984575239,0.0,0.85494057,1.727344509,1.709879628,1.709879628,0.0,0.0,0.0,8.566874033,0.0,1.709879628,0.85494057,0.0,20.5179057,0.0,0.0,0.0,0.0,5.164595404,1.727344509,9.439291015,0.85494057,0.0,0.0,8.566874033,0.85494057,0.0,1.727344509,1.727344509,3.437224137,5.14711787,0.0,0.0,12.9467598,0.011601815,0.010649115,0.017095657,0.020496924,0.0,0.0,0.0,0.0,0.0,0.0,0.07633881,0.0,0.344528462,0.0,0.07065118,0.019910117,0.379265711,0.0,0.003225125,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,42.12543403,3.454715776,0.0,76.73883504,0.0,4.625873984,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,4.625873984,0.0,32.38105052,11.535209521999999,18.5029362,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.727344509,0.0,4.625873984,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.603818249,3.454715776,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,4.625873984,1.727344509,0.0,0.0,72.77929252,0.0,0.0,9.251797048,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,13.87647374,0.0,0.0,0.0,0.0,0.0,9.251797048,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,35.21863456,0.0,0.025542449000000002,0.052223523,0.059846573,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.0,0.0,0.899503071,0.013323,0.00895826,0.010417362,0.273327152,0.00943649,0.024871032999999997,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,1.932715942,18.9986187,11.185434563,0.0,41.661364522,3.865416235,3.865416235,0.0,0.0,0.0,0.0,5.387431718,0.0,3.454715776,0.0,1.932715942,0.0,0.0,3.865416235,0.0,6.909335538,0.0,0.0,5.79813837,3.6600604509999997,1.932715942,0.0,0.0,0.0,0.0,0.0,36.72245942,10.774751773,3.6600604509999997,1.932715942,0.0,3.865416235,0.0,0.0,0.0,19.122353308999998,1.932715942,0.0,0.0,1.727344509,0.0,1.932715942,1.727344509,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,1.932715942,0.0,0.0,0.0,3.6600604509999997,3.454715776,21.25871045,0.0,3.865416235,1.932715942,0.0,1.727344509,0.0,0.0,1.727344509,0.0,9.663505567,19.205301332,0.0,0.0,1.932715942,9.663505567,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,1.932715942,0.0,0.0,0.0,11.59505302,0.0,21.055594829,7.730718787,61.638943459,5.79813837,0.0,1.932715942,3.454715776,0.0,0.0,3.865416235,1.727344509,3.865416235,1.932715942,0.0,0.0,0.0,7.525482879,0.0,0.0,1.932715942,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,7.525482879,11.185434563,0.0,3.865416235,0.0,3.6600604509999997,3.865416235,0.0,5.592760744,1.727344509,5.592760744,9.458063295999999,0.0,0.0,12.09181923,0.0,0.010649115,0.017095657,0.0,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.017878169,0.146909104,0.151001793,0.0,0.006120041,0.002926485,0.273327152,0.0,0.005156716,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,19.849299732,1.649354052,0.0,13.823790085,0.0,0.824693815,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,3.382671036,0.0,0.824693815,0.86668054,0.0,34.803650571,4.948123813,0.0,2.516034592,0.86668054,0.0,0.0,2.47408148,0.0,0.0,0.0,8.62463967,4.291324036,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,1.733316984,3.4246730850000002,0.0,0.0,0.0,0.0,0.0,4.333348955,1.6913743550000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165408874000001,0.0,0.824693815,0.0,5.982703007,1.6913743550000002,0.0,0.0,0.0,2.558010799,0.824693815,0.0,0.824693815,0.0,7.506144258,0.86668054,27.257183050000002,39.19609596,0.0,1.733316984,0.86668054,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.824693815,0.824693815,1.649354052,0.0,3.34076202,0.86668054,1.649354052,0.0,1.649354052,0.0,5.982703007,0.824693815,0.0,2.47408148,0.86668054,3.466630221,0.0,0.0,50.30976198,0.0,4.948123813,0.0,1.6913743550000002,13.235713680000002,2.516034592,4.207398464000001,0.0,0.824693815,0.0,0.0,6.7233997500000005,5.940711701,12.13409037,0.86668054,0.86668054,4.948123813,0.86668054,0.0,0.86668054,0.0,0.0,1.649354052,1.733316984,0.0,0.0,9.491432973,0.039173048,0.0,0.053812335,0.036915675,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979608,0.563617375,0.041101642,0.00497286,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,29.47151203,0.0,0.0,35.544167030000004,0.0,0.0,0.0,0.0,6.502735894,0.0,5.636055354,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,19.071512205,26.011700981,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,1.733316984,2.59997927,0.0,0.0,0.0,0.0,0.0,4.333348955,6.502735894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,1.733316984,5.636055354,0.0,0.0,0.0,1.733316984,0.86668054,12.138246890000001,42.91243491,0.0,1.733316984,0.86668054,1.733316984,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,5.636055354,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,0.0,5.636055354,6.502735894,0.86668054,0.86668054,1.733316984,0.0,0.0,0.0,0.0,2.59997927,9.102685574999999,23.40565672,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,11.27156635,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.0,0.025100488,0.012879754,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.455559624,0.0,0.0,0.022361296,0.28476734600000003,0.5034542870000001,0.001579784,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,19.05488625,3.419773361,0.0,13.854036840000001,9.403991771,30.77605657,0.0,0.0,3.4314381099999998,1.709879628,0.85494057,0.0,14.53459731,0.0,7.717892223,0.0,1.709879628,2.576560168,8.549266197,3.466630221,2.56475757,0.85494057,0.86668054,1.72162111,0.85494057,0.85494057,0.0,0.0,0.0,0.85494057,23.186966465,4.321570791,0.0,0.0,0.85494057,2.56475757,0.0,0.0,0.0,1.733316984,4.309858898,0.0,0.0,0.0,0.85494057,7.694407673,4.333348955,2.576560168,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,8.561088213,0.0,0.85494057,0.0,8.607954658,7.7062100639999995,7.694407673,0.0,0.85494057,1.733316984,0.0,0.85494057,0.0,0.85494057,2.588257554,1.72162111,7.7062100639999995,27.712132498,0.0,2.588257554,7.7062100639999995,1.733316984,0.85494057,0.0,0.85494057,24.79288964,0.0,0.0,0.0,1.709879628,0.0,0.86668054,0.0,1.709879628,5.129569872,0.0,10.270672311,8.561088213,27.3595934,2.56475757,0.0,0.85494057,4.333348955,5.984575239,0.0,0.85494057,0.86668054,5.176509849,1.709879628,0.0,0.0,0.0,6.839529524,0.0,2.576560168,1.72162111,0.86668054,22.251222684,0.0,0.0,0.0,0.0,4.309858898,3.466630221,18.118665608999997,1.72162111,0.86668054,0.0,7.7062100639999995,0.85494057,0.86668054,0.0,0.0,1.709879628,5.153090345,0.0,0.0,9.521679728,0.025658891,0.0,0.022251132,0.029902734,0.0,0.0,0.0,0.0,0.0,0.0,0.07633881,0.0,0.344528462,0.0,0.07065118,0.019910117,0.38281831,0.01306404,0.001579784,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,41.32676101,0.0,0.0,50.00928273,0.0,4.625873984,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,4.625873984,0.86668054,32.38105052,8.092504205000001,18.5029362,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,2.59997927,0.0,0.0,0.0,0.0,4.625873984,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,18.209822695,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,4.625873984,1.733316984,0.86668054,0.86668054,81.50896,0.0,1.733316984,10.118477588000001,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,14.74315428,0.86668054,1.733316984,0.0,0.0,0.0,9.251797048,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,31.793554487999998,0.014057076,0.014893334,0.057378998,0.069252383,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.0,0.0,0.899503071,0.013323,0.00895826,0.010417362,0.276879751,0.02250053,0.023225692,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,1.932715942,18.19994568,7.730718787,0.0,14.931812212,3.865416235,3.865416235,0.0,0.0,0.86668054,0.0,1.932715942,0.0,0.0,0.0,3.6660329259999997,0.0,0.0,4.7320967750000005,0.0,3.466630221,0.0,0.0,6.66481891,2.799396482,1.932715942,0.0,0.0,0.0,0.0,0.0,44.522405275,7.3320464560000005,1.932715942,1.932715942,0.0,3.865416235,0.0,0.0,0.0,19.128325783999998,4.532695212,0.0,0.0,0.0,0.0,1.932715942,4.333348955,18.26168934,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,2.799396482,0.0,0.0,0.0,6.266064897,0.86668054,21.25871045,0.0,3.865416235,3.6660329259999997,0.0,0.0,0.0,0.0,1.733316984,0.86668054,10.530186107,27.934968812,0.0,1.733316984,2.799396482,11.396822551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932715942,0.86668054,0.0,0.0,11.59505302,0.0,20.19493086,8.597399327,59.91159895,5.79813837,0.0,1.932715942,4.333348955,0.0,0.0,3.865416235,0.86668054,7.3320464560000005,1.932715942,0.0,0.0,0.0,5.79813837,0.0,0.86668054,2.799396482,0.86668054,1.733316984,0.0,0.0,0.0,0.0,2.59997927,9.264768591,19.864809157,0.86668054,4.7320967750000005,0.0,2.799396482,3.865416235,0.86668054,3.865416235,0.0,3.865416235,9.464035770999999,0.0,0.0,8.666739158,0.014057076,0.0,0.022251132,0.00940581,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.017878169,0.146909104,0.151001793,0.0,0.006120041,0.002926485,0.276879751,0.01306404,0.003511375,0.0,1.0,1.0,"[[1], [4]]"
10x10,0.0,0.0,15.732780162,4.209681972,0.0,18.748130005,0.0,0.824693815,0.0,0.0,0.0,0.0,2.56032792,0.0,0.0,0.0,1.649354052,0.0,0.824693815,0.0,0.0,32.617204907,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,14.908119925,11.065565745,0.0,0.0,5.120684589,0.824693815,0.824693815,0.0,0.0,2.56032792,4.665191313,0.0,0.0,0.0,1.280184557,1.280184557,1.280184557,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298728334,0.0,0.824693815,1.280184557,2.9295386089999997,3.3850217350000005,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,0.0,5.772827274,0.0,26.39050251,40.07430727,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.824693815,0.824693815,1.649354052,1.280184557,5.0344094,1.280184557,1.649354052,0.0,1.649354052,0.0,5.48985155,0.824693815,0.0,2.47408148,0.0,0.0,0.0,0.0,50.30976198,0.0,4.948123813,0.0,0.824693815,12.36903314,1.649354052,2.47408148,0.0,0.824693815,1.280184557,0.0,4.12342048,8.874904179,6.400822699,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.0,0.0,7.225516514,0.025115972,0.0,0.031561203,0.027509865,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979608,0.5744830030000001,0.028037602,0.003393076,0.0,1.0,1.0,"[[2], [0]]"
11x11,0.0,0.0,25.35499246,2.56032792,0.0,40.468506950000005,0.0,0.0,0.0,0.0,5.636055354,0.0,8.196383274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35499246,32.78594269,0.0,0.0,10.756739943,0.0,0.0,0.0,0.0,2.56032792,3.840497498,0.0,0.0,0.0,1.280184557,1.280184557,1.280184557,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,1.280184557,2.56032792,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,11.27156635,43.79064622,0.0,0.0,0.0,1.280184557,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,5.636055354,1.280184557,2.56032792,1.280184557,0.0,0.0,0.0,0.0,3.840497498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,5.636055354,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,12.036878052999999,17.672389049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,0.0,0.0,0.0,0.0,6.400822699,0.0,0.0,0.002849356,0.003473944,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.455559624,0.0,0.0,0.022361296,0.29563297400000005,0.490390247,0.0,0.0,1.0,1.0,"[[2], [1]]"
12x12,0.0,0.0,14.93836668,5.980101281,0.0,18.77837676,9.403991771,30.77605657,0.0,0.0,2.56475757,1.709879628,3.4152684900000003,0.0,14.53459731,0.0,5.984575239,0.0,1.709879628,1.709879628,8.549266197,1.280184557,2.56475757,0.85494057,0.0,0.85494057,0.85494057,0.85494057,0.0,0.0,0.0,0.85494057,29.470446719999998,11.095812500000001,0.0,0.0,5.975625159,2.56475757,0.0,0.0,0.0,2.56032792,5.550377126,0.0,0.0,0.0,2.135125127,8.974592229999999,1.280184557,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,7.694407673,0.0,0.85494057,1.280184557,5.55479026,9.399857444,7.694407673,0.0,0.85494057,0.0,0.0,0.85494057,0.0,0.85494057,0.85494057,0.85494057,6.839529524,28.590343808,0.0,0.85494057,6.839529524,1.280184557,0.85494057,0.0,0.85494057,24.79288964,0.0,0.0,0.0,1.709879628,0.0,1.280184557,0.0,1.709879628,5.129569872,1.280184557,11.964319691,8.974592229999999,27.3595934,2.56475757,0.0,0.85494057,3.840497498,5.984575239,0.0,0.85494057,0.0,1.709879628,1.709879628,0.0,0.0,0.0,6.839529524,0.0,1.709879628,0.85494057,0.0,20.5179057,0.0,0.0,1.280184557,0.0,1.709879628,6.400822699,12.385397938,0.85494057,0.0,0.0,6.839529524,0.85494057,0.0,0.0,0.0,1.709879628,3.419773361,0.0,0.0,7.255763269,0.011601815,0.0,0.0,0.020496924,0.0,0.0,0.0,0.0,0.0,0.0,0.07633881,0.0,0.344528462,0.0,0.07065118,0.019910117,0.393683938,0.0,0.0,0.0,1.0,1.0,"[[2], [2]]"
13x13,0.0,0.0,37.21024144,2.56032792,0.0,54.933622650000004,0.0,4.625873984,0.0,0.0,0.0,0.0,2.56032792,0.0,0.0,0.0,0.0,0.0,4.625873984,0.0,32.38105052,5.906058541,18.5029362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08342611,10.24087193,0.0,0.0,5.120684589,0.0,0.0,0.0,0.0,2.56032792,3.840497498,0.0,0.0,0.0,1.280184557,5.906058541,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,15.156658297,2.56032792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625873984,0.0,0.0,0.0,82.38717131,0.0,0.0,9.251797048,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,1.280184557,2.56032792,1.280184557,0.0,0.0,0.0,0.0,3.840497498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87647374,0.0,0.0,0.0,0.0,1.280184557,9.251797048,0.0,6.400822699,6.400822699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.527638029,0.0,0.014893334,0.035127866,0.059846573,0.0,0.030051645,0.0,0.452947761,0.0,0.157891858,0.0,0.0,0.899503071,0.013323,0.00895826,0.010417362,0.287745379,0.00943649,0.021645908,0.0,1.0,1.0,"[[2], [3]]"
14x14,0.0,1.932715942,14.08342611,10.291046707,0.0,19.856152132000002,3.865416235,3.865416235,0.0,0.0,0.0,0.0,4.493043862,0.0,0.0,0.0,1.932715942,0.0,0.0,3.865416235,0.0,1.280184557,0.0,0.0,5.79813837,1.932715942,1.932715942,0.0,0.0,0.0,0.0,0.0,50.80588553,14.106288165,1.932715942,1.932715942,5.120684589,3.865416235,0.0,0.0,0.0,19.95533672,5.77321344,0.0,0.0,0.0,1.280184557,3.212900499,1.280184557,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,1.932715942,0.0,0.0,1.280184557,3.212900499,2.56032792,21.25871045,0.0,3.865416235,1.932715942,0.0,0.0,0.0,0.0,0.0,0.0,9.663505567,28.813180122000002,0.0,0.0,1.932715942,10.943690124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932715942,1.280184557,0.0,0.0,11.59505302,1.280184557,21.888578239999998,9.010903343999999,59.91159895,5.79813837,0.0,1.932715942,3.840497498,0.0,0.0,3.865416235,0.0,3.865416235,1.932715942,0.0,0.0,0.0,5.79813837,0.0,0.0,1.932715942,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,12.198961069,14.131541486,0.0,3.865416235,0.0,1.932715942,3.865416235,0.0,3.865416235,0.0,3.865416235,7.730718787,0.0,0.0,6.400822699,0.0,0.0,0.0,0.0,0.018385249,0.0,0.0,0.0,0.183308543,0.0,0.017878169,0.146909104,0.151001793,0.0,0.006120041,0.002926485,0.287745379,0.0,0.001931591,0.0,1.0,1.0,"[[2], [4]]"
15x15,0.0,0.0,27.676488371999998,1.649354052,0.0,38.010327315000005,1.859170143,4.543042152,0.0,0.0,0.0,0.0,2.788785337,0.0,0.0,1.859170143,5.367702389,0.0,0.824693815,0.0,0.0,31.33702035,4.948123813,0.0,2.578966091,0.0,0.0,1.859170143,3.403693519,0.0,0.0,0.929612039,13.839916415,10.121439822,0.0,0.0,0.0,3.613479152,0.824693815,0.0,0.0,0.0,0.824693815,0.929612039,0.929612039,0.929612039,0.0,0.0,3.718348337,2.683863958,0.929612039,0.0,0.0,0.0,0.929612039,0.0,0.0,5.157898477,0.0,0.824693815,1.859170143,4.438139389,2.683863958,3.718348337,0.0,0.929612039,0.824693815,0.824693815,0.0,0.824693815,0.0,7.631997417,0.0,26.39050251,51.30494033,0.0,0.0,0.0,0.0,0.929612039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929612039,0.0,0.824693815,0.824693815,2.578966091,0.0,6.192429817000001,0.0,1.649354052,0.0,1.649354052,1.859170143,16.523852032,1.754305854,0.0,2.47408148,0.929612039,1.859170143,0.0,0.0,50.30976198,1.859170143,6.807293956,0.0,0.824693815,14.228203283000001,2.578966091,2.47408148,0.0,0.824693815,0.0,0.929612039,6.912205817,4.333251623000001,13.94514042,0.0,0.0,4.948123813,0.929612039,0.0,0.0,0.929612039,2.788785337,2.578966091,0.0,0.0,0.0,11.050046635,0.025115972,0.012016516,0.034134423000000004,0.033934596000000004,0.00197471,0.0,0.0,0.0,0.0,0.0,0.000229578,0.0,0.0,0.0,0.0,0.000979608,0.541452364,0.028251951999999997,0.003393076,0.0,1.0,1.0,"[[3], [0]]"
