coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODMature2,ODMature1,ODMature2cells
0x0,0.0,0.0,0.0,2.658137286,1.329056371,3.792195984,1.993574012,4.456713625,0.0,0.664523765,0.664523765,0.0,0.0,0.0,0.0,0.0,7.974287945,0.0,0.0,0.0,0.664523765,4.651711701,2.463139613,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,0.0,0.664523765,0.0,0.0,37.72634323,0.0,1.329056371,2.463139613,0.0,0.0,0.0,6.255306803,0.0,14.893557418,0.0,0.0,0.0,0.664523765,0.0,30.142899065,3.1276633780000003,1.329056371,0.0,1.329056371,1.993574012,2.658137286,0.0,5.316260017,0.664523765,2.463139613,0.0,0.0,0.0,0.0,8.718438952,1.993574012,0.0,0.0,5.980716486,0.0,0.664523765,39.331532598,0.664523765,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,3.792195984,1.329056371,5.316260017,0.0,0.664523765,4.651711701,0.0,5.121276899,6.255306803,0.664523765,0.0,6.255306803,3.1276633780000003,0.0,1.329056371,0.0,0.664523765,0.0,0.0,0.0,0.0,0.0,3.987122086,7.77939963,0.0,1.329056371,64.77220600999999,0.0,1.993574012,0.0,0.0,0.0,0.664523765,3.1276633780000003,0.0,13.174404773,0.0,0.664523765,0.664523765,2.658137286,2.463139613,0.0,0.0,0.0,2.463139613,1.329056371,0.0,0.0,43.98457874,0.005950012,0.031260741,0.003502826,0.008948038,0.223201486,0.017684828,1.735762613,0.0,0.013825942,0.0,0.023007694,0.035893242,0.0,0.0,0.0,0.204397779,0.176511469,0.002089427,0.0,0.075526214,1.0,1.0,[0]
1x1,0.0,0.0,1.457310294,0.0,0.0,2.463139613,0.0,2.463139613,0.0,0.0,1.457310294,2.914713648,0.0,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,4.372049429,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829359897,0.0,0.0,0.0,0.0,0.0,0.0,37.29523597,2.914713648,2.914713648,2.463139613,0.0,0.0,0.0,4.926250432,0.0,19.500244322,0.0,0.0,0.0,1.457310294,0.0,29.455280275,2.463139613,0.0,0.0,0.0,0.0,1.457310294,1.457310294,7.286669155,0.0,2.463139613,0.0,0.0,0.0,0.0,14.676051736,0.0,0.0,0.0,4.372049429,0.0,0.0,56.796822230000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,1.457310294,0.0,0.0,0.0,1.457310294,0.0,5.377853261,4.926250432,0.0,0.0,9.298299861,2.463139613,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,0.0,6.835189042,0.0,0.0,74.73051211,0.0,1.457310294,0.0,0.0,0.0,1.457310294,2.463139613,0.0,12.766469143999998,0.0,0.0,0.0,1.457310294,2.463139613,1.457310294,0.0,0.0,3.920449907,0.0,0.0,0.0,48.05116915000001,0.005950012,0.020191263,0.028904448,0.008948038,0.0,0.017684828,2.510118342,0.0,0.031706104,0.0,0.057165942,0.0,0.0,0.0,0.0,0.067448688,0.242956872,0.0036069450000000003,0.015233641,0.0,1.0,1.0,[1]
2x2,0.0,0.0,0.0,1.983389796,0.0,5.438257384,0.0,3.45482162,0.0,0.0,0.0,1.983389796,0.0,0.0,1.983389796,2.975117771,1.983389796,0.991682007,0.0,0.0,1.983389796,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.958541933,0.0,0.0,0.0,0.0,0.991682007,0.0,0.0,43.95388434,0.0,0.0,2.463139613,0.0,0.0,0.0,6.909640228,0.0,6.909640228,0.0,0.0,0.0,3.966838056,0.0,36.05193731,2.463139613,5.950243176,0.0,0.0,0.0,0.0,0.991682007,7.933671932,0.0,2.463139613,0.0,0.0,0.0,0.0,11.356220637,0.0,0.0,0.0,3.966838056,0.0,0.0,54.82848743,0.0,1.983389796,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.991682007,0.0,1.983389796,0.0,6.4299776689999995,5.917932438999999,0.0,0.0,8.893088488,4.446529409,0.0,0.0,0.0,1.983389796,0.0,0.991682007,0.0,0.0,0.0,0.0,5.438257384,0.0,0.0,44.43074414,0.0,3.966838056,0.0,0.0,0.0,0.0,2.463139613,0.0,9.851755496,0.991682007,0.0,0.0,7.933671932,2.463139613,0.0,0.0,0.991682007,3.45482162,0.0,0.0,0.0,47.88727378,0.005950012,0.020191263,0.045875457,0.012632729,0.0,0.017684828,1.3599712199999998,0.0,0.0,0.0,0.11799983,0.010784794,0.0,0.010793173,0.0,0.013459953,0.21133675600000001,0.033451128,0.024389221,0.0,1.0,1.0,[2]
3x3,0.719174655,0.0,0.0,2.157548282,0.0,3.182314268,0.0,3.901511823,2.157548282,1.43837221,0.0,0.0,0.0,0.0,0.0,0.0,5.75351704,0.0,0.0,1.43837221,0.719174655,0.719174655,2.463139613,0.0,5.75351704,7.191812438,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,1.43837221,0.0,0.0,0.0,0.0,0.719174655,0.0,0.0,43.635965600000006,0.0,3.595999788,3.901511823,0.0,0.0,0.0,8.52225022,0.0,18.591855982,0.0,0.719174655,0.0,4.315082378,0.719174655,31.517649558000002,3.901511823,10.78691088,0.0,0.0,1.43837221,2.157548282,0.719174655,1.43837221,0.0,3.182314268,0.0,0.719174655,0.0,0.0,18.897731860999997,3.595999788,0.719174655,0.0,0.719174655,0.0,0.0,47.124491660000004,0.0,0.0,0.0,1.43837221,0.719174655,0.0,0.0,0.0,3.901511823,0.0,1.43837221,0.0,0.719174655,2.876769678,2.157548282,3.901511823,4.926250432,0.0,0.0,4.926250432,2.463139613,0.719174655,0.0,0.0,0.0,1.43837221,0.0,0.719174655,0.0,0.719174655,0.0,6.0591394009999995,0.0,0.0,77.01809738,0.0,6.472742201,1.43837221,0.0,0.0,0.0,4.620687895,1.43837221,19.200793933999996,0.0,0.0,0.0,2.876769678,2.463139613,0.0,0.0,1.43837221,3.901511823,3.595999788,1.43837221,0.0,54.31874355,0.009501132,0.029614737000000002,0.028401662,0.032493177,0.0,0.046918533,2.13195243,0.0,0.0,0.0,0.338595986,0.0,0.29720914,0.0,0.020208882,0.006769616,0.179791618,0.002089427,0.002309854,0.0,1.0,1.0,[3]
4x4,0.0,0.0,5.443769546,0.0,0.0,7.9069091590000005,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443769546,10.88775922,0.0,0.0,0.0,0.0,5.443769546,0.0,37.98088088,0.0,0.0,2.463139613,0.0,0.0,0.0,10.370019978,0.0,4.926250432,0.0,0.0,0.0,10.88775922,0.0,38.49866847,2.463139613,5.443769546,0.0,0.0,0.0,10.88775922,5.443769546,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,7.389382581,0.0,0.0,0.0,0.0,0.0,0.0,37.465513076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,21.77718242,0.0,0.0,0.0,0.0,2.463139613,26.703432852,0.0,0.0,4.926250432,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,45.886303510000005,0.0,5.443769546,0.0,0.0,0.0,0.0,2.463139613,0.0,9.851755496,0.0,0.0,0.0,0.0,2.463139613,5.443769546,0.0,5.443769546,2.463139613,0.0,0.0,0.0,32.02174353,0.022375858000000002,0.020191263,0.034237771,0.008948038,0.0,0.017684828,1.671271252,0.0,0.0,0.0,0.152530489,0.0,0.0,0.0,0.0,0.013759482,0.37259923500000003,0.007006211,0.017870904,0.0,1.0,1.0,[4]
5x5,0.0,0.0,3.332614013,3.491295715,1.329056371,4.661670384000001,1.993574012,1.993574012,0.0,0.664523765,1.497682194,0.0,0.833158429,0.0,0.0,0.0,8.807446374000001,0.0,1.666306062,0.0,0.664523765,4.651711701,0.833158429,0.0,0.664523765,0.833158429,0.0,0.0,0.664523765,0.0,0.0,0.0,4.324443348,5.832033701,0.664523765,0.0,0.0,0.664523765,0.0,0.0,28.96180383,0.833158429,1.329056371,0.0,0.0,0.0,1.666306062,1.329056371,0.0,9.967306986,0.0,0.0,0.0,1.497682194,0.0,16.305756566,2.330829827,1.329056371,0.0,2.1622148,1.993574012,2.658137286,0.0,6.982566079000001,0.664523765,0.0,0.0,0.0,0.0,0.0,5.494766116,2.826732441,0.0,0.0,15.978369166,0.0,0.664523765,24.806733848,0.664523765,4.651711701,0.664523765,0.833158429,0.664523765,0.0,0.0,0.0,2.1622148,1.329056371,7.815711687,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,0.664523765,0.833158429,2.1622148,0.664523765,0.0,1.329056371,0.833158429,0.664523765,0.0,0.0,0.0,0.0,0.0,3.987122086,11.981398403,0.0,1.329056371,84.36931596,0.0,1.993574012,0.0,0.833158429,0.0,1.497682194,0.664523765,0.0,5.822100947,0.0,0.664523765,0.664523765,2.658137286,1.666306062,1.666306062,0.0,0.0,0.0,1.329056371,0.833158429,0.0,41.95843181,0.025262328,0.011069478,0.074644945,0.023665343,0.223201486,0.0,1.85979363,0.0,0.015578984,0.0,0.017918014,0.035893242,0.0,0.0,0.0,0.223624948,0.34920027,0.003530092,0.016707202,0.075526214,1.0,1.0,[0]
6x6,0.0,0.0,4.789924307,0.833158429,0.0,3.332614013,0.0,0.0,0.0,0.0,2.290468723,2.914713648,0.833158429,0.0,0.0,0.0,2.290468723,0.0,3.1236163560000003,0.0,4.372049429,0.0,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,1.666306062,11.661393598,0.0,0.0,0.0,0.0,0.0,0.0,28.530696570000003,3.7478720770000002,2.914713648,0.0,0.0,0.0,1.666306062,0.0,0.0,14.57399389,0.0,0.0,0.0,2.290468723,0.0,15.618137776000001,1.666306062,0.0,0.0,0.833158429,0.0,1.457310294,1.457310294,8.952975217,0.0,0.0,0.0,0.0,0.0,0.0,11.4523789,0.833158429,0.0,0.0,14.369702108999999,0.0,0.0,42.27202348,0.0,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,1.457310294,2.49945167,0.0,0.0,1.457310294,0.0,2.914713648,0.0,0.0,0.833158429,5.205207858,0.0,0.0,1.457310294,0.833158429,0.0,0.0,1.457310294,0.0,0.0,0.0,0.0,11.037187815,0.0,0.0,94.32762206,0.0,1.457310294,0.0,0.833158429,0.0,2.290468723,0.0,0.0,5.414165318,0.0,0.0,0.0,1.457310294,1.666306062,3.1236163560000003,0.0,0.0,1.457310294,0.0,0.833158429,0.0,46.02502222,0.025262328,0.0,0.100046567,0.023665343,0.0,0.0,2.6341493590000002,0.0,0.033459146,0.0,0.052076262,0.0,0.0,0.0,0.0,0.086675857,0.415645673,0.00504761,0.031940843,0.0,1.0,1.0,[1]
7x7,0.0,0.0,3.332614013,2.816548225,0.0,6.307731784,0.0,0.991682007,0.0,0.0,0.833158429,1.983389796,0.833158429,0.0,1.983389796,2.975117771,2.816548225,0.991682007,1.666306062,0.0,1.983389796,0.0,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,6.6248479950000005,5.832033701,0.0,0.0,0.0,0.991682007,0.0,0.0,35.18934494,0.833158429,0.0,0.0,0.0,0.0,1.666306062,1.983389796,0.0,1.983389796,0.0,0.0,0.0,4.799996484999999,0.0,22.214794811,1.666306062,5.950243176,0.0,0.833158429,0.0,0.0,0.991682007,9.599977994,0.0,0.0,0.0,0.0,0.0,0.0,8.132547801,0.833158429,0.0,0.0,13.964490736,0.0,0.0,40.30368868,0.0,1.983389796,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,2.49945167,0.991682007,0.0,1.983389796,0.0,3.966838056,0.991682007,0.0,0.833158429,4.799996484999999,1.983389796,0.0,0.0,0.833158429,1.983389796,0.0,0.991682007,0.0,0.0,0.0,0.0,9.640256157,0.0,0.0,64.02785408999999,0.0,3.966838056,0.0,0.833158429,0.0,0.833158429,0.0,0.0,2.49945167,0.991682007,0.0,0.0,7.933671932,1.666306062,1.666306062,0.0,0.991682007,0.991682007,0.0,0.833158429,0.0,45.86112685,0.025262328,0.0,0.11701757600000001,0.027350034,0.0,0.0,1.484002237,0.0,0.001753042,0.0,0.11291015,0.010784794,0.0,0.010793173,0.0,0.032687122,0.38402555699999996,0.034891793,0.041096423,0.0,1.0,1.0,[2]
8x8,0.719174655,0.0,3.332614013,2.990706711,0.0,4.051788668,0.0,1.43837221,2.157548282,1.43837221,0.833158429,0.0,0.833158429,0.0,0.0,0.0,6.586675469,0.0,1.666306062,1.43837221,0.719174655,0.719174655,0.833158429,0.0,5.75351704,8.024970867,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,3.104678272,5.832033701,0.0,0.0,0.0,0.719174655,0.0,0.0,34.8714262,0.833158429,3.595999788,1.43837221,0.0,0.0,1.666306062,3.595999788,0.0,13.66560555,0.0,0.719174655,0.0,5.148240807,0.719174655,17.680507059,3.104678272,10.78691088,0.0,0.833158429,1.43837221,2.157548282,0.719174655,3.104678272,0.0,0.719174655,0.0,0.719174655,0.0,0.0,15.674059024999998,4.4291582169999995,0.719174655,0.0,10.716827335,0.0,0.0,32.59969291,0.0,0.0,0.0,2.271530639,0.719174655,0.0,0.0,0.0,2.271530639,0.0,3.93782388,0.0,0.719174655,2.876769678,2.157548282,1.43837221,0.0,0.0,0.833158429,0.833158429,0.0,0.719174655,0.0,0.833158429,0.0,1.43837221,0.0,0.719174655,0.0,0.719174655,0.0,10.261138174,0.0,0.0,96.61520733,0.0,6.472742201,1.43837221,0.833158429,0.0,0.833158429,2.157548282,1.43837221,11.848490108,0.0,0.0,0.0,2.876769678,1.666306062,1.666306062,0.0,1.43837221,1.43837221,3.595999788,2.271530639,0.0,52.29259662,0.028813448000000002,0.009423474,0.099543781,0.047210482,0.0,0.029233705,2.255983447,0.0,0.001753042,0.0,0.333506306,0.0,0.29720914,0.0,0.020208882,0.025996785,0.352480419,0.003530092,0.019017056,0.0,1.0,1.0,[3]
9x9,0.0,0.0,8.776383559000001,0.833158429,0.0,8.776383559000001,0.0,0.0,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,0.0,0.833158429,0.0,1.666306062,0.0,0.0,0.0,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,7.110075608000001,16.719792921,0.0,0.0,0.0,0.0,5.443769546,0.0,29.21634148,0.833158429,0.0,0.0,0.0,0.0,1.666306062,5.443769546,0.0,0.0,0.0,0.0,0.0,11.720917649,0.0,24.661525971000003,1.666306062,5.443769546,0.0,0.833158429,0.0,10.88775922,5.443769546,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,4.165709745,0.833158429,0.0,0.0,9.99765268,0.0,0.0,22.940714326,0.0,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,24.276634089999998,0.0,0.0,0.0,0.0,0.0,21.77718242,0.0,0.833158429,0.833158429,0.0,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.665138386,0.0,0.0,65.48341346,0.0,5.443769546,0.0,0.833158429,0.0,0.833158429,0.0,0.0,2.49945167,0.0,0.0,0.0,0.0,1.666306062,7.110075608000001,0.0,5.443769546,0.0,0.0,0.833158429,0.0,29.9955966,0.041688174,0.0,0.10537989,0.023665343,0.0,0.0,1.795302269,0.0,0.001753042,0.0,0.147440809,0.0,0.0,0.0,0.0,0.032986651,0.545288036,0.008446876,0.034578106,0.0,1.0,1.0,[4]
10x10,0.0,0.0,0.0,2.658137286,1.329056371,1.329056371,11.862834574999999,1.993574012,0.0,0.664523765,5.599513881,0.0,0.0,2.467448345,2.467448345,0.0,7.974287945,0.0,2.467448345,0.0,0.664523765,4.651711701,0.0,0.0,3.1319721100000004,19.73958204,0.0,0.0,0.664523765,0.0,0.0,2.467448345,2.658137286,0.0,3.1319721100000004,0.0,0.0,0.664523765,0.0,0.0,45.17997977,0.0,1.329056371,0.0,0.0,2.467448345,4.934990116,6.264046487,2.467448345,14.902297102,0.0,2.467448345,0.0,0.664523765,0.0,12.909278061,5.599513881,1.329056371,0.0,1.329056371,4.461022357,7.593127402,0.0,12.718788629,0.664523765,0.0,0.0,0.0,0.0,0.0,6.264046487,1.993574012,0.0,0.0,5.980716486,0.0,0.664523765,59.129984048,3.1319721100000004,4.651711701,0.664523765,0.0,0.664523765,2.467448345,0.0,0.0,1.329056371,1.329056371,7.7837083620000005,0.0,0.664523765,7.119160046,0.0,7.593127402,1.329056371,0.664523765,0.0,6.264046487,0.664523765,0.0,8.731584983000001,0.0,0.664523765,0.0,2.467448345,0.0,0.0,0.0,3.987122086,10.251250133,0.0,1.329056371,141.31855645,0.0,14.331859232,0.0,0.0,0.0,0.664523765,0.664523765,0.0,8.257639393,0.0,0.664523765,0.664523765,5.125585631,0.0,2.467448345,0.0,0.0,2.467448345,1.329056371,0.0,0.0,56.37790647,0.0,0.09958593600000001,0.0,0.066505256,0.223201486,0.065165276,2.915904094,0.132017133,0.013825942,0.0,0.0,0.035893242,0.575796023,0.0,0.007229182,0.197628163,0.041223593,0.0,0.0,0.075526214,1.0,1.0,[0]
11x11,0.0,0.0,1.457310294,0.0,0.0,0.0,9.869260563,0.0,0.0,0.0,6.39230041,2.914713648,0.0,2.467448345,2.467448345,0.0,1.457310294,0.0,3.924758639,0.0,4.372049429,0.0,0.0,0.0,2.467448345,19.73958204,0.0,0.0,0.0,0.0,0.0,2.467448345,0.0,5.829359897,2.467448345,0.0,0.0,0.0,0.0,0.0,44.74887251,2.914713648,2.914713648,0.0,0.0,2.467448345,4.934990116,4.934990116,2.467448345,19.508984006,0.0,2.467448345,0.0,1.457310294,0.0,12.221659271,4.934990116,0.0,0.0,0.0,2.467448345,6.39230041,1.457310294,14.689197767,0.0,0.0,0.0,0.0,0.0,0.0,12.221659271,0.0,0.0,0.0,4.372049429,0.0,0.0,76.59527367999999,2.467448345,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,1.457310294,2.467448345,0.0,0.0,3.924758639,0.0,7.849703764,0.0,0.0,0.0,9.307039544999999,0.0,0.0,8.859838906,0.0,0.0,0.0,3.924758639,0.0,0.0,0.0,0.0,9.307039544999999,0.0,0.0,151.27686255,0.0,13.795595513999999,0.0,0.0,0.0,1.457310294,0.0,0.0,7.849703764,0.0,0.0,0.0,3.924758639,0.0,3.924758639,0.0,0.0,3.924758639,0.0,0.0,0.0,60.44449688,0.0,0.088516458,0.025401622,0.066505256,0.0,0.065165276,3.690259823,0.132017133,0.031706104,0.0,0.034158248,0.0,0.575796023,0.0,0.007229182,0.060679072,0.107668996,0.001517518,0.015233641,0.0,1.0,1.0,[1]
12x12,0.0,0.0,0.0,1.983389796,0.0,2.975117771,9.869260563,0.991682007,0.0,0.0,4.934990116,1.983389796,0.0,2.467448345,4.450838141,2.975117771,1.983389796,0.991682007,2.467448345,0.0,1.983389796,0.0,0.0,0.0,2.467448345,19.73958204,0.0,0.0,0.0,0.0,0.0,2.467448345,4.958541933,0.0,2.467448345,0.0,0.0,0.991682007,0.0,0.0,51.40752088,0.0,0.0,0.0,0.0,2.467448345,4.934990116,6.918379912,2.467448345,6.918379912,0.0,2.467448345,0.0,3.966838056,0.0,18.818316306,4.934990116,5.950243176,0.0,0.0,2.467448345,4.934990116,0.991682007,15.336200544,0.0,0.0,0.0,0.0,0.0,0.0,8.901828172,0.0,0.0,0.0,3.966838056,0.0,0.0,74.62693888,2.467448345,1.983389796,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,2.467448345,0.991682007,0.0,4.450838141,0.0,8.901828172,0.991682007,0.0,0.0,8.901828172,1.983389796,0.0,7.402528612,0.0,1.983389796,0.0,3.4591303520000003,0.0,0.0,0.0,0.0,7.910107887,0.0,0.0,120.97709458,0.0,16.305123276,0.0,0.0,0.0,0.0,0.0,0.0,4.934990116,0.991682007,0.0,0.0,10.401120277,0.0,2.467448345,0.0,0.991682007,3.4591303520000003,0.0,0.0,0.0,60.28060151,0.0,0.088516458,0.042372631,0.070189947,0.0,0.065165276,2.540112701,0.132017133,0.0,0.0,0.094992136,0.010784794,0.575796023,0.010793173,0.007229182,0.006690337,0.07604888,0.031361701,0.024389221,0.0,1.0,1.0,[2]
13x13,0.719174655,0.0,0.0,2.157548282,0.0,0.719174655,9.869260563,1.43837221,2.157548282,1.43837221,4.934990116,0.0,0.0,2.467448345,2.467448345,0.0,5.75351704,0.0,2.467448345,1.43837221,0.719174655,0.719174655,0.0,0.0,8.220965385,26.931394477999998,0.719174655,0.719174655,0.0,0.0,0.0,3.905820555,1.43837221,0.0,2.467448345,0.0,0.0,0.719174655,0.0,0.0,51.08960214,0.0,3.595999788,1.43837221,0.0,2.467448345,4.934990116,8.530989904,2.467448345,18.600595666,0.0,3.186623,0.0,4.315082378,0.719174655,14.284028553999999,6.373362326,10.78691088,0.0,0.0,3.905820555,7.092538398,0.719174655,8.840900822,0.0,0.719174655,0.0,0.719174655,0.0,0.0,16.443339396,3.595999788,0.719174655,0.0,0.719174655,0.0,0.0,66.92294310999999,2.467448345,0.0,0.0,1.43837221,0.719174655,2.467448345,0.0,0.0,1.43837221,0.0,3.905820555,0.0,0.719174655,5.344218023,2.157548282,6.373362326,0.0,0.0,0.0,4.934990116,0.0,0.719174655,7.402528612,0.0,0.0,1.43837221,2.467448345,0.719174655,0.0,0.719174655,0.0,8.530989904,0.0,0.0,153.56444782,0.0,18.811027421,1.43837221,0.0,0.0,0.0,2.157548282,1.43837221,14.284028553999999,0.0,0.0,0.0,5.344218023,0.0,2.467448345,0.0,1.43837221,3.905820555,3.595999788,1.43837221,0.0,66.71207128,0.00355112,0.09793993200000001,0.024898836,0.090050395,0.0,0.09439898099999999,3.312093911,0.132017133,0.0,0.0,0.315588292,0.0,0.873005163,0.0,0.027438064,0.0,0.044503742,0.0,0.002309854,0.0,1.0,1.0,[3]
14x14,0.0,0.0,5.443769546,0.0,0.0,5.443769546,9.869260563,0.0,0.0,0.0,4.934990116,0.0,0.0,2.467448345,2.467448345,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,0.0,2.467448345,19.73958204,0.0,0.0,0.0,0.0,0.0,2.467448345,5.443769546,10.88775922,2.467448345,0.0,0.0,0.0,5.443769546,0.0,45.43451742,0.0,0.0,0.0,0.0,2.467448345,4.934990116,10.378759662,2.467448345,4.934990116,0.0,2.467448345,0.0,10.88775922,0.0,21.265047466,4.934990116,5.443769546,0.0,0.0,2.467448345,15.822749336,5.443769546,7.402528612,0.0,0.0,0.0,0.0,0.0,0.0,4.934990116,0.0,0.0,0.0,0.0,0.0,0.0,57.263964525999995,2.467448345,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,24.244630765,0.0,0.0,2.467448345,0.0,4.934990116,21.77718242,0.0,0.0,4.934990116,0.0,0.0,7.402528612,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,4.934990116,0.0,0.0,122.43265395,0.0,17.782054766,0.0,0.0,0.0,0.0,0.0,0.0,4.934990116,0.0,0.0,0.0,2.467448345,0.0,7.911217891000001,0.0,5.443769546,2.467448345,0.0,0.0,0.0,44.41507126,0.016425846,0.088516458,0.030734945,0.066505256,0.0,0.065165276,2.851412733,0.132017133,0.0,0.0,0.129522795,0.0,0.575796023,0.0,0.007229182,0.006989866,0.237311359,0.004916784,0.017870904,0.0,1.0,1.0,[4]
15x15,0.0,0.0,0.0,2.658137286,1.329056371,2.963688599,1.993574012,5.262906714,0.0,0.664523765,0.664523765,0.0,0.0,0.0,0.0,0.0,7.974287945,0.0,1.634632228,0.0,0.664523765,4.651711701,0.0,0.0,0.664523765,0.0,0.0,1.634632228,0.664523765,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,0.0,2.2991559930000003,0.0,0.0,69.47438108,0.0,4.598389073,0.0,0.0,0.0,0.0,1.329056371,0.0,9.967306986,0.0,0.0,0.0,2.2991559930000003,0.0,47.208916845,2.2991559930000003,2.963688599,0.0,1.329056371,1.993574012,2.658137286,4.903913692,5.316260017,0.664523765,0.0,0.0,0.0,0.0,0.0,2.963688599,3.62820624,0.0,0.0,7.6153487140000005,0.0,0.664523765,41.636239328,0.664523765,4.651711701,0.664523765,0.0,2.2991559930000003,0.0,0.0,1.634632228,2.963688599,1.329056371,8.585592719000001,0.0,0.664523765,4.651711701,0.0,4.292769514,2.963688599,0.664523765,0.0,12.771337221,0.664523765,0.0,1.329056371,0.0,0.664523765,0.0,0.0,0.0,0.0,1.634632228,3.987122086,13.489653024999999,0.0,1.329056371,126.74967519999998,0.0,1.993574012,1.634632228,0.0,0.0,0.664523765,0.664523765,0.0,14.764930127,0.0,0.664523765,0.664523765,2.658137286,0.0,0.0,0.0,6.538587847,0.0,1.329056371,0.0,0.0,59.36892477,0.0,0.046218795,0.0,0.011573631,0.223201486,0.023750201,2.236000376,0.0,0.013825942,0.0,0.0,0.035893242,0.595217848,0.0,0.0,0.197628163,0.092790717,0.0,0.0,0.075526214,1.0,1.0,[0]
