coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,ODMature4
0x0,0.0,0.597533596,1.792608143,4.035774809,0.0,0.0,1.792608143,2.987769065,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,19.130511508,5.975414182,0.597533596,2.987769065,0.0,15.397052727,0.597533596,0.0,0.0,1.792608143,0.0,6.876517098,1.792608143,2.840696592,1.195078217,0.597533596,14.047133653,1.195078217,0.0,0.0,0.0,8.816110774,0.0,0.0,0.0,5.681438881,0.597533596,0.0,4.035774809,0.0,3.438230188,12.851964574,5.828465657000001,97.186338596,2.840696592,0.0,0.0,2.840696592,2.840696592,1.195078217,3.438230188,2.390158475,0.597533596,0.597533596,3.5853237,1.195078217,13.154928683000001,4.035774809,2.840696592,1.792608143,0.0,0.0,0.0,0.0,0.597533596,31.24779319,0.0,0.0,8.669207946,0.0,0.0,2.390158475,10.75709426,9.717337439000001,0.0,3.438230188,3.438230188,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,16.142748592,0.0,21.52067106,1.195078217,17.485485642,2.390158475,0.597533596,6.278972477,0.0,0.0,0.0,5.230855067,4.035774809,1.792608143,0.0,2.840696592,0.0,0.0,10.912417697,1.195078217,0.0,1.792608143,1.195078217,16.72964337,0.0,0.0,0.0,0.0,3.5853237,0.0,4.780428052,0.0,2.840696592,0.597533596,24.663770012,0.0,5.377933695,1.792608143,0.0,8.218630287,4.633304735,0.0,2.987769065,0.0,0.066001952,0.0,0.0,0.035579405,0.0,0.0,0.052046655,0.0,0.0,0.0,0.081697933,0.014365337,0.06299201,0.0,0.066470876,0.012984914,0.5221373730000001,0.0,0.0,0.29473913900000004,1.0,1.0
1x1,0.0,0.597533596,1.792608143,1.195078217,0.0,1.84760666,2.408491471,4.8353757250000005,0.0,0.0,4.79874956,3.5853237,2.408491471,0.597533596,0.615883328,0.597533596,8.999963869,5.975414182,0.597533596,2.987769065,0.0,1.810961545,1.8293064970000001,0.615883328,0.0,1.792608143,1.231772901,1.195078217,1.792608143,0.0,1.810961545,0.597533596,10.829233116,1.810961545,0.0,0.0,0.615883328,5.975414182,0.0,0.615883328,20.32553818,0.0,3.0610719399999997,1.231772901,1.195078217,1.231772901,1.8293064970000001,7.786409021,2.987769065,0.597533596,0.0,1.231772901,0.0,0.0,0.0,18.438235397,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,6.122147448,2.408491471,1.810961545,0.0,3.024381044,0.0,0.615883328,0.0,0.0,11.068499796,37.56559179,0.0,0.0,5.451307409,0.0,1.231772901,22.715696655,11.988867161,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,6.103775666,4.29279742,6.158796218,0.0,0.0,4.780428052,0.0,11.390123421,2.426851118,8.96322642,2.390158475,1.8293064970000001,0.597533596,0.0,0.0,0.0,2.390158475,3.042684877,1.792608143,0.615883328,0.0,0.0,1.84760666,79.37316952500001,1.195078217,0.0,23.966554643,1.195078217,16.72964337,0.0,0.0,0.0,0.615883328,5.43293036,0.0,10.323323793,0.0,0.615883328,0.597533596,4.780428052,0.615883328,6.6097065960000005,1.792608143,0.0,6.6097065960000005,1.792608143,0.0,2.987769065,10.4709662,0.066001952,0.058490586,0.032288288,0.061200171,0.0,0.036217685,5.365463028,0.0,0.0,0.0,0.101091996,0.0,0.079027083,0.0,0.14237606,0.013012502,0.249044755,0.0,0.013587393,0.071112284,1.0,1.0
2x2,0.0,0.597533596,1.792608143,1.195078217,0.0,0.0,1.792608143,2.987769065,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,7.768190968,5.975414182,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,16.95560323,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,18.150681447,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,1.195078217,4.618388209,1.195078217,0.0,1.792608143,0.0,0.0,0.0,0.0,3.423313662,39.5601918,0.0,0.0,2.987769065,0.0,0.0,5.215938541,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,5.651659355,0.0,0.0,4.780428052,0.0,12.984130586000001,1.195078217,8.96322642,2.390158475,3.423313662,0.597533596,0.0,0.0,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,0.0,0.0,118.259339275,1.195078217,0.0,21.575213942999998,1.195078217,16.72964337,0.0,0.0,0.0,0.0,3.5853237,0.0,7.6062081180000005,0.0,0.0,3.423313662,4.780428052,0.0,5.377933695,1.792608143,0.0,11.029593049999999,1.792608143,0.0,2.987769065,2.825780066,0.066001952,0.089065499,0.025134855,0.052875623,0.0,0.023764345,4.851268133,0.0,0.0,0.0,0.128252796,0.0,0.06299201,0.0,0.12447412199999999,0.07218129000000001,0.249044755,0.0,0.028527718,0.071112284,1.0,1.0
3x3,0.0,0.597533596,4.660283381,1.195078217,0.0,1.433828655,3.226436798,3.704688829,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,0.0,1.31445336,11.352775659999999,6.692333946,1.31445336,3.704688829,0.716919764,2.628906872,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,9.082614536,1.195078217,0.0,1.433828655,0.0,5.975414182,0.0,0.0,6.452294345,0.0,0.597533596,4.301515067,1.195078217,0.0,0.597533596,7.887445457,3.704688829,0.597533596,0.0,0.0,0.0,0.0,0.0,13.383717797000001,0.597533596,3.107078239,0.597533596,1.31445336,3.5853237,1.911997981,2.509527907,1.195078217,0.0,1.792608143,0.0,0.0,0.0,0.0,14.936637876,22.94418173,0.0,0.716919764,5.8554443030000005,0.716919764,0.716919764,2.390158475,11.474014024,3.3458721460000005,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,5.377192835,4.182118288,10.7543874,0.716919764,0.0,4.780428052,0.0,10.875270284,1.195078217,8.96322642,2.390158475,0.597533596,0.597533596,1.433828655,0.0,0.0,2.390158475,1.911997981,1.792608143,0.0,0.0,0.0,0.0,143.62303717499998,1.195078217,0.0,2.509527907,1.195078217,16.72964337,0.716919764,0.716919764,0.0,0.716919764,7.169908392,0.0,15.534815452,0.716919764,0.0,0.597533596,6.2142567070000005,0.716919764,5.377933695,2.509527907,0.0,5.377933695,1.792608143,0.0,2.987769065,0.0,0.066001952,0.02629686,0.033715433,0.060549863,0.0,0.039747776,4.400699333,0.0,0.0,0.002651482,0.098487778,0.0,0.06299201,0.00462805,0.066470876,0.032468194,0.28235563,0.0,0.028989635,0.071112284,1.0,1.0
4x4,0.0,0.597533596,1.792608143,1.195078217,0.0,0.0,16.012094653,2.987769065,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,12.50763731,5.975414182,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,5.934524559,0.597533596,8.365694772,1.195078217,0.0,0.0,0.0,20.194900691999997,0.0,0.0,37.91347363,0.0,5.336979938,0.0,1.195078217,4.739446342,0.597533596,7.170525693,2.987769065,10.076054883,0.0,0.0,0.0,14.21948651,0.0,20.152296157,5.336979938,11.868679762,0.597533596,0.597533596,3.5853237,1.195078217,1.792608143,5.934524559,0.0,1.792608143,0.0,0.0,0.0,0.0,5.336979938,0.0,0.0,0.0,2.987769065,0.0,0.0,35.564487785,10.75709426,5.934524559,0.0,0.597533596,0.597533596,0.0,4.739446342,0.597533596,30.230045482999998,0.597533596,23.69448651,0.0,0.0,4.780428052,0.0,14.897796862,1.195078217,8.96322642,7.129604817,10.076054883,0.597533596,0.0,0.0,0.0,7.129604817,1.195078217,1.792608143,0.0,0.0,0.0,0.0,11.868679762,1.195078217,0.0,39.706081773,1.195078217,21.469089712000002,0.0,0.0,0.0,0.0,3.5853237,0.0,18.999914562,0.0,0.0,0.597533596,9.519874394,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,4.739446342,2.987769065,9.478521287,0.084304429,0.002922097,0.0,0.09943337199999999,0.0,0.0,0.842934924,0.223855094,0.0,0.0,0.122109088,0.0,1.510589505,0.0,0.16868760900000002,0.006154792,0.296795552,0.095721037,0.0,0.071112284,1.0,1.0
5x5,0.0,6.908060806,0.0,2.840696592,0.0,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,0.0,13.089288278000001,0.0,0.0,3.453997819,1.726967738,14.20197451,0.0,0.0,0.0,0.0,0.0,5.681438881,0.0,2.840696592,0.0,0.0,5.681438881,3.453997819,0.0,0.0,13.81494352,2.840696592,0.0,0.0,0.0,5.681438881,0.0,0.0,2.840696592,10.36318298,4.5676643299999995,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,2.840696592,2.840696592,0.0,2.840696592,1.726967738,0.0,0.0,0.0,3.453997819,14.816318359,2.840696592,2.840696592,0.0,6.908060806,0.0,1.726967738,0.0,0.0,32.974760928,0.0,0.0,5.681438881,8.634961864,0.0,5.181017882,0.0,8.522259222,0.0,4.5676643299999995,4.5676643299999995,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,11.36232054,0.0,11.36232054,0.0,15.430320028,0.0,5.181017882,5.681438881,0.0,0.0,0.0,2.840696592,2.840696592,1.726967738,0.0,2.840696592,0.0,0.0,8.522259222,1.726967738,6.908060806,0.0,1.726967738,1.726967738,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,2.840696592,0.0,19.88334196,0.0,0.0,0.0,1.726967738,2.840696592,2.840696592,0.0,0.0,3.453997819,0.003631538,0.089459274,0.027334801,0.059261512,0.0,0.035790683,0.052046655,0.0,0.0,0.0,0.096985785,0.014365337,0.09201851,0.0,0.016546384,0.043343711,0.645206,0.0,0.019736348,0.223626855,1.0,1.0
6x6,0.0,6.908060806,0.0,0.0,0.0,3.574574398,2.3428510659999997,1.84760666,0.0,0.0,0.615883328,0.0,4.069881147,0.0,0.615883328,0.0,2.958740639,0.0,0.0,3.453997819,1.726967738,0.615883328,1.231772901,0.615883328,0.0,0.0,1.231772901,0.0,0.0,0.0,0.615883328,0.0,2.463538344,4.069881147,0.0,0.0,14.430826848,0.0,0.0,0.615883328,20.32553818,0.0,2.463538344,1.231772901,0.0,11.594955880999999,2.958740639,0.615883328,0.0,0.0,0.0,1.231772901,0.0,0.0,0.0,17.24315718,0.0,1.726967738,0.0,0.0,0.0,8.38106705,4.069881147,0.615883328,0.0,1.231772901,6.908060806,0.615883328,1.726967738,0.0,10.4709662,39.292559528,0.0,0.0,2.463538344,8.634961864,1.231772901,25.506556061999998,1.231772901,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,6.038135261,5.422231562,6.158796218,0.0,0.0,0.0,0.0,1.231772901,1.231772901,6.908060806,0.0,6.412790783,0.0,0.0,0.0,0.0,0.0,1.84760666,1.726967738,0.615883328,0.0,0.0,1.84760666,76.98301105,1.726967738,6.908060806,22.1739465,1.726967738,1.726967738,0.0,0.0,0.0,0.615883328,3.574574398,0.0,5.542895741,0.0,0.615883328,0.0,0.0,0.615883328,1.231772901,0.0,1.726967738,1.231772901,0.0,0.0,0.0,13.924964018999999,0.003631538,0.14794986,0.059623089,0.084882278,0.0,0.07200836799999999,5.365463028,0.0,0.0,0.0,0.11637984800000001,0.0,0.108053583,0.0,0.092451568,0.043371299,0.372113382,0.0,0.033323741000000004,0.0,1.0,1.0
7x7,0.0,6.908060806,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,0.0,1.726967738,0.0,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,16.95560323,0.0,0.0,0.0,0.0,10.36318298,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,1.726967738,0.0,0.0,0.0,3.453997819,6.279777885,0.0,0.0,0.0,6.908060806,0.0,1.726967738,0.0,2.825780066,41.287159538,0.0,0.0,0.0,8.634961864,0.0,8.006797947999999,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,5.651659355,0.0,0.0,0.0,0.0,2.825780066,0.0,6.908060806,0.0,8.006797947999999,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,115.8691808,1.726967738,6.908060806,19.7826058,1.726967738,1.726967738,0.0,0.0,0.0,0.0,1.726967738,0.0,2.825780066,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,1.726967738,5.651659355,0.0,0.0,0.0,6.279777885,0.003631538,0.17852477300000003,0.052469656,0.07655772999999999,0.0,0.059555027999999996,4.851268133,0.0,0.0,0.0,0.143540648,0.0,0.09201851,0.0,0.07454963,0.102540087,0.372113382,0.0,0.048264066,0.0,1.0,1.0
8x8,0.0,6.908060806,2.867675238,0.0,0.0,3.160796393,3.160796393,0.716919764,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,0.716919764,5.31155243,0.716919764,0.716919764,4.170917583,2.443887502,1.433828655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716919764,3.453997819,0.0,1.433828655,13.81494352,0.0,0.0,0.0,6.452294345,0.0,0.0,4.301515067,0.0,10.36318298,1.726967738,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,12.18863958,0.0,2.443887502,0.0,0.716919764,0.0,4.170917583,4.170917583,0.0,0.0,0.0,6.908060806,0.0,1.726967738,0.0,14.33910428,24.671149468,0.0,0.716919764,2.867675238,9.351881628,0.716919764,5.181017882,0.716919764,2.150793929,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,5.31155243,5.31155243,10.7543874,0.716919764,0.0,0.0,0.0,0.716919764,0.0,6.908060806,0.0,5.181017882,0.0,1.433828655,0.0,0.0,0.0,0.716919764,1.726967738,0.0,0.0,0.0,0.0,141.2328787,1.726967738,6.908060806,0.716919764,1.726967738,1.726967738,0.716919764,0.716919764,0.0,0.716919764,5.31155243,0.0,10.7543874,0.716919764,0.0,0.0,1.433828655,0.716919764,0.0,0.716919764,1.726967738,0.0,0.0,0.0,0.0,3.453997819,0.003631538,0.11575613400000001,0.061050234,0.08423197,0.0,0.075538459,4.400699333,0.0,0.0,0.002651482,0.11377563,0.0,0.09201851,0.00462805,0.016546384,0.062826991,0.405424257,0.0,0.048725983,0.0,1.0,1.0
9x9,0.0,6.908060806,0.0,0.0,0.0,1.726967738,15.946454247999998,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,0.0,6.46641408,0.0,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,3.453997819,0.0,0.0,13.81494352,14.21948651,0.0,0.0,37.91347363,0.0,4.739446342,0.0,0.0,15.102629321999999,1.726967738,0.0,0.0,9.478521287,0.0,0.0,0.0,14.21948651,0.0,18.95721794,4.739446342,11.205489024999999,0.0,0.0,0.0,3.453997819,3.453997819,4.739446342,0.0,0.0,6.908060806,0.0,1.726967738,0.0,4.739446342,1.726967738,0.0,0.0,0.0,8.634961864,0.0,38.355347191999996,0.0,4.739446342,0.0,1.726967738,1.726967738,0.0,4.739446342,3.453997819,30.164405077999998,1.726967738,23.69448651,0.0,0.0,0.0,0.0,4.739446342,0.0,6.908060806,4.739446342,14.659539168999999,0.0,0.0,0.0,0.0,4.739446342,0.0,1.726967738,0.0,0.0,0.0,0.0,9.478521287,1.726967738,6.908060806,37.91347363,1.726967738,6.46641408,0.0,0.0,0.0,0.0,1.726967738,0.0,14.21948651,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,1.726967738,0.0,0.0,4.739446342,0.0,12.932519105999999,0.021934015,0.092381371,0.027334801,0.123115479,0.0,0.035790683,0.842934924,0.223855094,0.0,0.0,0.13739694,0.0,1.5396160049999998,0.0,0.118763117,0.036513589,0.419864179,0.095721037,0.019736348,0.0,1.0,1.0
10x10,0.0,0.0,0.0,2.840696592,0.0,18.43121692,0.0,3.685975353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.685975353,11.36232054,0.0,0.0,0.0,0.0,14.20197451,0.0,0.0,0.0,0.0,0.0,5.681438881,0.0,2.840696592,0.0,0.0,16.740125251000002,3.685975353,0.0,0.0,3.685975353,2.840696592,0.0,0.0,3.685975353,5.681438881,0.0,0.0,2.840696592,0.0,2.840696592,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,2.840696592,2.840696592,11.05868637,2.840696592,0.0,0.0,0.0,0.0,3.685975353,11.36232054,2.840696592,2.840696592,0.0,0.0,0.0,0.0,0.0,3.685975353,31.24779319,0.0,0.0,5.681438881,0.0,0.0,11.05868637,0.0,8.522259222,0.0,2.840696592,2.840696592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36232054,0.0,15.048295893,3.685975353,8.522259222,0.0,0.0,5.681438881,0.0,0.0,0.0,2.840696592,2.840696592,0.0,0.0,2.840696592,0.0,0.0,8.522259222,0.0,0.0,25.80402412,0.0,0.0,0.0,0.0,0.0,3.685975353,3.685975353,0.0,7.371822272,0.0,2.840696592,0.0,19.88334196,0.0,0.0,0.0,0.0,2.840696592,2.840696592,0.0,0.0,29.48596874,0.009705217,0.0,0.013042114,0.054894593,0.0,0.0,0.5649458789999999,0.0,0.0,0.0,0.0,0.014365337,0.240043728,0.0,0.0,0.006830122,0.47518542900000005,0.0,0.0,0.223626855,1.0,1.0
11x11,0.0,0.0,0.0,0.0,0.0,20.27882358,0.615883328,5.533582013,0.0,0.0,0.615883328,0.0,0.615883328,0.0,0.615883328,3.685975353,1.231772901,0.0,0.0,0.0,0.0,0.615883328,1.231772901,0.615883328,0.0,0.0,1.231772901,0.0,0.0,0.0,0.615883328,0.0,13.522224714,4.301858681,0.0,0.0,4.301858681,0.0,0.0,0.615883328,24.011513533,0.0,2.463538344,1.231772901,0.0,1.231772901,1.231772901,0.615883328,0.0,0.0,0.0,1.231772901,0.0,0.0,0.0,28.30184355,0.0,0.0,0.0,0.0,0.0,8.613044584,0.615883328,0.615883328,0.0,1.231772901,0.0,0.615883328,0.0,0.0,14.156941553,37.56559179,0.0,0.0,2.463538344,0.0,1.231772901,31.38422455,1.231772901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311167523,3.695263824,6.158796218,0.0,0.0,0.0,0.0,4.917748254,4.917748254,0.0,0.0,1.231772901,0.0,0.0,0.0,0.0,0.0,1.84760666,0.0,0.615883328,0.0,0.0,1.84760666,76.98301105,0.0,0.0,47.97797062,0.0,0.0,0.0,0.0,0.0,4.301858681,5.533582013,0.0,12.914718013,0.0,0.615883328,0.0,0.0,0.615883328,1.231772901,0.0,0.0,1.231772901,0.0,0.0,0.0,39.95693494,0.009705217,0.058490586,0.045330402,0.080515359,0.0,0.036217685,5.878362252,0.0,0.0,0.0,0.019394063,0.0,0.256078801,0.0,0.075905184,0.00685771,0.202092811,0.0,0.013587393,0.0,1.0,1.0
12x12,0.0,0.0,0.0,0.0,0.0,18.43121692,0.0,3.685975353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.685975353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05868637,3.685975353,0.0,0.0,3.685975353,0.0,0.0,0.0,20.641578583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0142896,0.0,0.0,0.0,0.0,0.0,3.685975353,2.825780066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.511755419,39.5601918,0.0,0.0,0.0,0.0,0.0,13.884466436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.651659355,0.0,0.0,0.0,0.0,6.511755419,3.685975353,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.8691808,0.0,0.0,45.58662992,0.0,0.0,0.0,0.0,0.0,3.685975353,3.685975353,0.0,10.197602338,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,5.651659355,0.0,0.0,0.0,32.311748806,0.009705217,0.089065499,0.038176969000000005,0.072190811,0.0,0.023764345,5.3641673569999995,0.0,0.0,0.0,0.046554863,0.0,0.240043728,0.0,0.058003246,0.066026498,0.202092811,0.0,0.028527718,0.0,1.0,1.0
13x13,0.0,0.0,2.867675238,0.0,0.0,19.865045575,1.433828655,4.402895117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.402895117,3.584584692,0.716919764,0.716919764,0.716919764,0.716919764,1.433828655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.775606134,3.685975353,0.0,1.433828655,3.685975353,0.0,0.0,0.0,10.138269698,0.0,0.0,4.301515067,0.0,0.0,0.0,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,23.24732595,0.0,0.716919764,0.0,0.716919764,0.0,4.402895117,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.025079633,22.94418173,0.0,0.716919764,2.867675238,0.716919764,0.716919764,11.05868637,0.716919764,2.150793929,0.0,0.0,0.0,0.0,0.0,0.0,3.584584692,3.584584692,10.7543874,0.716919764,0.0,0.0,0.0,4.402895117,3.685975353,0.0,0.0,0.0,0.0,1.433828655,0.0,0.0,0.0,0.716919764,0.0,0.0,0.0,0.0,0.0,141.2328787,0.0,0.0,26.520943884,0.0,0.0,0.716919764,0.716919764,0.0,4.402895117,7.270560045,0.0,18.126209672,0.716919764,0.0,0.0,1.433828655,0.716919764,0.0,0.716919764,0.0,0.0,0.0,0.0,0.0,29.48596874,0.009705217,0.02629686,0.046757547,0.07986505099999999,0.0,0.039747776,4.913598557,0.0,0.0,0.002651482,0.016789845,0.0,0.240043728,0.00462805,0.0,0.026313402,0.235403686,0.0,0.028989635,0.0,1.0,1.0
14x14,0.0,0.0,0.0,0.0,0.0,18.43121692,14.21948651,3.685975353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.685975353,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,11.05868637,3.685975353,0.0,0.0,3.685975353,14.21948651,0.0,0.0,41.599448983,0.0,4.739446342,0.0,0.0,4.739446342,0.0,0.0,0.0,9.478521287,0.0,0.0,0.0,14.21948651,0.0,30.01590431,4.739446342,9.478521287,0.0,0.0,0.0,3.685975353,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,8.425421695,0.0,0.0,0.0,0.0,0.0,0.0,44.233015679999994,0.0,4.739446342,0.0,0.0,0.0,0.0,4.739446342,0.0,28.43743734,0.0,23.69448651,0.0,0.0,0.0,0.0,8.425421695,3.685975353,0.0,4.739446342,9.478521287,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,9.478521287,0.0,0.0,63.71749775,0.0,4.739446342,0.0,0.0,0.0,3.685975353,3.685975353,0.0,21.591308782,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,38.964490027,0.028007694,0.002922097,0.013042114,0.11874856,0.0,0.0,1.355834148,0.223855094,0.0,0.0,0.040411155,0.0,1.687641223,0.0,0.102216733,0.0,0.249843608,0.095721037,0.0,0.0,1.0,1.0
15x15,0.0,1.162867924,1.162867924,5.166449656999999,0.0,0.0,0.0,4.070140566,0.0,0.0,1.744353171,1.162867924,0.581430098,0.0,0.0,0.0,16.013902107,4.070140566,0.581430098,0.0,0.581430098,14.20197451,0.0,0.0,0.0,2.325753065,0.0,13.240182163,0.581430098,3.42212669,0.581430098,0.581430098,10.914480116,1.162867924,0.0,0.0,0.0,4.003564516,0.0,0.581430098,13.95546773,5.681438881,4.070140566,0.0,2.840696592,0.0,2.840696592,5.681438881,4.003564516,96.588805,3.42212669,0.0,0.0,2.840696592,2.840696592,17.44165954,2.840696592,0.581430098,0.0,1.162867924,0.0,4.070140566,15.432461106000002,3.42212669,2.840696592,0.0,0.0,1.162867924,0.0,0.0,2.907239205,32.410661114,0.0,0.0,10.333020448,0.0,0.0,15.11758614,11.04758503,37.596868932,0.581430098,4.003564516,4.003564516,0.0,0.0,0.581430098,1.744353171,1.162867924,4.651581567,0.0,0.581430098,18.339695396,0.581430098,20.666181744,2.325753065,8.522259222,1.162867924,5.233041235,6.262868979,0.0,1.162867924,0.0,2.840696592,2.840696592,2.325753065,0.0,3.42212669,0.581430098,0.581430098,15.499634078,0.0,0.0,20.93309905,1.162867924,16.28223873,0.0,0.0,0.0,0.0,0.581430098,0.581430098,1.162867924,0.0,3.42212669,0.581430098,28.604992374,0.581430098,0.0,0.0,0.581430098,6.910837158,4.003564516,0.0,0.0,21.51127016,0.0,0.0,0.0,0.050467789,0.0,0.0,0.9497573269999999,0.0,0.0,0.0,0.077759848,0.014365337,0.094130186,0.0,0.054986737,0.006830122,0.533932681,0.0,0.0,0.223626855,1.0,1.0
