coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial1,Endothelial3
0x0,1.448612149,2.897265563,1.448612149,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,7.710930525,0.0,0.0,0.0,0.0,1.448612149,2.406826369,0.0,0.0,6.2622771109999995,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,0.0,1.448612149,2.406826369,0.0,2.406826369,2.406826369,0.0,11.56642321,0.0,0.0,29.39387594,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,46.712485656,6.2622771109999995,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,0.0,20.236412905999998,15.93557709,7.220533434,28.926474159999998,2.406826369,16.84842916,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.0,2.897265563,4.813664962,0.0,0.0,0.0,1.448612149,0.0,0.0,2.406826369,0.0,152.01797915,0.0,0.0,0.0,1.448612149,18.787763616,4.813664962,0.0,0.0,0.0,1.448612149,9.626738654,0.0,0.0,0.0,26.472615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.008201873,0.0,0.025413123,0.041521106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187189372,0.0,0.0,0.0,0.524206839,0.0,0.0,0.0,1.0,1.0
1x1,2.032145239,0.677374359,1.354778164,2.032145239,4.813664962,2.032145239,2.032145239,0.677374359,0.0,0.0,5.491039321,1.354778164,0.0,0.677374359,0.0,6.096431255,7.825865157,0.677374359,1.354778164,5.491039321,3.386922882,7.523204463,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,3.084200728,2.709539501,0.0,0.0,2.032145239,3.084200728,0.0,3.084200728,3.084200728,0.0,7.897907793,0.677374359,0.0,38.89778839,0.0,5.491039321,0.677374359,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,5.419038788,0.0,0.677374359,0.677374359,51.07886671,4.813664962,2.709539501,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,3.761604533,4.741693427,2.406826369,0.0,19.860912628,0.0,7.220533434,23.24783119,3.761604533,17.525803519,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,0.0,0.677374359,1.354778164,2.032145239,0.0,0.677374359,8.200587844,0.0,0.0,0.677374359,0.0,0.677374359,1.354778164,3.761604533,0.0,71.5530254,0.0,0.0,0.0,0.0,18.50618055,6.168443126,0.0,1.354778164,4.06430671,1.354778164,10.981516818000001,0.0,0.0,0.0,48.150366919999996,0.0,0.0,0.0,0.0,1.354778164,0.0,0.0,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.08281185,0.0,0.000155517,0.003309212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358047907,0.246967114,0.0,0.0,1.0,1.0
2x2,12.91874249,12.91874249,0.0,0.0,4.813664962,1.291975653,0.0,0.0,0.0,0.0,6.1056406149999995,1.291975653,0.0,0.0,0.0,0.0,3.6988020219999997,0.0,0.0,4.813664962,1.291975653,4.813664962,0.0,0.0,0.0,0.0,2.583933973,0.0,0.0,0.0,0.0,0.0,7.574764375,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,1.291975653,8.512509087,0.0,0.0,19.25349607,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,48.669799299,8.689623455,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,2.406826369,0.0,2.406826369,0.0,19.609811846,0.0,7.220533434,14.44187384,2.406826369,18.140404813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.813664962,0.0,0.0,0.0,1.291975653,0.0,0.0,2.406826369,0.0,54.722416089999996,0.0,0.0,0.0,0.0,15.733849493,4.813664962,0.0,0.0,2.583933973,0.0,10.918714307,0.0,0.0,0.0,26.472615,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,2.583933973,0.0,1.291975653,0.0,0.0,3.875958493,0.0,0.0,1.291975653,0.021712484,0.0,0.013628323000000001,0.01738707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111754766,0.0,0.0,0.0,0.354845503,0.052916666,0.0,0.0,1.0,1.0
3x3,5.100283239,7.650475889,1.275097431,1.275097431,6.088762393,0.0,0.0,0.0,0.0,0.0,12.464140851,0.0,1.275097431,0.0,0.0,0.0,4.957003319,1.275097431,0.0,7.363841912,2.55017695,7.363841912,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.957003319,3.825252007,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,0.0,13.59583869,0.0,0.0,25.628801326,0.0,4.813664962,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.018229829,4.813664962,0.0,0.0,0.0,1.275097431,0.0,0.0,1.275097431,2.406826369,0.0,2.406826369,0.0,28.46637287,14.02449903,7.220533434,23.367319134,2.406826369,16.84842916,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,0.0,0.0,4.813664962,5.100283239,0.0,0.0,1.275097431,0.0,0.0,2.406826369,0.0,142.35352745,3.825252007,0.0,0.0,0.0,16.99205079,4.813664962,0.0,0.0,0.0,0.0,10.901836085000001,0.0,0.0,0.0,26.472615,0.0,0.0,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275097431,0.0,1.275097431,0.0,0.008373212,0.023238121,0.038744591,0.0,0.005364625,0.0,0.0,0.0,0.0,0.021680725,0.0,0.281297563,0.0,0.0,0.031295209,0.370903996,0.006533653,0.0,0.0,1.0,1.0
4x4,4.746454866,0.0,0.0,0.0,4.813664962,0.0,2.373261425,0.0,0.0,2.373261425,11.933365269,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,4.813664962,0.0,9.560119828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.780087794,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,4.780087794,0.0,9.593794858999999,0.0,0.0,52.47507159,0.0,4.813664962,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,2.373261425,57.52959472,4.813664962,9.493007904,0.0,0.0,7.119700307,0.0,0.0,0.0,4.780087794,0.0,2.406826369,0.0,19.188328706,0.0,9.593794858999999,26.30658382,2.406826369,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.813664962,0.0,0.0,0.0,7.119700307,0.0,0.0,2.406826369,0.0,52.61565666,0.0,0.0,0.0,0.0,19.188328706,4.813664962,0.0,0.0,7.119700307,0.0,9.626738654,0.0,0.0,0.0,59.69419052000001,2.373261425,0.0,0.0,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.020032478,0.015743843,0.022763132,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.0,0.0,0.0,0.006760343,0.0,0.027940554,0.4079942,0.017149055,0.0,0.0,1.0,1.0
5x5,2.740482255,2.897265563,5.324233834,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,4.189135669,0.0,1.291870106,0.0,0.0,1.448612149,1.291870106,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,1.448612149,3.875621685,0.0,0.0,0.0,0.0,6.929576188,0.0,0.0,33.39530844,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.032298561,0.0,0.0,0.0,38.091147586,1.448612149,1.448612149,0.0,0.0,1.291870106,1.291870106,0.0,1.291870106,0.0,0.0,0.0,1.291870106,8.378225478,17.227447196,0.0,62.28237305,0.0,1.291870106,0.0,0.0,1.291870106,2.740482255,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.0,5.480951975,1.291870106,0.0,0.0,0.0,2.740482255,0.0,1.291870106,0.0,0.0,160.60467868,0.0,0.0,0.0,1.448612149,10.805222855,0.0,0.0,0.0,1.291870106,1.448612149,0.0,0.0,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,1.291870106,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.008201873,0.0,0.028537709999999997,0.059600244000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.610206082,0.0,0.0,0.0,0.41642213299999997,0.0,0.0,0.0,1.0,1.0
6x6,3.3240153450000003,0.677374359,5.230399849,3.3240153450000003,0.0,2.032145239,2.032145239,4.552996044,0.0,0.0,1.969244465,1.354778164,1.291870106,0.677374359,0.0,6.096431255,6.710908894,0.677374359,1.354778164,0.677374359,3.386922882,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,1.969244465,0.0,0.0,1.354778164,0.677374359,4.001409607,0.0,0.0,2.032145239,4.552996044,0.0,0.677374359,0.677374359,0.0,3.261060771,0.677374359,0.0,42.89922089,0.0,0.677374359,0.677374359,3.9384645760000003,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,8.0027252,0.0,0.677374359,0.677374359,42.45752864,0.0,2.709539501,0.677374359,0.0,5.3561768160000005,1.291870106,0.0,2.64664827,1.354778164,4.741693427,0.0,1.291870106,8.0027252,1.291870106,0.0,56.60373008,1.354778164,1.969244465,0.0,0.0,1.291870106,1.969244465,0.0,0.0,0.0,1.354778164,0.0,0.677374359,1.354778164,2.032145239,0.0,3.261060771,4.678792988,0.0,0.0,0.677374359,1.291870106,0.677374359,2.64664827,1.354778164,0.0,80.13972493,0.0,0.0,0.0,0.0,10.523639789,1.354778164,0.0,1.354778164,5.3561768160000005,1.354778164,1.354778164,0.0,0.0,0.0,59.1457867,0.0,0.0,0.0,0.0,1.354778164,0.0,1.291870106,0.0,0.677374359,1.291870106,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.08281185,0.0,0.003280104,0.02138835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42301671,0.0,0.0,0.0,0.250263201,0.246967114,0.0,0.0,1.0,1.0
7x7,14.210612595999999,12.91874249,3.875621685,1.291870106,0.0,1.291975653,0.0,3.875621685,0.0,0.0,2.583845759,1.291975653,1.291870106,0.0,0.0,0.0,2.583845759,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,2.583933973,0.0,1.291870106,0.0,0.0,0.0,5.167938006,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,1.291975653,3.875662065,0.0,0.0,23.25492857,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,2.583686412,0.0,0.0,0.0,40.048461229,3.875958493,0.0,0.0,0.0,1.291870106,1.291870106,0.0,2.583845759,0.0,0.0,0.0,1.291870106,7.7516244180000005,1.291870106,0.0,47.79777273,0.0,2.583845759,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,1.291870106,0.0,0.0,0.0,2.583845759,0.0,1.291870106,0.0,0.0,63.30911562,0.0,0.0,0.0,0.0,7.751308732,0.0,0.0,0.0,3.875804079,0.0,1.291975653,0.0,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,0.0,0.0,2.583845759,2.583933973,0.0,2.583845759,0.0,0.0,3.875958493,0.0,0.0,1.291975653,0.021712484,0.0,0.01675291,0.035466208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534771476,0.0,0.0,0.0,0.247060797,0.052916666,0.0,0.0,1.0,1.0
8x8,6.3921533450000005,7.650475889,5.150719116,2.566967537,1.275097431,0.0,0.0,3.875621685,0.0,0.0,8.942345995,0.0,2.566967537,0.0,0.0,0.0,3.842047056,1.275097431,0.0,2.55017695,2.55017695,2.55017695,1.275097431,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,2.55017695,5.117122113,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,0.0,8.958991668,0.0,0.0,29.630233826,0.0,0.0,0.0,3.8587838430000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,37.396891759,0.0,0.0,0.0,0.0,2.566967537,1.291870106,0.0,2.566967537,0.0,0.0,0.0,1.291870106,16.608185442,15.316369135999999,0.0,56.723218024,0.0,1.291870106,0.0,2.55017695,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,0.0,2.583686412,1.291870106,5.100283239,0.0,0.0,2.566967537,0.0,1.291870106,0.0,0.0,150.94022698,3.825252007,0.0,0.0,0.0,9.009510029000001,0.0,0.0,0.0,1.291870106,0.0,1.275097431,0.0,0.0,0.0,37.46803478,0.0,0.0,0.0,0.0,1.275097431,0.0,1.291870106,0.0,0.0,1.291870106,0.0,0.0,0.0,1.275097431,0.0,1.275097431,0.0,0.008373212,0.026362708,0.056823729,0.0,0.005364625,0.0,0.0,0.0,0.0,0.021680725,0.0,0.704314273,0.0,0.0,0.031295209,0.26311929,0.006533653,0.0,0.0,1.0,1.0
9x9,6.038324972,0.0,3.875621685,1.291870106,0.0,0.0,2.373261425,3.875621685,0.0,2.373261425,8.411570413,0.0,1.291870106,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,2.373261425,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,2.373261425,0.0,4.9569478369999995,0.0,0.0,56.476504090000006,0.0,0.0,0.0,2.583686412,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,2.583686412,0.0,0.0,2.373261425,48.90825665,0.0,9.493007904,0.0,0.0,8.411570413,1.291870106,0.0,1.291870106,2.373261425,0.0,0.0,1.291870106,7.330141277999999,1.291870106,2.373261425,59.66248271,0.0,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,1.291870106,0.0,0.0,0.0,8.411570413,0.0,1.291870106,0.0,0.0,61.20235619,0.0,0.0,0.0,0.0,11.205787945,0.0,0.0,0.0,8.411570413,0.0,0.0,0.0,0.0,0.0,70.6896103,2.373261425,0.0,0.0,0.0,0.0,0.0,6.038324972,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.020032478,0.01886843,0.04084227,0.0,0.004387271,0.011314421,0.0,0.0,0.0,0.0,0.0,0.42301671,0.006760343,0.0,0.027940554,0.300209494,0.017149055,0.0,0.0,1.0,1.0
10x10,1.448612149,2.897265563,1.448612149,2.843085087,0.0,0.947690742,0.947690742,2.843085087,0.0,0.947690742,8.583475367,0.947690742,1.895409533,0.0,0.0,7.134821952999999,13.26921232,0.0,0.0,3.344021682,0.947690742,1.895409533,0.0,0.0,0.0,7.581634232,0.0,0.947690742,0.947690742,0.0,0.0,0.0,3.790821612,1.895409533,0.0,0.0,1.448612149,0.947690742,0.947690742,0.0,0.0,0.0,4.345889776,0.0,0.947690742,38.57103977,0.0,3.790821612,0.0,0.0,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,0.947690742,5.239433761,0.0,0.0,0.947690742,28.541060505999997,2.396302891,7.134821952999999,0.0,0.0,4.738521327,0.0,0.0,0.0,0.947690742,0.0,0.0,0.947690742,6.742229807999999,15.93557709,0.0,34.38718541,0.947690742,0.0,0.0,0.0,5.686209804,1.448612149,0.0,0.947690742,0.0,0.0,1.448612149,0.947690742,0.0,9.084411103,0.0,3.844956305,0.0,0.0,4.738521327,0.0,1.448612149,0.0,3.790821612,0.0,0.0,135.45651432,0.0,0.0,0.0,1.448612149,18.561872276000003,3.790821612,1.895409533,0.0,0.947690742,1.448612149,3.790821612,0.0,0.0,0.0,32.22002845,0.947690742,0.0,0.0,0.0,2.843085087,0.0,8.529278068,0.947690742,0.0,0.0,0.0,2.843085087,1.448612149,0.0,0.947690742,5.293580518,0.008201873,0.0253969,0.025257606,0.04012083,0.0,0.004078806,0.0,0.0,0.0,0.0,0.009594788,0.0,0.755167499,0.0,0.023309486,0.0,0.371317754,0.0,0.0,0.0,1.0,1.0
11x11,2.032145239,0.677374359,1.354778164,4.8752303260000005,0.0,2.979835981,2.979835981,3.520459446,0.0,0.947690742,6.363584163,2.302468906,1.895409533,0.677374359,0.0,11.782641059,18.688251108,0.677374359,1.354778164,2.572783892,4.334613624,4.6049490340000006,0.0,0.0,0.0,7.581634232,0.0,3.657230243,1.6250651010000001,0.0,0.0,1.354778164,4.468195971,4.6049490340000006,0.0,0.0,2.032145239,1.6250651010000001,0.947690742,0.677374359,0.677374359,0.0,0.677374359,0.677374359,0.947690742,48.07495222,0.0,4.468195971,0.677374359,1.354778164,1.895409533,2.572783892,0.0,6.36672953,0.677374359,0.677374359,3.657230243,9.2098604,0.0,0.677374359,1.6250651010000001,32.907441559999995,0.947690742,8.395749304999999,0.677374359,0.0,8.802828037000001,0.0,0.0,1.354778164,2.302468906,4.741693427,0.0,0.947690742,6.36672953,0.0,0.0,28.70854244,2.302468906,0.677374359,0.0,0.0,5.686209804,0.677374359,0.0,0.947690742,0.0,1.354778164,0.0,1.6250651010000001,1.354778164,6.770666566,0.0,1.6250651010000001,3.386922882,0.0,4.738521327,0.677374359,0.0,0.677374359,5.145599776,1.354778164,0.0,54.991560570000004,0.0,0.0,0.0,0.0,18.28028921,5.145599776,1.895409533,1.354778164,5.011997452,1.354778164,5.145599776,0.0,0.0,0.0,53.89778037,0.947690742,0.0,0.0,0.0,4.197863251,0.0,8.529278068,0.947690742,0.677374359,0.0,0.0,3.520459446,0.0,0.0,1.6250651010000001,0.947690742,0.08281185,0.0253969,0.0,0.001908936,0.0,0.004078806,0.0,0.0,0.0,0.0,0.009594788,0.0,0.567978127,0.0,0.023309486,0.0,0.20515882200000002,0.246967114,0.0,0.0,1.0,1.0
12x12,12.91874249,12.91874249,0.0,2.843085087,0.0,2.239666395,0.947690742,2.843085087,0.0,0.947690742,6.9781854569999995,2.239666395,1.895409533,0.0,0.0,5.686209804,14.561187973,0.0,0.0,1.895409533,2.239666395,1.895409533,0.0,0.0,0.0,7.581634232,2.583933973,0.947690742,0.947690742,0.0,0.0,0.0,8.958759618,1.895409533,0.0,0.0,0.0,0.947690742,0.947690742,0.0,0.0,1.291975653,1.291975653,0.0,0.947690742,28.4306599,0.0,3.790821612,0.0,0.0,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,2.239666395,3.790821612,0.0,0.0,0.947690742,30.498374149,4.823649235,5.686209804,0.0,0.0,4.738521327,0.0,0.0,1.291975653,0.947690742,0.0,0.0,0.947690742,6.115628748,0.0,0.0,19.90258509,0.947690742,1.291975653,0.0,0.0,5.686209804,0.0,0.0,0.947690742,0.0,0.0,0.0,0.947690742,0.0,4.738521327,0.0,0.947690742,0.0,0.0,4.738521327,0.0,1.291975653,0.0,3.790821612,0.0,0.0,38.160951260000004,0.0,0.0,0.0,0.0,15.507958153,3.790821612,1.895409533,0.0,3.5316247150000004,0.0,5.082797265,0.0,0.0,0.0,32.22002845,0.947690742,0.0,0.0,0.0,2.843085087,0.0,9.821253721,3.5316247150000004,0.0,1.291975653,0.0,2.843085087,3.875958493,0.0,0.947690742,2.239666395,0.021712484,0.0253969,0.013472806,0.015986794,0.0,0.004078806,0.0,0.0,0.0,0.0,0.009594788,0.0,0.6797328930000001,0.0,0.023309486,0.0,0.20195641800000003,0.052916666,0.0,0.0,1.0,1.0
13x13,5.100283239,7.650475889,1.275097431,4.118182518,1.275097431,0.947690742,0.947690742,2.843085087,0.0,0.947690742,13.336685693,0.947690742,3.1705069640000003,0.0,0.0,5.686209804,15.819389269999999,1.275097431,0.0,4.445586483,3.497867692,4.445586483,1.275097431,0.0,0.0,7.581634232,0.0,0.947690742,0.947690742,0.0,0.0,0.0,6.340998561999999,5.72066154,0.0,0.0,0.0,0.947690742,0.947690742,0.0,0.0,0.0,6.375305256,0.0,0.947690742,34.805965156,0.0,3.790821612,0.0,1.275097431,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,0.947690742,3.790821612,0.0,0.0,0.947690742,27.846804678999998,0.947690742,5.686209804,0.0,0.0,6.013618758,0.0,0.0,1.275097431,0.947690742,0.0,0.0,0.947690742,14.972189772,14.02449903,0.0,28.828030383999998,0.947690742,0.0,0.0,2.55017695,5.686209804,0.0,0.0,0.947690742,0.0,0.0,0.0,0.947690742,0.0,7.288698277,0.0,0.947690742,0.0,5.100283239,4.738521327,0.0,1.275097431,0.0,3.790821612,0.0,0.0,125.79206262,3.825252007,0.0,0.0,0.0,16.76615945,3.790821612,1.895409533,0.0,0.947690742,0.0,5.065919043,0.0,0.0,0.0,32.22002845,0.947690742,0.0,0.0,0.0,4.118182518,0.0,8.529278068,0.947690742,0.0,0.0,0.0,2.843085087,0.0,1.275097431,0.947690742,2.222788173,0.0,0.033770112,0.023082604,0.037344315,0.0,0.009443430999999999,0.0,0.0,0.0,0.0,0.031275513000000005,0.0,0.84927569,0.0,0.023309486,0.031295209,0.218014911,0.006533653,0.0,0.0,1.0,1.0
14x14,4.746454866,0.0,0.0,2.843085087,0.0,0.947690742,3.3209521669999997,2.843085087,0.0,3.3209521669999997,12.805910111,0.947690742,1.895409533,0.0,0.0,5.686209804,13.26921232,0.0,0.0,1.895409533,0.947690742,6.641864398999999,0.0,0.0,0.0,7.581634232,0.0,0.947690742,0.947690742,0.0,0.0,0.0,6.164083036999999,1.895409533,0.0,0.0,0.0,0.947690742,0.947690742,0.0,2.373261425,0.0,2.373261425,0.0,0.947690742,61.65223542,0.0,3.790821612,0.0,0.0,1.895409533,4.2686709579999995,0.0,0.947690742,0.0,0.0,3.3209521669999997,3.790821612,0.0,0.0,3.3209521669999997,39.35816957,0.947690742,15.179217708,0.0,0.0,11.858221634,0.0,0.0,0.0,3.3209521669999997,0.0,0.0,0.947690742,5.6941456079999995,0.0,2.373261425,31.76729507,0.947690742,0.0,0.0,0.0,5.686209804,0.0,0.0,0.947690742,0.0,0.0,0.0,0.947690742,0.0,4.738521327,0.0,0.947690742,0.0,0.0,4.738521327,0.0,7.119700307,0.0,3.790821612,0.0,0.0,36.05419183,0.0,0.0,0.0,0.0,18.962437366,3.790821612,1.895409533,0.0,8.067391049,0.0,3.790821612,0.0,0.0,0.0,65.44160397,3.3209521669999997,0.0,0.0,0.0,2.843085087,0.0,13.275732934,0.947690742,0.0,0.0,0.0,2.843085087,0.0,0.0,0.947690742,3.3209521669999997,0.0,0.045429378,0.015588326,0.021362856,0.0,0.008466076999999999,0.011314421,0.0,0.0,0.0,0.009594788,0.0,0.567978127,0.006760343,0.023309486,0.027940554,0.255105115,0.017149055,0.0,0.0,1.0,1.0
15x15,1.448612149,2.897265563,1.448612149,0.0,0.0,1.762676287,0.0,10.57710574,0.0,0.0,13.474371303,5.288108113,0.0,0.0,0.0,1.448612149,0.0,1.762676287,1.762676287,1.448612149,0.0,1.762676287,1.762676287,3.525431547,0.0,1.762676287,0.0,5.288108113,0.0,0.0,0.0,1.762676287,12.33828522,0.0,0.0,0.0,1.448612149,7.050817835,1.762676287,0.0,0.0,0.0,6.108566063,0.0,1.762676287,26.005910120000003,0.0,0.0,3.525431547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,3.525431547,16.371644806,1.448612149,1.448612149,0.0,0.0,1.762676287,0.0,0.0,0.0,0.0,1.762676287,0.0,0.0,16.371644806,15.93557709,1.762676287,26.82288554,1.762676287,15.86553025,0.0,1.762676287,1.762676287,1.448612149,0.0,0.0,1.762676287,0.0,1.448612149,0.0,1.762676287,6.108566063,1.762676287,13.474371303,0.0,0.0,1.762676287,3.525431547,1.448612149,0.0,0.0,0.0,0.0,131.950055169,0.0,0.0,0.0,1.448612149,16.684174996,0.0,0.0,0.0,3.525431547,1.448612149,7.050817835,0.0,0.0,0.0,14.10080154,3.525431547,3.525431547,1.762676287,0.0,0.0,0.0,12.33828522,1.762676287,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,7.871321323,0.008201873,0.0,0.025257606,0.04733604500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0962308,0.0,0.187189372,0.0,0.0,0.038173646,0.52504861,0.0,0.0,0.001947578,1.0,1.0
