coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Endothelial3,Endothelial2,Endothelial3 Endothelial2
0x0,2.139598102,4.279255925,15.615623089000001,3.109509606,0.34548853,8.982975379,2.072981884,1.381990362,0.0,0.0,7.388753071,0.0,8.292017092,0.0,0.0,1.448612149,3.454920928,0.690985953,0.0,2.830602511,0.0,1.727470111,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,7.255435717,0.0,0.0,1.794100679,0.0,0.0,0.0,0.690985953,0.0,5.727880138,0.34548853,0.0,15.322821146999999,0.0,0.0,1.727470111,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,2.830602511,0.0,0.0,0.0,18.579324166,2.830602511,1.794100679,0.0,0.34548853,1.0364793,0.34548853,0.0,1.381990362,1.0364793,4.146002585,0.0,0.0,27.561234616,22.845459004,0.0,20.703483269,1.381990362,0.0,0.34548853,2.764003339,0.0,2.485091449,0.34548853,0.0,0.690985953,0.0,2.485091449,0.690985953,0.0,5.036875729,1.0364793,6.352186490999999,0.690985953,13.474381,0.0,2.418456045,3.867068194,1.381990362,0.0,0.0,0.690985953,163.91006077,3.109509606,0.34548853,0.0,2.139598102,5.382369076,1.0364793,0.34548853,0.34548853,1.381990362,1.794100679,0.0,0.0,0.34548853,0.690985953,14.50957867,2.072981884,4.491487508,2.764003339,0.34548853,0.34548853,0.690985953,0.690985953,1.0364793,0.690985953,1.0364793,2.072981884,0.690985953,1.794100679,0.0,0.0,7.4553993819999995,0.008201873,0.0,0.038526709,0.058962156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519115075,0.0,0.0,0.0,0.237781044,0.0,0.0,0.0,1.0,1.0,"[[0], [0]]"
1x1,1.448612149,5.497079052,2.748517692,0.0,0.0,1.299905543,1.299905543,1.299905543,0.0,0.0,10.696806175,0.0,10.39987266,1.299905543,0.0,1.448612149,1.299905543,1.299905543,0.0,6.648302516999999,1.299905543,1.299905543,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,6.945703265000001,0.0,0.0,10.14037987,0.0,0.0,0.0,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,1.448612149,1.299905543,0.0,0.0,9.694357644,2.748517692,1.448612149,0.0,0.0,0.0,2.599813489,0.0,0.0,6.499632803,2.599813489,0.0,0.0,10.994229434,15.93557709,0.0,14.48460032,1.299905543,1.299905543,0.0,0.0,0.0,1.448612149,0.0,0.0,2.599813489,0.0,1.448612149,0.0,0.0,4.345889776,0.0,2.897265563,0.0,74.09309425,0.0,1.299905543,4.048425638,0.0,0.0,0.0,0.0,145.2360067,2.599813489,0.0,0.0,1.448612149,4.345889776,0.0,0.0,2.599813489,15.59969085,1.448612149,0.0,0.0,0.0,0.0,0.0,1.299905543,0.0,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199690368,1.299905543,1.448612149,0.0,0.0,4.345889776,0.008201873,0.044039668,0.030799339,0.038211894,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.0,0.0,0.904979094,0.0,0.0,0.0,0.218998019,0.0,0.0,0.0,1.0,1.0,"[[0], [1]]"
2x2,1.448612149,6.780527271,4.037500931,2.588888782,0.0,0.0,3.883261708,2.588888782,1.294457406,0.0,5.486154345,0.0,15.53484012,0.0,0.0,1.448612149,1.294457406,0.0,1.294457406,11.803948429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294457406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,2.588888782,0.0,0.0,0.0,0.0,15.996165745999999,0.0,0.0,11.434837276,0.0,2.588888782,1.294457406,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,9.215188105,0.0,0.0,0.0,21.329379186,1.448612149,4.037500931,0.0,0.0,3.883261708,0.0,0.0,2.588888782,2.588888782,2.588888782,0.0,0.0,12.266765087,45.71071445,0.0,15.779057726,0.0,0.0,0.0,2.588888782,1.294457406,1.448612149,0.0,0.0,1.294457406,2.588888782,1.448612149,0.0,0.0,4.345889776,0.0,5.486154345,1.294457406,38.82905479,3.883261708,2.588888782,1.448612149,1.294457406,3.883261708,0.0,0.0,185.27597839,0.0,0.0,0.0,2.743069555,4.345889776,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.472226021,0.0,0.0,0.0,3.883261708,1.294457406,0.0,1.294457406,2.588888782,0.0,1.448612149,0.0,0.0,9.523635091,0.008201873,0.025621225,0.025257606,0.07074741200000001,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.0,0.0,1.2028620079999999,0.0,0.0,0.0,0.218998019,0.0,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,1.448612149,2.897265563,2.289892845,2.523870987,0.0,2.523870987,2.523870987,0.841280696,0.0,0.0,6.2624238850000005,0.0,21.03433764,0.0,0.0,2.289892845,1.682563431,0.841280696,0.0,2.289892845,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,2.523870987,2.523870987,0.0,0.0,1.448612149,0.841280696,0.0,0.0,0.0,0.0,7.711048098,0.0,0.0,10.14037987,0.841280696,0.0,0.0,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,3.972483136,0.0,0.0,0.0,12.524726066,2.289892845,1.448612149,0.0,0.841280696,0.0,0.0,0.0,0.0,2.523870987,3.365158322,0.0,0.841280696,16.731671165999998,16.776857786,0.0,17.008471307,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.841280696,1.448612149,0.0,0.0,5.187170472,0.0,3.738546259,0.0,37.8597498,0.0,8.412825336,2.289892845,0.0,0.0,0.0,0.0,138.28022947,3.365158322,0.0,0.0,2.289892845,5.187170472,2.523870987,0.841280696,0.841280696,2.523870987,1.448612149,0.841280696,0.0,0.0,0.0,1.682563431,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,1.682563431,0.0,0.0,2.289892845,0.0,0.0,5.187170472,0.008201873,0.033536932,0.062511323,0.090275506,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.0,0.0,1.2922761329999999,0.0,0.0,0.0,0.218998019,0.0,0.009163188,0.0,1.0,1.0,"[[0], [3]]"
4x4,2.077458053,4.783821647,5.850555183,3.144288684,0.0,5.659628451,0.628845904,1.257719583,0.0,0.0,5.412708072,0.0,18.86552285,0.628845904,0.0,1.448612149,1.257719583,0.628845904,0.628845904,3.335168233,0.0,4.401943034,0.628845904,0.0,0.0,0.628845904,0.0,0.0,3.144288684,0.0,0.0,0.0,1.886556084,6.288530911,0.0,0.628845904,3.335168233,0.0,0.0,1.257719583,0.628845904,0.628845904,4.97473568,0.0,0.0,32.77779595,0.628845904,0.628845904,0.628845904,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,5.850555183,0.0,0.0,1.257719583,15.855681886,3.9640546580000002,5.221706288,0.0,0.0,2.515442509,0.0,0.0,6.288530911,5.030870458,0.0,0.0,0.0,24.660061916,44.86511419,1.257719583,23.288525766,0.628845904,0.628845904,0.0,5.659628451,1.257719583,1.448612149,0.0,0.0,0.0,0.628845904,1.448612149,0.628845904,0.628845904,6.861332285,0.0,4.154985146,1.257719583,12.57688064,1.886556084,5.030870458,1.448612149,1.886556084,1.257719583,0.0,0.0,208.03799605,8.803925446,0.0,0.628845904,1.448612149,4.97473568,1.257719583,0.628845904,0.628845904,1.886556084,2.077458053,0.0,0.0,0.0,0.628845904,3.773094139,2.515442509,1.257719583,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,3.773094139,0.0,2.7063317319999998,0.0,0.0,6.861332285,0.008201873,0.019814776,0.025257606,0.086771202,0.0,0.0,0.0,0.032514121,0.0,0.0,0.0,0.0,0.9558723659999999,0.0,0.028612979,0.009018433,0.218998019,0.0,0.0,0.0,1.0,1.0,"[[0], [4]]"
5x5,2.7231311920000003,2.059364721,15.521789104000002,5.141654845,0.34548853,11.015120618000001,4.105127123,2.059364721,0.0,0.0,5.1688618669999995,1.354778164,8.292017092,0.677374359,0.0,6.096431255,8.873959716,1.368360312,1.354778164,2.059364721,3.386922882,4.437009612,0.0,0.34548853,0.34548853,1.727470111,0.0,5.819049107,1.022862889,0.34548853,1.0364793,1.354778164,4.477802798,9.964975218,0.0,0.0,2.377633769,0.677374359,0.0,0.677374359,1.368360312,0.0,2.059364721,1.022862889,0.0,24.826733597,0.0,0.677374359,2.40484447,12.410688244000001,0.0,0.677374359,0.0,5.764527318,0.677374359,0.677374359,3.4005254540000003,6.80102915,0.0,0.677374359,0.677374359,22.94570522,1.381990362,3.055028031,0.677374359,0.34548853,5.10078601,0.34548853,0.0,2.736768526,2.391257464,8.887696012,0.0,0.0,27.185734338000003,6.909881914,0.0,15.024840299000001,2.736768526,0.677374359,0.34548853,2.764003339,0.0,1.7138536590000002,0.34548853,0.0,0.690985953,1.354778164,1.0364793,1.368360312,1.354778164,2.7231311920000003,1.0364793,4.132295287,4.077908835,13.474381,0.0,3.095830404,2.418456045,2.059364721,1.354778164,1.354778164,0.690985953,83.44510702,3.109509606,0.34548853,0.0,0.690985953,5.10078601,2.391257464,0.34548853,1.7002666940000002,5.446297072,1.7002666940000002,1.354778164,0.0,0.34548853,0.690985953,36.18733059,2.072981884,4.491487508,2.764003339,0.34548853,1.7002666940000002,0.690985953,0.690985953,1.0364793,1.368360312,1.0364793,2.072981884,1.368360312,0.34548853,0.0,0.677374359,3.109509606,0.08281185,0.0,0.013269103,0.020750262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331925703,0.0,0.0,0.0,0.071622112,0.246967114,0.0,0.0,1.0,1.0,"[[1], [0]]"
6x6,2.032145239,3.277187848,2.6546837070000002,2.032145239,0.0,3.332050782,3.332050782,1.9772799019999998,0.0,0.0,8.476914971000001,1.354778164,10.39987266,1.9772799019999998,0.0,6.096431255,6.718944330999999,1.9772799019999998,1.354778164,5.877064727,4.686828425,4.009445044,0.0,0.0,0.0,0.0,1.299905543,2.709539501,5.877064727,0.0,0.0,1.354778164,0.677374359,2.709539501,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,0.677374359,0.0,3.277187848,0.677374359,0.0,19.64429232,0.0,0.677374359,0.677374359,2.6546837070000002,0.0,0.677374359,0.0,10.618729156,0.677374359,0.677374359,4.009445044,5.419038788,1.299905543,0.677374359,0.677374359,14.060738698,1.299905543,2.709539501,0.677374359,0.0,4.06430671,2.599813489,0.0,1.354778164,7.854410967,7.341506916,0.0,0.0,10.618729156,0.0,0.0,8.80595735,2.6546837070000002,1.9772799019999998,0.0,0.0,0.0,0.677374359,0.0,0.0,2.599813489,1.354778164,0.0,0.677374359,1.354778164,2.032145239,0.0,0.677374359,3.386922882,74.09309425,0.0,1.9772799019999998,2.599813489,0.677374359,1.354778164,1.354778164,0.0,64.77105295000001,2.599813489,0.0,0.0,0.0,4.06430671,1.354778164,0.0,3.9545916530000005,19.66399756,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,1.299905543,0.0,1.299905543,0.0,1.354778164,0.0,0.0,0.0,0.677374359,0.0,5.199690368,1.9772799019999998,0.0,0.0,0.677374359,0.0,0.08281185,0.044039668,0.005541733,0.0,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.0,0.0,0.717789722,0.0,0.0,0.0,0.052839087,0.246967114,0.0,0.0,1.0,1.0,"[[1], [1]]"
7x7,2.032145239,4.560636067,3.9436669460000005,4.621034021,0.0,2.032145239,5.915406947,3.266263141,1.294457406,0.0,3.266263141,1.354778164,15.53484012,0.677374359,0.0,6.096431255,6.713496194,0.677374359,2.64923557,11.032710639,3.386922882,2.709539501,0.0,0.0,0.0,0.0,0.0,4.003996907,0.677374359,0.0,0.0,1.354778164,0.677374359,2.709539501,0.0,0.0,2.032145239,3.266263141,0.0,0.677374359,0.677374359,0.0,12.327650328999999,0.677374359,0.0,20.938749726,0.0,3.266263141,1.9718317650000001,10.414824939,0.0,1.9718317650000001,1.294457406,6.713496194,0.677374359,0.677374359,2.709539501,13.185614743999999,0.0,0.677374359,0.677374359,25.69576024,0.0,5.298428283,0.677374359,0.0,7.947568418,0.0,0.0,3.9436669460000005,3.9436669460000005,7.330582209000001,0.0,0.0,11.891264808999999,29.77513736,0.0,10.100414756,1.354778164,0.677374359,0.0,2.588888782,1.294457406,0.677374359,0.0,0.0,1.294457406,3.9436669460000005,0.0,0.677374359,1.354778164,2.032145239,0.0,3.266263141,4.681380288,38.82905479,3.883261708,3.266263141,0.0,1.9718317650000001,5.238039872,1.354778164,0.0,104.81102464,0.0,0.0,0.0,1.294457406,4.06430671,1.354778164,0.0,1.354778164,4.06430671,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,0.0,0.0,6.472226021,0.0,1.354778164,0.0,3.883261708,1.294457406,0.677374359,1.294457406,2.588888782,0.677374359,0.0,0.0,0.677374359,5.177745315,0.08281185,0.025621225,0.0,0.032535518,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.0,0.0,1.015672636,0.0,0.0,0.0,0.052839087,0.246967114,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,2.032145239,0.677374359,2.19605886,4.556016226000001,0.0,4.556016226000001,4.556016226000001,1.518655055,0.0,0.0,4.042532681,1.354778164,21.03433764,0.677374359,0.0,6.937711951,7.101602219,1.518655055,1.354778164,1.518655055,3.386922882,2.709539501,0.0,0.0,0.0,0.0,0.841280696,2.709539501,0.677374359,0.0,0.0,1.354778164,3.201245346,5.2334104880000005,0.0,0.0,2.032145239,1.518655055,0.0,0.677374359,0.677374359,0.0,4.042532681,0.677374359,0.0,19.64429232,0.841280696,0.677374359,0.677374359,2.19605886,0.841280696,0.677374359,0.841280696,5.419038788,0.677374359,0.677374359,2.709539501,7.942909775,0.0,0.677374359,0.677374359,16.89110712,0.841280696,2.709539501,0.677374359,0.841280696,4.06430671,0.0,0.0,1.354778164,3.8786491510000003,8.106851749,0.0,0.841280696,16.356170888,0.841280696,0.0,11.329828337,1.354778164,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,2.19605886,0.0,0.677374359,1.354778164,2.873425935,0.0,1.518655055,3.386922882,37.8597498,0.0,9.090199694999999,0.841280696,0.677374359,1.354778164,1.354778164,0.0,57.81527572,3.365158322,0.0,0.0,0.841280696,4.905587406,3.8786491510000003,0.841280696,2.19605886,6.588177697000001,1.354778164,2.19605886,0.0,0.0,0.0,23.360315350999997,0.0,0.841280696,0.0,0.0,1.354778164,0.0,0.0,0.0,1.518655055,1.682563431,0.0,0.677374359,0.841280696,0.0,0.677374359,0.841280696,0.08281185,0.033536932,0.037253717,0.052063612,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.0,0.0,1.105086761,0.0,0.0,0.0,0.052839087,0.246967114,0.009163188,0.0,1.0,1.0,"[[1], [3]]"
9x9,2.660991143,2.563930443,5.756721198,5.176433923,0.0,7.69177369,2.660991143,1.935093942,0.0,0.0,3.192816868,1.354778164,18.86552285,1.306220263,0.0,6.096431255,6.676758371,1.306220263,1.9836240680000001,2.563930443,3.386922882,7.111482535,0.628845904,0.0,0.0,0.628845904,0.0,2.709539501,3.821663043,0.0,0.0,1.354778164,2.563930443,8.998070412,0.0,0.628845904,3.918701323,0.677374359,0.0,1.935093942,1.306220263,0.628845904,1.306220263,0.677374359,0.0,42.2817084,0.628845904,1.306220263,1.306220263,8.272131006,0.0,0.677374359,0.0,7.305594872,0.677374359,1.306220263,2.709539501,9.820981822,0.0,0.677374359,1.935093942,20.22206294,2.515442509,6.4826336399999995,0.677374359,0.0,6.579749219,0.0,0.0,7.6433090749999995,6.385648622,4.741693427,0.0,0.0,24.284561638,28.9295371,1.257719583,17.609882796,1.9836240680000001,1.306220263,0.0,5.659628451,1.257719583,0.677374359,0.0,0.0,0.0,1.9836240680000001,0.0,1.306220263,1.9836240680000001,4.547587748,0.0,1.935093942,4.644642465,12.57688064,1.886556084,5.708244817,0.0,2.563930443,2.612497747,1.354778164,0.0,127.5730423,8.803925446,0.0,0.628845904,0.0,4.693152614000001,2.612497747,0.628845904,1.9836240680000001,5.950862794000001,1.9836240680000001,1.354778164,0.0,0.0,0.628845904,25.450846059,2.515442509,1.257719583,1.257719583,0.0,1.354778164,0.0,0.0,0.628845904,0.677374359,0.628845904,3.773094139,0.677374359,1.257719583,0.0,0.677374359,2.515442509,0.08281185,0.019814776,0.0,0.048559308,0.0,0.0,0.0,0.032514121,0.0,0.0,0.0,0.0,0.768682994,0.0,0.028612979,0.009018433,0.052839087,0.246967114,0.0,0.0,1.0,1.0,"[[1], [4]]"
10x10,13.609728443,14.300732852,14.16701094,3.109509606,0.34548853,10.274951032,2.072981884,1.381990362,0.0,0.0,5.783463160999999,1.291975653,8.292017092,0.0,0.0,0.0,4.746896581,0.690985953,0.0,1.381990362,1.291975653,1.727470111,0.0,0.34548853,0.34548853,1.727470111,2.583933973,3.109509606,0.34548853,0.34548853,1.0364793,0.0,8.968366445000001,7.255435717,0.0,0.0,0.34548853,0.0,0.0,0.0,0.690985953,1.291975653,2.673966015,0.34548853,0.0,5.182441277,0.0,0.0,1.727470111,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,1.982961606,1.381990362,0.0,0.0,0.0,20.536637809,5.257948855,0.34548853,0.0,0.34548853,1.0364793,0.34548853,0.0,2.673966015,1.0364793,4.146002585,0.0,0.0,26.934633556,6.909881914,0.0,6.218882949,1.381990362,1.291975653,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,0.0,1.0364793,0.690985953,0.0,0.690985953,1.0364793,3.454920928,0.690985953,13.474381,0.0,2.418456045,3.710431698,1.381990362,0.0,0.0,0.690985953,66.61449771,3.109509606,0.34548853,0.0,0.690985953,2.328454953,1.0364793,0.34548853,0.34548853,3.9659243350000004,0.34548853,1.291975653,0.0,0.34548853,0.690985953,14.50957867,2.072981884,4.491487508,2.764003339,0.34548853,0.34548853,0.690985953,1.982961606,3.6204132730000005,0.690985953,2.328454953,2.072981884,0.690985953,4.2214470230000005,0.0,0.0,4.401485259,0.021712484,0.0,0.026741909,0.03482812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443680469,0.0,0.0,0.0,0.068419708,0.052916666,0.0,0.0,1.0,1.0,"[[2], [0]]"
11x11,12.91874249,15.518555979,1.299905543,0.0,0.0,2.591881196,1.299905543,1.299905543,0.0,0.0,9.091516265000001,1.291975653,10.39987266,1.299905543,0.0,0.0,2.591881196,1.299905543,0.0,5.199690368,2.591881196,1.299905543,0.0,0.0,0.0,0.0,3.883839516,0.0,5.199690368,0.0,0.0,0.0,5.167938006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,3.8917891420000004,0.0,0.0,0.0,0.0,0.0,0.0,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,2.591881196,0.0,1.299905543,0.0,0.0,11.651671287,5.175864036,0.0,0.0,0.0,0.0,2.599813489,0.0,1.291975653,6.499632803,2.599813489,0.0,0.0,10.367628373999999,0.0,0.0,0.0,1.299905543,2.591881196,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.09309425,0.0,1.299905543,3.8917891420000004,0.0,0.0,0.0,0.0,47.94044364,2.599813489,0.0,0.0,0.0,1.291975653,0.0,0.0,2.599813489,18.183624823,0.0,1.291975653,0.0,0.0,0.0,0.0,1.299905543,0.0,1.299905543,0.0,0.0,0.0,1.291975653,2.583933973,0.0,1.291975653,5.199690368,1.299905543,3.875958493,0.0,0.0,1.291975653,0.021712484,0.044039668,0.019014539,0.014077858,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.0,0.0,0.829544488,0.0,0.0,0.0,0.049636683,0.052916666,0.0,0.0,1.0,1.0,"[[2], [1]]"
12x12,12.91874249,16.802004198,2.588888782,2.588888782,0.0,1.291975653,3.883261708,2.588888782,1.294457406,0.0,3.8808644350000003,1.291975653,15.53484012,0.0,0.0,0.0,2.586433059,0.0,1.294457406,10.35533628,1.291975653,0.0,0.0,0.0,0.0,0.0,2.583933973,1.294457406,0.0,0.0,0.0,0.0,5.167938006,0.0,0.0,0.0,0.0,2.588888782,0.0,0.0,0.0,1.291975653,12.942251622999999,0.0,0.0,1.294457406,0.0,2.588888782,1.294457406,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,1.291975653,7.766575956,0.0,0.0,0.0,23.286692829,3.875958493,2.588888782,0.0,0.0,3.883261708,0.0,0.0,3.8808644350000003,2.588888782,2.588888782,0.0,0.0,11.640164027,29.77513736,0.0,1.294457406,0.0,1.291975653,0.0,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,2.588888782,0.0,0.0,0.0,0.0,0.0,2.588888782,1.294457406,38.82905479,3.883261708,2.588888782,1.291975653,1.294457406,3.883261708,0.0,0.0,87.98041533,0.0,0.0,0.0,1.294457406,1.291975653,0.0,0.0,0.0,2.583933973,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,6.472226021,0.0,0.0,0.0,5.175237361,3.878391379,0.0,2.586433059,2.588888782,0.0,3.875958493,0.0,0.0,6.469720968,0.021712484,0.025621225,0.013472806,0.046613376,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.0,0.0,1.127427402,0.0,0.0,0.0,0.049636683,0.052916666,0.0,0.0,1.0,1.0,"[[2], [2]]"
13x13,12.91874249,12.91874249,0.841280696,2.523870987,0.0,3.81584664,2.523870987,0.841280696,0.0,0.0,4.657133975,1.291975653,21.03433764,0.0,0.0,0.841280696,2.974539084,0.841280696,0.0,0.841280696,1.291975653,0.0,0.0,0.0,0.0,0.0,3.4252146690000003,0.0,0.0,0.0,0.0,0.0,7.691808993,2.523870987,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,1.291975653,4.657133975,0.0,0.0,0.0,0.841280696,0.0,0.0,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,1.291975653,2.523870987,0.0,0.0,0.0,14.482039708999999,4.717239189,0.0,0.0,0.841280696,0.0,0.0,0.0,1.291975653,2.523870987,3.365158322,0.0,0.841280696,16.105070106,0.841280696,0.0,2.523870987,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.841280696,0.0,0.841280696,0.0,37.8597498,0.0,8.412825336,2.133256349,0.0,0.0,0.0,0.0,40.98466641,3.365158322,0.0,0.0,0.841280696,2.133256349,2.523870987,0.841280696,0.841280696,5.10780496,0.0,2.133256349,0.0,0.0,0.0,1.682563431,0.0,0.841280696,0.0,0.0,0.0,0.0,1.291975653,2.583933973,0.841280696,2.974539084,0.0,0.0,4.717239189,0.0,0.0,2.133256349,0.021712484,0.033536932,0.050726522999999996,0.06614147000000001,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.0,0.0,1.216841527,0.0,0.0,0.0,0.049636683,0.052916666,0.009163188,0.0,1.0,1.0,"[[2], [3]]"
14x14,13.547588394,14.805298574,4.401943034,3.144288684,0.0,6.951604103999999,0.628845904,1.257719583,0.0,0.0,3.8074181620000003,1.291975653,18.86552285,0.628845904,0.0,0.0,2.549695236,0.628845904,0.628845904,1.886556084,1.291975653,4.401943034,0.628845904,0.0,0.0,0.628845904,2.583933973,0.0,3.144288684,0.0,0.0,0.0,7.05449409,6.288530911,0.0,0.628845904,1.886556084,0.0,0.0,1.257719583,0.628845904,1.920821557,1.920821557,0.0,0.0,22.63741608,0.628845904,0.628845904,0.628845904,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,1.291975653,4.401943034,0.0,0.0,1.257719583,17.812995529,6.391401002,3.773094139,0.0,0.0,2.515442509,0.0,0.0,7.580506563999999,5.030870458,0.0,0.0,0.0,24.033460856,28.9295371,1.257719583,8.803925446,0.628845904,1.920821557,0.0,5.659628451,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,0.628845904,2.515442509,0.0,1.257719583,1.257719583,12.57688064,1.886556084,5.030870458,1.291975653,1.886556084,1.257719583,0.0,0.0,110.74243299,8.803925446,0.0,0.628845904,0.0,1.920821557,1.257719583,0.628845904,0.628845904,4.470490057,0.628845904,1.291975653,0.0,0.0,0.628845904,3.773094139,2.515442509,1.257719583,1.257719583,0.0,0.0,0.0,1.291975653,3.212779877,0.0,1.920821557,3.773094139,0.0,5.133678076000001,0.0,0.0,3.8074181620000003,0.021712484,0.019814776,0.013472806,0.06263716600000001,0.0,0.0,0.0,0.032514121,0.0,0.0,0.0,0.0,0.88043776,0.0,0.028612979,0.009018433,0.049636683,0.052916666,0.0,0.0,1.0,1.0,"[[2], [4]]"
