Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,type
0.0,0.0,18.9986187,3.454715776,0.0,39.72864858,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,0.0,3.454715776,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909335538,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,3.454715776,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,0.0,0.0,17.27258539,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,1.727344509,0.0,0.0,0.0,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,1.727344509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454715776,1.727344509,3.454715776,0.0,0.0,0.0,1.727344509,0.0,0.0,1.727344509,1.727344509,1.727344509,1.727344509,0.0,0.0,12.09181923,0.0,0.010649115,0.017095657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273327152,0.0,0.003225125,0.0,Astrocyte
0.0,0.0,18.19994568,0.0,0.0,12.99909627,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.0,1.733316984,0.0,0.0,0.86668054,0.0,3.466630221,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,7.799945855,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733316984,2.59997927,0.0,0.0,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,4.333348955,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,0.0,0.0,1.733316984,0.86668054,0.86668054,26.00225287,0.0,1.733316984,0.86668054,1.733316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.0,0.0,0.0,0.0,4.333348955,0.0,0.0,0.0,0.86668054,3.466630221,0.0,0.0,0.0,0.0,0.0,0.0,0.86668054,0.86668054,0.86668054,1.733316984,0.0,0.0,0.0,0.0,2.59997927,3.466630221,12.13409037,0.86668054,0.86668054,0.0,0.86668054,0.0,0.86668054,0.0,0.0,0.0,1.733316984,0.0,0.0,8.666739158,0.014057076,0.0,0.022251132,0.00940581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276879751,0.01306404,0.001579784,0.0,Astrocyte
0.0,0.0,14.08342611,2.56032792,0.0,17.92343619,0.0,0.0,0.0,0.0,0.0,0.0,2.56032792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08342611,10.24087193,0.0,0.0,5.120684589,0.0,0.0,0.0,0.0,2.56032792,3.840497498,0.0,0.0,0.0,1.280184557,1.280184557,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,1.280184557,2.56032792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88046418,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,0.0,1.280184557,2.56032792,1.280184557,0.0,0.0,0.0,0.0,3.840497498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280184557,0.0,0.0,6.400822699,6.400822699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.400822699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287745379,0.0,0.0,0.0,Astrocyte
0.0,0.0,26.02713432,0.0,0.0,37.1856335,1.859170143,3.718348337,0.0,0.0,0.0,0.0,2.788785337,0.0,0.0,1.859170143,3.718348337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929612039,0.0,0.0,1.859170143,0.929612039,0.0,0.0,0.929612039,13.0152226,9.296746007,0.0,0.0,0.0,2.788785337,0.0,0.0,0.0,0.0,0.0,0.929612039,0.929612039,0.929612039,0.0,0.0,3.718348337,1.859170143,0.929612039,0.0,0.0,0.0,0.929612039,0.0,0.0,1.859170143,0.0,0.0,1.859170143,2.788785337,1.859170143,3.718348337,0.0,0.929612039,0.0,0.0,0.0,0.0,0.0,1.859170143,0.0,0.0,38.11109724,0.0,0.0,0.0,0.0,0.929612039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929612039,0.0,0.0,0.0,0.929612039,0.0,3.718348337,0.0,0.0,0.0,0.0,1.859170143,14.87449798,0.929612039,0.0,0.0,0.929612039,1.859170143,0.0,0.0,0.0,1.859170143,1.859170143,0.0,0.0,1.859170143,0.929612039,0.0,0.0,0.0,0.0,0.929612039,2.788785337,1.859170143,13.94514042,0.0,0.0,0.0,0.929612039,0.0,0.0,0.929612039,2.788785337,0.929612039,0.0,0.0,0.0,10.22535282,0.0,0.012016516,0.00257322,0.006424731,0.0,0.0,0.0,0.0,0.0,0.0,0.000229578,0.0,0.0,0.0,0.0,0.0,0.25471474,0.00021435,0.0,0.0,Astrocyte
0.889687542,0.0,14.23351063,0.0,0.889687542,63.16526615,0.0,0.0,0.889687542,0.0,0.0,0.0,5.338113324,0.0,0.0,0.0,0.0,0.0,0.0,3.558689367,1.77939326,0.0,0.0,0.0,0.889687542,0.0,0.0,0.0,0.889687542,0.0,0.0,0.0,7.117457061,10.67615899,0.0,0.0,0.889687542,1.77939326,0.0,0.0,0.889687542,0.0,2.669019332,0.0,0.0,0.0,0.0,0.0,0.0,1.77939326,0.0,0.0,0.889687542,0.0,0.0,0.0,1.77939326,0.0,1.77939326,1.77939326,0.889687542,1.77939326,0.0,0.0,0.0,0.0,0.0,0.0,0.889687542,0.0,0.0,1.77939326,0.0,0.0,33.80967752,0.0,0.889687542,0.889687542,0.0,0.0,0.0,0.889687542,0.0,0.0,0.0,0.0,2.669019332,0.0,0.0,0.0,0.0,0.889687542,0.0,0.0,0.0,0.0,0.0,2.669019332,0.889687542,0.889687542,0.0,0.0,0.0,0.0,0.889687542,0.0,0.0,1.77939326,0.0,2.669019332,0.0,0.0,2.669019332,0.0,0.0,0.0,0.0,0.0,0.889687542,1.77939326,0.889687542,0.889687542,0.0,0.0,0.0,0.0,0.889687542,0.0,1.77939326,0.0,0.0,0.0,0.0,0.0,3.558689367,0.020164484,0.0,0.178145693,0.006245613,0.0,0.0,0.0,0.0,0.0,0.0,0.015175201,0.0,0.0,0.0,0.0,0.019623415,0.324250056,0.0,0.053331325,0.0,Astrocyte
0.0,0.0,11.62118115,0.0,0.0,29.69728738,0.0,0.0,0.0,0.0,2.582201406,0.0,2.582201406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.582201406,1.291078659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036909309,6.455383703,0.0,0.0,0.0,0.0,0.0,0.0,1.291078659,0.0,0.0,0.0,0.0,0.0,1.291078659,3.873264683,2.582201406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036909309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69728738,0.0,0.0,1.291078659,0.0,0.0,1.291078659,0.0,0.0,0.0,0.0,0.0,1.291078659,0.0,0.0,1.291078659,1.291078659,1.291078659,0.0,0.0,5.164388478,0.0,0.0,3.873264683,1.291078659,10.32921973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291078659,1.291078659,0.0,0.0,0.0,1.291078659,0.0,0.0,0.0,0.0,0.0,0.0,10.32921973,6.455383703,5.164388478,0.0,0.0,2.582201406,0.0,0.0,0.0,0.0,2.582201406,0.0,0.0,0.0,0.0,21.95091476,0.000438623,0.013547718,0.011504688,0.036096007,0.0,0.003377366,0.0,0.0,0.0,0.0,0.0,0.0,0.024228839,0.0,0.0,0.0,0.225290313,0.006523456,0.006930973,0.0,Astrocyte
0.0,0.0,34.31831698,0.0,0.0,61.76246613,0.0,2.573633412,0.0,0.0,0.857890012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.573633412,0.857890012,0.0,1.715751324,0.0,0.0,0.857890012,0.0,0.0,0.0,0.0,0.0,0.0,4.289443713,6.86303122,0.0,0.0,1.715751324,0.0,0.0,0.0,0.0,0.0,2.573633412,0.0,0.0,0.857890012,0.857890012,0.857890012,0.857890012,0.0,0.0,0.0,0.0,0.0,0.857890012,0.0,0.0,1.715751324,0.857890012,0.0,0.0,1.715751324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857890012,0.0,0.0,0.0,31.74160765,0.857890012,0.0,0.0,0.857890012,0.0,0.857890012,0.0,0.0,0.0,0.0,1.715751324,0.0,0.0,0.857890012,0.0,0.0,0.0,0.0,0.857890012,0.0,0.857890012,1.715751324,3.43149231,0.0,1.715751324,0.0,0.0,0.0,0.0,0.0,0.0,0.857890012,0.857890012,0.0,9.437584393,0.857890012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.573633412,5.147237606,5.147237606,0.0,0.0,0.0,0.0,0.0,0.0,0.857890012,2.573633412,0.0,0.0,0.0,0.0,10.29535799,0.030761052,0.000781734,0.022462056,0.048030689,0.0,0.006480117,0.0,0.05475356,0.0,0.0,0.054957587,0.0,0.0,0.0,0.0,0.019606745,0.302896748,0.0,0.007846751,0.0,Astrocyte
0.0,0.0,40.37137927,0.0,2.018422295,150.3561248,1.009231601,0.0,1.009231601,0.0,1.009231601,0.0,0.0,1.009231601,0.0,0.0,2.018422295,0.0,0.0,2.018422295,0.0,1.009231601,0.0,0.0,0.0,1.009231601,0.0,0.0,1.009231601,0.0,0.0,0.0,8.073607732,3.027634015,0.0,0.0,1.009231601,0.0,0.0,0.0,1.009231601,0.0,0.0,0.0,2.018422295,0.0,0.0,0.0,1.009231601,1.009231601,0.0,0.0,1.009231601,0.0,0.0,3.027634015,0.0,1.009231601,0.0,2.018422295,1.009231601,4.036861394,0.0,1.009231601,0.0,0.0,3.027634015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2549931,0.0,0.0,1.009231601,0.0,0.0,0.0,1.009231601,0.0,0.0,0.0,0.0,1.009231601,0.0,0.0,0.0,0.0,0.0,1.009231601,3.027634015,0.0,0.0,0.0,11.10040761,1.009231601,0.0,0.0,0.0,0.0,0.0,1.009231601,0.0,0.0,0.0,0.0,5.046025854,0.0,0.0,0.0,0.0,2.018422295,0.0,0.0,0.0,1.009231601,1.009231601,4.036861394,5.046025854,0.0,0.0,0.0,1.009231601,0.0,0.0,1.009231601,6.055210891,0.0,2.018422295,2.018422295,0.0,7.064547421,0.010842516,0.044075729,0.023399028,0.040621992,0.0,0.023750201,0.0,0.113050836,0.0,0.0,0.033898726,0.0,0.124861364,0.0,0.0,0.002749837,0.26528978,0.0,0.006259515,0.0,Astrocyte
1.487539582,0.0,31.24036872,0.743773205,0.743773205,43.13671435,0.0,0.743773205,0.0,0.0,0.743773205,0.0,0.743773205,0.0,0.0,0.0,0.743773205,0.0,1.487539582,0.743773205,1.487539582,0.743773205,0.743773205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.718891588,0.743773205,0.0,0.0,0.743773205,0.0,0.0,0.0,0.0,0.0,0.0,0.743773205,1.487539582,0.0,0.0,0.743773205,1.487539582,0.743773205,0.0,0.0,0.0,0.0,5.206403398,0.743773205,0.743773205,1.487539582,4.462607542,0.0,0.743773205,3.718891588,2.231320233,1.487539582,0.0,0.0,0.0,0.0,0.0,1.487539582,0.743773205,2.231320233,0.743773205,0.0,47.60713235,0.0,0.0,0.743773205,0.0,0.0,0.743773205,0.743773205,0.0,0.0,0.743773205,0.0,0.0,0.743773205,1.487539582,0.743773205,0.0,0.0,0.743773205,1.487539582,0.0,0.743773205,0.0,5.206403398,0.743773205,2.975117771,0.0,0.0,2.975117771,1.487539582,1.487539582,0.0,0.0,0.0,0.0,4.462607542,0.0,0.0,2.231320233,0.0,0.743773205,0.0,0.0,0.0,0.743773205,2.975117771,1.487539582,3.718891588,0.0,0.0,0.0,0.0,0.0,0.743773205,0.743773205,2.231320233,1.487539582,0.0,0.0,0.743773205,5.950243176,0.000857597,0.040109349,0.028916188,0.037392252,0.0,0.03814257,0.0,0.497993745,0.0,0.0,0.041185233,0.0,0.071240541,0.0,0.0,0.020172471,0.216785428,0.0,0.028343009,0.0,Astrocyte
0.0,0.0,33.38745222,2.568453156,0.0,87.32832605,2.568453156,0.0,2.568453156,0.0,2.568453156,0.0,0.0,0.0,0.0,0.0,2.568453156,0.0,0.0,0.0,2.568453156,5.136913473,2.568453156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.40967576,5.136913473,0.0,2.568453156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.568453156,0.0,0.0,0.0,0.0,0.0,0.0,2.568453156,0.0,0.0,2.568453156,0.0,2.568453156,0.0,2.568453156,0.0,2.568453156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.79663542,0.0,0.0,0.0,0.0,0.0,0.0,2.568453156,2.568453156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.568453156,0.0,0.0,2.568453156,0.0,0.0,17.98016572,0.0,5.136913473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.568453156,0.0,5.136913473,0.0,0.0,0.0,2.568453156,0.0,2.568453156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84203682,0.012876745,0.00354904,0.045456579,0.021430919,0.0,0.00715381,0.0,0.20939453,0.007766459,0.0,0.059509853,0.0,0.0,0.0,0.0,0.038580107,0.22513797,0.016684494,0.023571064,0.0,Astrocyte
